"","date","CRON"
"1","2018-02-27",7.62
"2","2018-02-28",9.17
"3","2018-03-01",9.69
"4","2018-03-02",9.4
"5","2018-03-05",9.77
"6","2018-03-06",9.91
"7","2018-03-07",9.81
"8","2018-03-08",9.54
"9","2018-03-09",9.32
"10","2018-03-12",8.75
"11","2018-03-13",8.63
"12","2018-03-14",8.4
"13","2018-03-15",8.13
"14","2018-03-16",7.82
"15","2018-03-19",8.75
"16","2018-03-20",8.19
"17","2018-03-21",8
"18","2018-03-22",7.39
"19","2018-03-23",7.47
"20","2018-03-26",7.46
"21","2018-03-27",7.03
"22","2018-03-28",6.51
"23","2018-03-29",6.73
"24","2018-04-02",6.25
"25","2018-04-03",5.6
"26","2018-04-04",5.6
"27","2018-04-05",5.9
"28","2018-04-06",5.63
"29","2018-04-09",5.57
"30","2018-04-10",6.37
"31","2018-04-11",6.36
"32","2018-04-12",6.68
"33","2018-04-13",7.12
"34","2018-04-16",7.73
"35","2018-04-17",7.44
"36","2018-04-18",7.33
"37","2018-04-19",7.41
"38","2018-04-20",7.37
"39","2018-04-23",7.02
"40","2018-04-24",7
"41","2018-04-25",6.88
"42","2018-04-26",6.92
"43","2018-04-27",6.8
"44","2018-04-30",6.91
"45","2018-05-01",6.22
"46","2018-05-02",5.81
"47","2018-05-03",5.87
"48","2018-05-04",5.88
"49","2018-05-07",5.67
"50","2018-05-08",5.54
"51","2018-05-09",5.52
"52","2018-05-10",5.6
"53","2018-05-11",6.12
"54","2018-05-14",6.56
"55","2018-05-15",6.27
"56","2018-05-16",6.04
"57","2018-05-17",5.8
"58","2018-05-18",6.23
"59","2018-05-21",6.57
"60","2018-05-22",6.24
"61","2018-05-23",6.21
"62","2018-05-24",6.13
"63","2018-05-25",6.01
"64","2018-05-29",6.02
"65","2018-05-30",6.38
"66","2018-05-31",6.24
"67","2018-06-01",6.84
"68","2018-06-04",7
"69","2018-06-05",6.99
"70","2018-06-06",7.93
"71","2018-06-07",7.66
"72","2018-06-08",7.23
"73","2018-06-11",6.96
"74","2018-06-12",6.77
"75","2018-06-13",7.12
"76","2018-06-14",6.93
"77","2018-06-15",7.02
"78","2018-06-18",6.78
"79","2018-06-19",6.86
"80","2018-06-20",7.22
"81","2018-06-21",7.67
"82","2018-06-22",7.24
"83","2018-06-25",6.9
"84","2018-06-26",6.79
"85","2018-06-27",6.18
"86","2018-06-28",6.42
"87","2018-06-29",6.52
"88","2018-07-02",6.96
"89","2018-07-03",6.78
"90","2018-07-05",6.97
"91","2018-07-06",6.96
"92","2018-07-09",6.95
"93","2018-07-10",6.98
"94","2018-07-11",6.97
"95","2018-07-12",7.05
"96","2018-07-13",7.06
"97","2018-07-16",6.73
"98","2018-07-17",6.92
"99","2018-07-18",6.78
"100","2018-07-19",6.83
"101","2018-07-20",6.54
"102","2018-07-23",6.46
"103","2018-07-24",6.27
"104","2018-07-25",6.29
"105","2018-07-26",6.14
"106","2018-07-27",6.23
"107","2018-07-30",5.92
"108","2018-07-31",6.05
"109","2018-08-01",5.78
"110","2018-08-02",6.02
"111","2018-08-03",5.86
"112","2018-08-06",5.88
"113","2018-08-07",5.72
"114","2018-08-08",5.77
"115","2018-08-09",6.1
"116","2018-08-10",5.96
"117","2018-08-13",5.83
"118","2018-08-14",5.65
"119","2018-08-15",6.38
"120","2018-08-16",6.32
"121","2018-08-17",6.54
"122","2018-08-20",7.32
"123","2018-08-21",8.29
"124","2018-08-22",8.16
"125","2018-08-23",8.54
"126","2018-08-24",9.94
"127","2018-08-27",12.04
