"","date","AEG"
"1","2007-01-03",19.18
"2","2007-01-04",19.030001
"3","2007-01-05",18.83
"4","2007-01-08",18.860001
"5","2007-01-09",19.709999
"6","2007-01-10",19.92
"7","2007-01-11",20.059999
"8","2007-01-12",20.17
"9","2007-01-16",20.309999
"10","2007-01-17",19.98
"11","2007-01-18",19.9
"12","2007-01-19",20.049999
"13","2007-01-22",19.77
"14","2007-01-23",19.84
"15","2007-01-24",19.9
"16","2007-01-25",19.459999
"17","2007-01-26",19.58
"18","2007-01-29",19.620001
"19","2007-01-30",19.809999
"20","2007-01-31",19.76
"21","2007-02-01",19.99
"22","2007-02-02",20.120001
"23","2007-02-05",20.030001
"24","2007-02-06",20.040001
"25","2007-02-07",20.190001
"26","2007-02-08",20.17
"27","2007-02-09",19.98
"28","2007-02-12",19.65
"29","2007-02-13",19.969999
"30","2007-02-14",20.059999
"31","2007-02-15",20.07
"32","2007-02-16",20
"33","2007-02-20",20.450001
"34","2007-02-21",20.370001
"35","2007-02-22",20.74
"36","2007-02-23",20.530001
"37","2007-02-26",20.879999
"38","2007-02-27",19.870001
"39","2007-02-28",19.809999
"40","2007-03-01",19.26
"41","2007-03-02",18.969999
"42","2007-03-05",18.620001
"43","2007-03-06",19
"44","2007-03-07",19.07
"45","2007-03-08",19.83
"46","2007-03-09",19.940001
"47","2007-03-12",19.85
"48","2007-03-13",19.35
"49","2007-03-14",19.309999
"50","2007-03-15",19.32
"51","2007-03-16",19.24
"52","2007-03-19",19.610001
"53","2007-03-20",19.889999
"54","2007-03-21",20.27
"55","2007-03-22",20.34
"56","2007-03-23",20.24
"57","2007-03-26",20.120001
"58","2007-03-27",20.059999
"59","2007-03-28",19.74
"60","2007-03-29",19.959999
"61","2007-03-30",19.940001
"62","2007-04-02",20.139999
"63","2007-04-03",20.42
"64","2007-04-04",20.379999
"65","2007-04-05",20.59
"66","2007-04-09",20.540001
"67","2007-04-10",20.82
"68","2007-04-11",20.68
"69","2007-04-12",20.940001
"70","2007-04-13",21.09
"71","2007-04-16",21.16
"72","2007-04-17",21
"73","2007-04-18",20.91
"74","2007-04-19",20.690001
"75","2007-04-20",21.139999
"76","2007-04-23",20.889999
"77","2007-04-24",21.16
"78","2007-04-25",21.360001
"79","2007-04-26",20.860001
"80","2007-04-27",20.709999
"81","2007-04-30",20.68
"82","2007-05-01",20.66
"83","2007-05-02",21.25
"84","2007-05-03",21.309999
"85","2007-05-04",21.440001
"86","2007-05-07",21.9
"87","2007-05-08",21.610001
"88","2007-05-09",21.059999
"89","2007-05-10",20.48
"90","2007-05-11",20.780001
"91","2007-05-14",20.620001
"92","2007-05-15",20.68
"93","2007-05-16",20.59
"94","2007-05-17",20.5
"95","2007-05-18",20.82
"96","2007-05-21",20.459999
"97","2007-05-22",20.66
"98","2007-05-23",20.4
"99","2007-05-24",19.9
"100","2007-05-25",20.32
"101","2007-05-29",20.34
"102","2007-05-30",20.450001
"103","2007-05-31",20.450001
"104","2007-06-01",20.459999
"105","2007-06-04",20.559999
"106","2007-06-05",20.5
"107","2007-06-06",20.040001
"108","2007-06-07",19.6
"109","2007-06-08",19.860001
"110","2007-06-11",19.799999
"111","2007-06-12",19.43
"112","2007-06-13",19.73
"113","2007-06-14",19.709999
"114","2007-06-15",20.110001
"115","2007-06-18",20.209999
"116","2007-06-19",20.42
"117","2007-06-20",20.17
"118","2007-06-21",20.34
"119","2007-06-22",19.93
"120","2007-06-25",19.879999
"121","2007-06-26",19.68
"122","2007-06-27",19.75
"123","2007-06-28",19.709999
"124","2007-06-29",19.65
"125","2007-07-02",19.860001
"126","2007-07-03",19.940001
"127","2007-07-05",19.76
"128","2007-07-06",19.950001
"129","2007-07-09",19.950001
"130","2007-07-10",19.549999
"131","2007-07-11",19.469999
"132","2007-07-12",19.67
"133","2007-07-13",19.68
"134","2007-07-16",19.65
