"","date","CDK"
"1","2014-09-22",31
"2","2014-09-23",31.35
"3","2014-09-24",32.98
"4","2014-09-25",31.75
"5","2014-09-26",31.120001
"6","2014-09-29",30.75
"7","2014-09-30",30.59
"8","2014-10-01",31
"9","2014-10-02",30.299999
"10","2014-10-03",29.559999
"11","2014-10-06",29.42
"12","2014-10-07",27.5
"13","2014-10-08",27.82
"14","2014-10-09",26.530001
"15","2014-10-10",26
"16","2014-10-13",26.174999
"17","2014-10-14",25.98
"18","2014-10-15",25.51
"19","2014-10-16",25.219999
"20","2014-10-17",26.67
"21","2014-10-20",27.200001
"22","2014-10-21",28.030001
"23","2014-10-22",28.120001
"24","2014-10-23",29.09
"25","2014-10-24",29.370001
"26","2014-10-27",29.790001
"27","2014-10-28",33.02
"28","2014-10-29",32.360001
"29","2014-10-30",32.650002
"30","2014-10-31",33.599998
"31","2014-11-03",33.610001
"32","2014-11-04",33.619999
"33","2014-11-05",34.619999
"34","2014-11-06",36.099998
"35","2014-11-07",36.59
"36","2014-11-10",36.810001
"37","2014-11-11",38.790001
"38","2014-11-12",40.02
"39","2014-11-13",41.93
"40","2014-11-14",39.669998
"41","2014-11-17",40.240002
"42","2014-11-18",39.099998
"43","2014-11-19",38.400002
"44","2014-11-20",38.139999
"45","2014-11-21",38.450001
"46","2014-11-24",38.470001
"47","2014-11-25",38.240002
"48","2014-11-26",37.970001
"49","2014-11-28",38.07
"50","2014-12-01",39.439999
"51","2014-12-02",40.470001
"52","2014-12-03",40.560001
"53","2014-12-04",40.889999
"54","2014-12-05",40.060001
"55","2014-12-08",40.34
"56","2014-12-09",40.779999
"57","2014-12-10",39.900002
"58","2014-12-11",40.169998
"59","2014-12-12",40.009998
"60","2014-12-15",39.419998
"61","2014-12-16",38.77
"62","2014-12-17",40.349998
"63","2014-12-18",40.709999
"64","2014-12-19",40.290001
"65","2014-12-22",39.799999
"66","2014-12-23",40.599998
"67","2014-12-24",41.25
"68","2014-12-26",41.290001
"69","2014-12-29",40.98
"70","2014-12-30",40.41
"71","2014-12-31",40.759998
"72","2015-01-02",40.470001
"73","2015-01-05",39.82
