"","date","GSUM"
"1","2016-09-23",15.75
"2","2016-09-26",15.92
"3","2016-09-27",16.639999
"4","2016-09-28",16.99
"5","2016-09-29",16.75
"6","2016-09-30",16.85
"7","2016-10-03",16.709999
"8","2016-10-04",17.85
"9","2016-10-05",17.389999
"10","2016-10-06",16.82
"11","2016-10-07",16.799999
"12","2016-10-10",17.860001
"13","2016-10-11",17.26
"14","2016-10-12",16.99
"15","2016-10-13",16.459999
"16","2016-10-14",16.43
"17","2016-10-17",16.42
"18","2016-10-18",16.049999
"19","2016-10-19",16.15
"20","2016-10-20",16.200001
"21","2016-10-21",16.040001
"22","2016-10-24",15.38
"23","2016-10-25",14.59
"24","2016-10-26",14.51
"25","2016-10-27",14.16
"26","2016-10-28",13.96
"27","2016-10-31",14.07
"28","2016-11-01",13.86
"29","2016-11-02",14.55
"30","2016-11-03",16
"31","2016-11-04",16.15
"32","2016-11-07",16.120001
"33","2016-11-08",16.09
"34","2016-11-09",15.4
"35","2016-11-10",14.37
"36","2016-11-11",14.85
"37","2016-11-14",14.51
"38","2016-11-15",16.120001
"39","2016-11-16",15.2
"40","2016-11-17",15.45
"41","2016-11-18",15.54
"42","2016-11-21",15.88
"43","2016-11-22",14.52
"44","2016-11-23",14.5
"45","2016-11-25",15.15
"46","2016-11-28",14.89
"47","2016-11-29",15.035
"48","2016-11-30",14.87
"49","2016-12-01",14.81
"50","2016-12-02",14.33
"51","2016-12-05",14.59
"52","2016-12-06",14.55
"53","2016-12-07",14.18
"54","2016-12-08",14
"55","2016-12-09",13.25
"56","2016-12-12",12.99
"57","2016-12-13",12.58
"58","2016-12-14",12.56
"59","2016-12-15",12.85
"60","2016-12-16",12.25
"61","2016-12-19",11.46
"62","2016-12-20",10.79
"63","2016-12-21",10.8
"64","2016-12-22",10.7
"65","2016-12-23",11.14
"66","2016-12-27",10.87
"67","2016-12-28",10.32
"68","2016-12-29",10.12
"69","2016-12-30",10.19
"70","2017-01-03",10.11
"71","2017-01-04",10.08
"72","2017-01-05",10.15
"73","2017-01-06",11.06
"74","2017-01-09",11.85
"75","2017-01-10",11.17
"76","2017-01-11",11.24
"77","2017-01-12",10.66
"78","2017-01-13",10.82
"79","2017-01-17",11.35
"80","2017-01-18",11.7
"81","2017-01-19",11.92
"82","2017-01-20",11.75
"83","2017-01-23",11.88
"84","2017-01-24",11.99
"85","2017-01-25",11.89
"86","2017-01-26",11.76
"87","2017-01-27",11.89
"88","2017-01-30",11.79
"89","2017-01-31",12
"90","2017-02-01",11.98
"91","2017-02-02",11.87
"92","2017-02-03",12
"93","2017-02-06",12.09
"94","2017-02-07",12.08
"95","2017-02-08",12.25
"96","2017-02-09",12.21
"97","2017-02-10",12.2
"98","2017-02-13",11.98
"99","2017-02-14",11.82
"100","2017-02-15",11.65
"101","2017-02-16",11.97
"102","2017-02-17",11.95
"103","2017-02-21",12.1
"104","2017-02-22",12.13
"105","2017-02-23",11.85
"106","2017-02-24",11.93
"107","2017-02-27",11.81
"108","2017-02-28",11.73
"109","2017-03-01",12
"110","2017-03-02",11.46
"111","2017-03-03",11.98
"112","2017-03-06",11.97
"113","2017-03-07",11.97
"114","2017-03-08",11.72
"115","2017-03-09",11.74
"116","2017-03-10",11.58
"117","2017-03-13",11.96
"118","2017-03-14",12.08
"119","2017-03-15",12.78
"120","2017-03-16",13.33
"121","2017-03-17",13.06
"122","2017-03-20",13.6
"123","2017-03-21",13.08
"124","2017-03-22",12.5
"125","2017-03-23",12.39
"126","2017-03-24",12.34
"127","2017-03-27",12.53
"128","2017-03-28",12.29
"129","2017-03-29",12.6
"130","2017-03-30",13.02
"131","2017-03-31",13.29
"132","2017-04-03",13.14
"133","2017-04-04",13.32
"134","2017-04-05",12.6
"135","2017-04-06",12.73
"136","2017-04-07",12.96
"137","2017-04-10",12.66
"138","2017-04-11",12.76
"139","2017-04-12",12.75
"140","2017-04-13",12.9
"141","2017-04-17",12.66
"142","2017-04-18",12.91
"143","2017-04-19",12.78
"144","2017-04-20",12.2
"145","2017-04-21",12.26
"146","2017-04-24",12.54
"147","2017-04-25",12.45
"148","2017-04-26",12.22
"149","2017-04-27",12.165
"150","2017-04-28",12.27
"151","2017-05-01",12.1
"152","2017-05-02",12.11
"153","2017-05-03",12.03
"154","2017-05-04",11.99
"155","2017-05-05",12.34
"156","2017-05-08",12.06
"157","2017-05-09",11.9
"158","2017-05-10",12
"159","2017-05-11",11.71
"160","2017-05-12",11.635
"161","2017-05-15",11.635
"162","2017-05-16",12.11
"163","2017-05-17",11.61
"164","2017-05-18",11.67
"165","2017-05-19",11.9
"166","2017-05-22",11.73
"167","2017-05-23",11.81
"168","2017-05-24",12.64
"169","2017-05-25",12.9
"170","2017-05-26",11.85
"171","2017-05-30",12.1
"172","2017-05-31",12.25
"173","2017-06-01",11.97
"174","2017-06-02",11.08
"175","2017-06-05",10.17
"176","2017-06-06",10.17
"177","2017-06-07",9.7
"178","2017-06-08",9.42
"179","2017-06-09",9.44
"180","2017-06-12",9.26
"181","2017-06-13",9.11
"182","2017-06-14",8.75
"183","2017-06-15",8.33
"184","2017-06-16",8.67
"185","2017-06-19",8.85
"186","2017-06-20",8.85
"187","2017-06-21",9.02
"188","2017-06-22",8.97
"189","2017-06-23",9.12
"190","2017-06-26",9.275
"191","2017-06-27",8.6
"192","2017-06-28",8.72
"193","2017-06-29",8.31
"194","2017-06-30",8.56
"195","2017-07-03",8.49
"196","2017-07-05",8.41
"197","2017-07-06",8.17
"198","2017-07-07",7.82
"199","2017-07-10",8.14
"200","2017-07-11",8.63
"201","2017-07-12",8.82
"202","2017-07-13",8.72
"203","2017-07-14",8.9
"204","2017-07-17",8.76
"205","2017-07-18",8.22
"206","2017-07-19",8.26
"207","2017-07-20",8.11
"208","2017-07-21",8.21
"209","2017-07-24",8.16
"210","2017-07-25",8.16
"211","2017-07-26",8.01
"212","2017-07-27",7.6
"213","2017-07-28",7.4
"214","2017-07-31",7.53
"215","2017-08-01",7.22
"216","2017-08-02",7.01
"217","2017-08-03",7.13
"218","2017-08-04",7.31
"219","2017-08-07",8.05
"220","2017-08-08",8.08
"221","2017-08-09",8.41
"222","2017-08-10",8.31
"223","2017-08-11",8.95
"224","2017-08-14",8.72
"225","2017-08-15",8.61
"226","2017-08-16",8.26
"227","2017-08-17",8.3
"228","2017-08-18",8.46
"229","2017-08-21",8.31
"230","2017-08-22",8.35
"231","2017-08-23",8.7
"232","2017-08-24",8.88
"233","2017-08-25",9.7
"234","2017-08-28",9.37
"235","2017-08-29",9.21
"236","2017-08-30",9.09
"237","2017-08-31",9.29
"238","2017-09-01",9.52
"239","2017-09-05",9.39
"240","2017-09-06",9.21
"241","2017-09-07",9.22
"242","2017-09-08",9.25
"243","2017-09-11",9.58
"244","2017-09-12",10.18
"245","2017-09-13",10.8
"246","2017-09-14",11.54
"247","2017-09-15",10.8
"248","2017-09-18",11.41
"249","2017-09-19",11.04
"250","2017-09-20",10.62
"251","2017-09-21",10.81
"252","2017-09-22",10.55
"253","2017-09-25",10.21
"254","2017-09-26",10.21
"255","2017-09-27",10.06
"256","2017-09-28",10.1
"257","2017-09-29",10.3
"258","2017-10-02",9.8
"259","2017-10-03",9.59
"260","2017-10-04",9.52
"261","2017-10-05",9.95
"262","2017-10-06",9.85
"263","2017-10-09",9.87
"264","2017-10-10",9.4
"265","2017-10-11",9.32
"266","2017-10-12",8.92
"267","2017-10-13",8.99
"268","2017-10-16",8.87
"269","2017-10-17",8.59
"270","2017-10-18",8.46
"271","2017-10-19",8.3
"272","2017-10-20",8.39
"273","2017-10-23",8.2
"274","2017-10-24",8.36
"275","2017-10-25",7.98
"276","2017-10-26",7.76
"277","2017-10-27",8.3
"278","2017-10-30",7.91
"279","2017-10-31",8.65
"280","2017-11-01",8.4
"281","2017-11-02",8.52
"282","2017-11-03",8.98
"283","2017-11-06",8.76
"284","2017-11-07",8.64
"285","2017-11-08",8.89
"286","2017-11-09",8.58
"287","2017-11-10",8.41
"288","2017-11-13",8.55
"289","2017-11-14",8.5
"290","2017-11-15",8.695
"291","2017-11-16",9.26
"292","2017-11-17",9.28
"293","2017-11-20",9.42
"294","2017-11-21",10.24
"295","2017-11-22",10.49
"296","2017-11-24",10.83
"297","2017-11-27",10.11
"298","2017-11-28",10
"299","2017-11-29",8.8
"300","2017-11-30",8.56
"301","2017-12-01",8.57
"302","2017-12-04",8.41
"303","2017-12-05",8.25
"304","2017-12-06",8.41
"305","2017-12-07",8.74
"306","2017-12-08",8.28
"307","2017-12-11",8.37
"308","2017-12-12",8.13
"309","2017-12-13",8.14
"310","2017-12-14",8.46
"311","2017-12-15",8.63
"312","2017-12-18",9.05
"313","2017-12-19",8.91
"314","2017-12-20",9.2
"315","2017-12-21",9.54
"316","2017-12-22",8.84
"317","2017-12-26",8.56
"318","2017-12-27",8.86
"319","2017-12-28",9
"320","2017-12-29",9.15
"321","2018-01-02",9.33
"322","2018-01-03",9.2
"323","2018-01-04",9.54
"324","2018-01-05",9.67
"325","2018-01-08",9.44
"326","2018-01-09",10.97
"327","2018-01-10",10.8
"328","2018-01-11",11.58
"329","2018-01-12",11.78
"330","2018-01-16",11.29
"331","2018-01-17",11.34
"332","2018-01-18",11.51
"333","2018-01-19",12.58
"334","2018-01-22",12.56
"335","2018-01-23",12.27
"336","2018-01-24",12.28
"337","2018-01-25",12.89
"338","2018-01-26",12.72
"339","2018-01-29",12.76
"340","2018-01-30",12.79
"341","2018-01-31",13.28
"342","2018-02-01",13.39
"343","2018-02-02",12.42
"344","2018-02-05",11.37
"345","2018-02-06",11.41
"346","2018-02-07",11.54
"347","2018-02-08",10.74
"348","2018-02-09",10.69
"349","2018-02-12",10.72
"350","2018-02-13",10.42
"351","2018-02-14",11.12
"352","2018-02-15",10.82
"353","2018-02-16",10.35
"354","2018-02-20",10.37
"355","2018-02-21",10.32
"356","2018-02-22",9.9
"357","2018-02-23",10.21
"358","2018-02-26",10.38
"359","2018-02-27",10.36
"360","2018-02-28",10.89
"361","2018-03-01",10.26
"362","2018-03-02",10.23
"363","2018-03-05",10.22
"364","2018-03-06",10.61
"365","2018-03-07",10.73
"366","2018-03-08",10
"367","2018-03-09",9.66
"368","2018-03-12",10.09
"369","2018-03-13",9.94
"370","2018-03-14",9.98
"371","2018-03-15",9.9
"372","2018-03-16",9.16
"373","2018-03-19",8.82
"374","2018-03-20",9.14
"375","2018-03-21",8.86
"376","2018-03-22",8.69
"377","2018-03-23",8.32
"378","2018-03-26",8.64
"379","2018-03-27",8.67
"380","2018-03-28",8.3
"381","2018-03-29",8.17
"382","2018-04-02",8.46
"383","2018-04-03",8.08
"384","2018-04-04",8.33
"385","2018-04-05",8.58
"386","2018-04-06",8.1
"387","2018-04-09",8.15
"388","2018-04-10",8.3
"389","2018-04-11",8.53
"390","2018-04-12",8.37
"391","2018-04-13",7.88
"392","2018-04-16",7.7
"393","2018-04-17",7.77
"394","2018-04-18",7.69
"395","2018-04-19",7.68
"396","2018-04-20",7.29
"397","2018-04-23",6.12
"398","2018-04-24",5.5
"399","2018-04-25",5.29
"400","2018-04-26",5.08
"401","2018-04-27",5.35
"402","2018-04-30",5.02
"403","2018-05-01",5.24
"404","2018-05-02",5.66
"405","2018-05-03",5.53
"406","2018-05-04",5.73
"407","2018-05-07",5.73
"408","2018-05-08",6.28
"409","2018-05-09",6.25
"410","2018-05-10",6.12
"411","2018-05-11",6.23
"412","2018-05-14",6.18
"413","2018-05-15",6.09
"414","2018-05-16",6.2
"415","2018-05-17",6.3
"416","2018-05-18",6.3
"417","2018-05-21",6.26
"418","2018-05-22",6.21
"419","2018-05-23",6.31
"420","2018-05-24",6.28
"421","2018-05-25",6.24
"422","2018-05-29",6.27
"423","2018-05-30",6.44
"424","2018-05-31",6.67
"425","2018-06-01",6.86
"426","2018-06-04",6.87
"427","2018-06-05",6.73
"428","2018-06-06",6.7
"429","2018-06-07",6.26
"430","2018-06-08",6.25
"431","2018-06-11",6.26
"432","2018-06-12",6.32
"433","2018-06-13",6.49
"434","2018-06-14",6.49
"435","2018-06-15",6.37
"436","2018-06-18",6.38
"437","2018-06-19",6.39
"438","2018-06-20",6.48
"439","2018-06-21",6.37
"440","2018-06-22",6.43
"441","2018-06-25",6.3
"442","2018-06-26",6.66
