"","date","TDAC"
"1","2018-06-13",9.75
"2","2018-06-14",9.75
"3","2018-06-15",9.75
"4","2018-06-18",9.75
"5","2018-06-19",9.75
"6","2018-06-20",9.75
"7","2018-06-21",9.75
"8","2018-06-22",9.78
"9","2018-06-25",9.76
"10","2018-06-26",9.76
"11","2018-06-27",9.76
"12","2018-06-28",9.76
"13","2018-06-29",9.75
"14","2018-07-02",9.75
"15","2018-07-03",9.76
"16","2018-07-05",9.76
"17","2018-07-06",9.75
"18","2018-07-09",9.75
"19","2018-07-10",9.75
"20","2018-07-11",9.75
"21","2018-07-12",9.75
"22","2018-07-13",9.75
"23","2018-07-16",9.75
"24","2018-07-17",9.75
"25","2018-07-18",9.75
"26","2018-07-19",9.75
"27","2018-07-20",9.75
"28","2018-07-23",9.75
"29","2018-07-24",9.75
"30","2018-07-25",9.75
"31","2018-07-26",9.74
"32","2018-07-27",9.75
"33","2018-07-30",9.75
"34","2018-07-31",9.75
"35","2018-08-01",9.75
"36","2018-08-02",9.746
"37","2018-08-03",9.76
"38","2018-08-06",9.8
"39","2018-08-07",9.8
"40","2018-08-08",9.8
"41","2018-08-09",9.8
"42","2018-08-10",9.8
"43","2018-08-13",9.76
"44","2018-08-14",9.8
"45","2018-08-15",9.8
"46","2018-08-16",9.8
"47","2018-08-17",9.75
"48","2018-08-20",9.8
"49","2018-08-21",9.8
"50","2018-08-22",9.8
"51","2018-08-23",9.77
"52","2018-08-24",9.8
"53","2018-08-27",9.79
"54","2018-08-28",9.8
"55","2018-08-29",9.8
"56","2018-08-30",9.81
"57","2018-08-31",9.81
"58","2018-09-04",9.83
"59","2018-09-05",9.82
"60","2018-09-06",9.82
"61","2018-09-07",9.83
"62","2018-09-10",9.82
"63","2018-09-11",9.82
"64","2018-09-12",9.82
"65","2018-09-13",9.83
"66","2018-09-14",9.8
"67","2018-09-17",9.78
"68","2018-09-18",9.8
"69","2018-09-19",9.8
"70","2018-09-20",9.8
"71","2018-09-21",9.82
"72","2018-09-24",9.8
"73","2018-09-25",9.8
"74","2018-09-26",9.82
"75","2018-09-27",9.82
"76","2018-09-28",9.82
"77","2018-10-01",9.82
"78","2018-10-02",9.8
"79","2018-10-03",9.8
"80","2018-10-04",9.78
"81","2018-10-05",9.81
"82","2018-10-08",9.81
"83","2018-10-09",9.81
"84","2018-10-10",9.81
"85","2018-10-11",9.82
"86","2018-10-12",9.82
"87","2018-10-15",9.8
"88","2018-10-16",9.8
"89","2018-10-17",9.8
"90","2018-10-18",9.8
"91","2018-10-19",9.82
"92","2018-10-22",9.82
"93","2018-10-23",9.82
"94","2018-10-24",9.83
"95","2018-10-25",9.84
"96","2018-10-26",9.83
"97","2018-10-29",9.85
"98","2018-10-30",9.86
"99","2018-10-31",9.82
"100","2018-11-01",9.83
"101","2018-11-02",9.83
"102","2018-11-05",9.84
"103","2018-11-06",9.88
"104","2018-11-07",9.88
"105","2018-11-08",9.88
"106","2018-11-09",9.89
"107","2018-11-12",9.88
"108","2018-11-13",9.88
"109","2018-11-14",9.88
"110","2018-11-15",9.88
"111","2018-11-16",9.86
"112","2018-11-19",9.88
"113","2018-11-20",9.94
"114","2018-11-21",9.94
"115","2018-11-23",9.94
"116","2018-11-26",9.89
"117","2018-11-27",9.93
"118","2018-11-28",9.95
"119","2018-11-29",9.93
"120","2018-11-30",9.93
"121","2018-12-03",9.93
"122","2018-12-04",9.93
"123","2018-12-06",9.93
"124","2018-12-07",9.94
"125","2018-12-10",9.95
"126","2018-12-11",9.93
"127","2018-12-12",9.98
"128","2018-12-13",9.98
"129","2018-12-14",9.98
"130","2018-12-17",9.98
"131","2018-12-18",9.93
"132","2018-12-19",9.94
"133","2018-12-20",9.93
"134","2018-12-21",9.93
"135","2018-12-24",9.97
"136","2018-12-26",9.95
"137","2018-12-27",9.95
"138","2018-12-28",9.969
"139","2018-12-31",9.97
"140","2019-01-02",9.97
"141","2019-01-03",9.99
"142","2019-01-04",9.98
"143","2019-01-07",9.99
"144","2019-01-08",9.99
"145","2019-01-09",10.009
"146","2019-01-10",10.009
"147","2019-01-11",10
"148","2019-01-14",10.01
"149","2019-01-15",10.05
"150","2019-01-16",10.01
"151","2019-01-17",10.02
"152","2019-01-18",10.04
"153","2019-01-22",10.01
"154","2019-01-23",10.01
"155","2019-01-24",10.04
"156","2019-01-25",10.04
"157","2019-01-28",10.08
"158","2019-01-29",10.07
"159","2019-01-30",10.08
"160","2019-01-31",10.08
"161","2019-02-01",10.08
"162","2019-02-04",10.08
"163","2019-02-05",10.08
"164","2019-02-06",10.12
"165","2019-02-07",10.12
"166","2019-02-08",10.12
"167","2019-02-11",10.12
"168","2019-02-12",10.12
"169","2019-02-13",10.13
"170","2019-02-14",10.12
"171","2019-02-15",10.13
"172","2019-02-19",10.14
"173","2019-02-20",10.14
"174","2019-02-21",10.14
"175","2019-02-22",10.14
"176","2019-02-25",10.15
"177","2019-02-26",10.15
"178","2019-02-27",10.16
"179","2019-02-28",10.15
"180","2019-03-01",10.14
"181","2019-03-04",10.14
"182","2019-03-05",10.14
"183","2019-03-06",10.15
"184","2019-03-07",10.15
"185","2019-03-08",10.15
"186","2019-03-11",10.15
"187","2019-03-12",10.17
"188","2019-03-13",10.17
"189","2019-03-14",10.18
"190","2019-03-15",10.15
"191","2019-03-18",10.15
"192","2019-03-19",10.15
"193","2019-03-20",10.18
"194","2019-03-21",10.16
"195","2019-03-22",10.16
"196","2019-03-25",10.16
"197","2019-03-26",10.18
"198","2019-03-27",10.18
"199","2019-03-28",10.18
"200","2019-03-29",10.19
"201","2019-04-01",10.2
"202","2019-04-02",10.2
"203","2019-04-03",10.22
"204","2019-04-04",10.23
"205","2019-04-05",10.19
"206","2019-04-08",10.19
"207","2019-04-09",10.17
"208","2019-04-10",10.17
"209","2019-04-11",10.17
"210","2019-04-12",10.17
"211","2019-04-15",10.22
"212","2019-04-16",10.18
"213","2019-04-17",10.23
"214","2019-04-18",10.23
"215","2019-04-22",10.23
"216","2019-04-23",10.23
"217","2019-04-24",10.23
"218","2019-04-25",10.23
"219","2019-04-26",10.25
"220","2019-04-29",10.25
"221","2019-04-30",10.25
"222","2019-05-01",10.25
"223","2019-05-02",10.23
"224","2019-05-03",10.23
"225","2019-05-06",10.23
"226","2019-05-07",10.26
"227","2019-05-08",10.23
"228","2019-05-09",10.24
"229","2019-05-10",10.24
"230","2019-05-13",10.24
"231","2019-05-14",10.24
"232","2019-05-15",10.24
"233","2019-05-16",10.24
"234","2019-05-17",10.26
"235","2019-05-20",10.26
"236","2019-05-21",10.26
"237","2019-05-22",10.26
"238","2019-05-23",10.26
"239","2019-05-24",10.26
"240","2019-05-28",10.26
"241","2019-05-29",10.3
"242","2019-05-30",10.3
"243","2019-05-31",10.28
"244","2019-06-03",10.26
"245","2019-06-04",10.35
"246","2019-06-05",10.31
"247","2019-06-06",10.31
"248","2019-06-07",10.31
"249","2019-06-10",10.33
"250","2019-06-11",10.33
"251","2019-06-12",10.33
"252","2019-06-13",10.31
