"","date","WHF"
"1","2012-12-06",14.17
"2","2012-12-07",14.11
"3","2012-12-10",14.15
"4","2012-12-11",14.26
"5","2012-12-12",14.3
"6","2012-12-13",14.39
"7","2012-12-14",14.35
"8","2012-12-17",14.5
"9","2012-12-18",14.5
"10","2012-12-19",14.4
"11","2012-12-20",14.68
"12","2012-12-21",14.55
"13","2012-12-24",14.61
"14","2012-12-26",14.39
"15","2012-12-27",14.42
"16","2012-12-28",14.79
"17","2012-12-31",14.81
"18","2013-01-02",15.02
"19","2013-01-03",14.9
"20","2013-01-04",14.99
"21","2013-01-07",14.9
"22","2013-01-08",14.9
"23","2013-01-09",14.94
"24","2013-01-10",14.85
"25","2013-01-11",14.85
"26","2013-01-14",14.84
"27","2013-01-15",14.85
"28","2013-01-16",14.81
"29","2013-01-17",14.74
"30","2013-01-18",14.72
"31","2013-01-22",14.78
"32","2013-01-23",14.72
"33","2013-01-24",14.73
"34","2013-01-25",14.76
"35","2013-01-28",14.71
"36","2013-01-29",14.85
"37","2013-01-30",14.98
"38","2013-01-31",15
"39","2013-02-01",14.99
"40","2013-02-04",15
"41","2013-02-05",14.99
"42","2013-02-06",14.85
"43","2013-02-07",14.77
"44","2013-02-08",14.98
"45","2013-02-11",14.85
"46","2013-02-12",15
"47","2013-02-13",15
"48","2013-02-14",15.01
"49","2013-02-15",14.96
"50","2013-02-19",14.95
"51","2013-02-20",15.07
"52","2013-02-21",14.92
"53","2013-02-22",14.94
"54","2013-02-25",15
"55","2013-02-26",14.96
"56","2013-02-27",15.05
"57","2013-02-28",15.05
"58","2013-03-01",15.06
"59","2013-03-04",15.25
"60","2013-03-05",15.33
"61","2013-03-06",15.3
"62","2013-03-07",15.32
"63","2013-03-08",15.29
"64","2013-03-11",15.37
"65","2013-03-12",15.39
"66","2013-03-13",15.45
"67","2013-03-14",15.46
"68","2013-03-15",15.5
"69","2013-03-18",15.61
"70","2013-03-19",15.5
"71","2013-03-20",15.4
"72","2013-03-21",15.4
"73","2013-03-22",15.54
"74","2013-03-25",15.47
"75","2013-03-26",15.53
"76","2013-03-27",15.45
"77","2013-03-28",15.83
"78","2013-04-01",15.24
"79","2013-04-02",15.25
"80","2013-04-03",15.02
"81","2013-04-04",15.23
"82","2013-04-05",15.03
"83","2013-04-08",15.07
"84","2013-04-09",15.12
"85","2013-04-10",15.41
"86","2013-04-11",15.5
"87","2013-04-12",15.45
"88","2013-04-15",14.92
"89","2013-04-16",15.29
"90","2013-04-17",15.06
"91","2013-04-18",15.23
"92","2013-04-19",15.39
"93","2013-04-22",15.7
"94","2013-04-23",15.64
"95","2013-04-24",15.65
"96","2013-04-25",15.67
"97","2013-04-26",15.67
"98","2013-04-29",15.74
"99","2013-04-30",15.85
"100","2013-05-01",15.35
"101","2013-05-02",15.75
"102","2013-05-03",15.65
"103","2013-05-06",15.74
"104","2013-05-07",15.85
"105","2013-05-08",15.78
"106","2013-05-09",15.64
"107","2013-05-10",15.55
"108","2013-05-13",15.55
"109","2013-05-14",15.78
"110","2013-05-15",15.79
"111","2013-05-16",15.81
"112","2013-05-17",15.76
"113","2013-05-20",15.79
"114","2013-05-21",15.94
"115","2013-05-22",15.61
"116","2013-05-23",15.7
"117","2013-05-24",15.94
"118","2013-05-28",15.7
"119","2013-05-29",15.68
"120","2013-05-30",15.53
"121","2013-05-31",15.39
"122","2013-06-03",15.48
"123","2013-06-04",15.75
"124","2013-06-05",15.52
"125","2013-06-06",15.58
"126","2013-06-07",15.75
"127","2013-06-10",15.63
"128","2013-06-11",15.58
"129","2013-06-12",15.57
"130","2013-06-13",15.74
"131","2013-06-14",15.53
"132","2013-06-17",15.93
"133","2013-06-18",15.99
"134","2013-06-19",15.57
"135","2013-06-20",15.39
"136","2013-06-21",14.35
"137","2013-06-24",14.73
"138","2013-06-25",15.09
"139","2013-06-26",15.06
"140","2013-06-27",15.02
"141","2013-06-28",15.75
"142","2013-07-01",15.8
"143","2013-07-02",15.31
"144","2013-07-03",15.79
"145","2013-07-05",15.79
"146","2013-07-08",15.54
"147","2013-07-09",15.84
"148","2013-07-10",15.8
"149","2013-07-11",15.73
"150","2013-07-12",15.65
"151","2013-07-15",15.81
"152","2013-07-16",15.58
"153","2013-07-17",15.81
"154","2013-07-18",15.66
"155","2013-07-19",15.59
"156","2013-07-22",15.78
"157","2013-07-23",15.45
"158","2013-07-24",15.65
"159","2013-07-25",15.57
"160","2013-07-26",15.67
"161","2013-07-29",15.64
"162","2013-07-30",15.84
"163","2013-07-31",15.85
"164","2013-08-01",15.67
"165","2013-08-02",15.67
"166","2013-08-05",15.34
"167","2013-08-06",15.28
"168","2013-08-07",14.82
"169","2013-08-08",14.89
"170","2013-08-09",14.73
"171","2013-08-12",15.36
"172","2013-08-13",15.4
"173","2013-08-14",14.8
"174","2013-08-15",14.75
"175","2013-08-16",14.76
"176","2013-08-19",14.71
"177","2013-08-20",15.02
"178","2013-08-21",14.8
"179","2013-08-22",15.34
"180","2013-08-23",15.31
"181","2013-08-26",15.28
"182","2013-08-27",15.07
"183","2013-08-28",15.06
"184","2013-08-29",15.2
"185","2013-08-30",15.1
"186","2013-09-03",15.12
"187","2013-09-04",15.14
"188","2013-09-05",15.16
"189","2013-09-06",15.01
"190","2013-09-09",15.31
"191","2013-09-10",15.43
"192","2013-09-11",15.62
"193","2013-09-12",15.48
"194","2013-09-13",15.55
"195","2013-09-16",15.72
"196","2013-09-17",15.77
"197","2013-09-18",15.5
"198","2013-09-19",15.3
"199","2013-09-20",15.24
"200","2013-09-23",15.29
"201","2013-09-24",15.41
"202","2013-09-25",15.35
"203","2013-09-26",15.21
"204","2013-09-27",15.21
"205","2013-09-30",15.1
"206","2013-10-01",15.33
"207","2013-10-02",15.03
"208","2013-10-03",14.8
"209","2013-10-04",14.97
"210","2013-10-07",14.86
"211","2013-10-08",14.81
"212","2013-10-09",14.63
"213","2013-10-10",14.79
"214","2013-10-11",14.73
"215","2013-10-14",14.81
"216","2013-10-15",14.85
"217","2013-10-16",15.08
"218","2013-10-17",15.21
"219","2013-10-18",15.41
"220","2013-10-21",15.22
"221","2013-10-22",15.28
"222","2013-10-23",15.19
"223","2013-10-24",15.3
"224","2013-10-25",15.5
"225","2013-10-28",15.56
"226","2013-10-29",15.56
"227","2013-10-30",15.34
"228","2013-10-31",15.41
"229","2013-11-01",15.54
"230","2013-11-04",15.29
"231","2013-11-05",15.36
"232","2013-11-06",15.45
"233","2013-11-07",15.36
"234","2013-11-08",15.74
"235","2013-11-11",15.53
"236","2013-11-12",15.65
"237","2013-11-13",15.2
"238","2013-11-14",14.85
"239","2013-11-15",14.7
"240","2013-11-18",14.7
"241","2013-11-19",14.91
"242","2013-11-20",14.89
"243","2013-11-21",15
