"","date","ETON"
"1","2018-11-13",6.25
"2","2018-11-14",6
"3","2018-11-15",6.05
"4","2018-11-16",6.1
"5","2018-11-19",6.02
"6","2018-11-20",6.01
"7","2018-11-21",6.03
"8","2018-11-23",6.09
"9","2018-11-26",6.03
"10","2018-11-27",6.05
"11","2018-11-28",6.57
"12","2018-11-29",6.24
"13","2018-11-30",6.35
"14","2018-12-03",6.2
"15","2018-12-04",6.25
"16","2018-12-06",6.15
"17","2018-12-07",6.15
"18","2018-12-10",6.08
"19","2018-12-11",6.15
"20","2018-12-12",6.02
"21","2018-12-13",6.01
"22","2018-12-14",6
"23","2018-12-17",6.5
"24","2018-12-18",6.68
"25","2018-12-19",6.3
"26","2018-12-20",6.09
"27","2018-12-21",5.79
"28","2018-12-24",6
"29","2018-12-26",6
"30","2018-12-27",6
"31","2018-12-28",6
"32","2018-12-31",6.12
"33","2019-01-02",6.1
"34","2019-01-03",6
"35","2019-01-04",5.72
"36","2019-01-07",6
"37","2019-01-08",6
"38","2019-01-09",6
"39","2019-01-10",6.01
"40","2019-01-11",6.05
"41","2019-01-14",6.1
"42","2019-01-15",6.1
"43","2019-01-16",6.1
"44","2019-01-17",6.1
"45","2019-01-18",6.1
"46","2019-01-22",6.1
"47","2019-01-23",6.1
"48","2019-01-24",6.2
"49","2019-01-25",6.2
"50","2019-01-28",6
"51","2019-01-29",6.2
"52","2019-01-30",6.2
"53","2019-01-31",6.1
"54","2019-02-01",6.49
"55","2019-02-04",6.39
"56","2019-02-05",6.4
"57","2019-02-06",6.5
"58","2019-02-07",6.66
"59","2019-02-08",6.64
"60","2019-02-11",6.5
"61","2019-02-12",6.74
"62","2019-02-13",6.59
"63","2019-02-14",6.53
"64","2019-02-15",6.75
"65","2019-02-19",7.49
"66","2019-02-20",7.31
"67","2019-02-21",7.29
"68","2019-02-22",7.3
"69","2019-02-25",7.6
"70","2019-02-26",7.87
"71","2019-02-27",7.91
"72","2019-02-28",7.94
"73","2019-03-01",7.9
"74","2019-03-04",7.82
"75","2019-03-05",7.84
"76","2019-03-06",8
"77","2019-03-07",7.95
"78","2019-03-08",7.9
"79","2019-03-11",7.92
"80","2019-03-12",7.85
"81","2019-03-13",7.51
"82","2019-03-14",7.6
"83","2019-03-15",7.5
"84","2019-03-18",7.6
"85","2019-03-19",7.54
"86","2019-03-20",7.79
"87","2019-03-21",7.74
"88","2019-03-22",7.8
"89","2019-03-25",7.95
"90","2019-03-26",7.62
"91","2019-03-27",7.58
"92","2019-03-28",7.93
"93","2019-03-29",8
"94","2019-04-01",7.95
"95","2019-04-02",8.09
"96","2019-04-03",7.82
"97","2019-04-04",8.1
"98","2019-04-05",7.65
"99","2019-04-08",7.93
"100","2019-04-09",7.55
"101","2019-04-10",7.8
"102","2019-04-11",7.68
"103","2019-04-12",7.79
"104","2019-04-15",7.65
"105","2019-04-16",7.42
"106","2019-04-17",7.68
"107","2019-04-18",7.5
"108","2019-04-22",7.58
"109","2019-04-23",7.63
"110","2019-04-24",7.35
"111","2019-04-25",7.58
"112","2019-04-26",7.45
"113","2019-04-29",7.35
"114","2019-04-30",7.36
"115","2019-05-01",7.4
"116","2019-05-02",7.45
"117","2019-05-03",7.3
"118","2019-05-06",7.4
"119","2019-05-07",7.7
"120","2019-05-08",7.64
"121","2019-05-09",7.42
"122","2019-05-10",8.3
"123","2019-05-13",8.12
"124","2019-05-14",7.91
"125","2019-05-15",8.28
"126","2019-05-16",8.33
"127","2019-05-17",8.3
"128","2019-05-20",7.92
"129","2019-05-21",7.9
"130","2019-05-22",8
"131","2019-05-23",8
"132","2019-05-24",8.34
"133","2019-05-28",8.39
"134","2019-05-29",8.08
"135","2019-05-30",8.21
"136","2019-05-31",8.1
"137","2019-06-03",8.14
"138","2019-06-04",8.1
"139","2019-06-05",8.07
"140","2019-06-06",7.84
"141","2019-06-07",8.14
"142","2019-06-10",7.97
"143","2019-06-11",7.89
"144","2019-06-12",7.92
"145","2019-06-13",8
"146","2019-06-14",7.75
"147","2019-06-17",7.21
"148","2019-06-18",7.35
"149","2019-06-19",7.36
"150","2019-06-20",7.4
"151","2019-06-21",7.42
"152","2019-06-24",7.1
"153","2019-06-25",7.28
"154","2019-06-26",7.44
"155","2019-06-27",7.79
"156","2019-06-28",7.9
"157","2019-07-01",7.5
"158","2019-07-02",7.52
"159","2019-07-03",7.39
"160","2019-07-05",7.72
"161","2019-07-08",8.05
"162","2019-07-09",8.19
"163","2019-07-10",8.72
"164","2019-07-11",8.55
"165","2019-07-12",8.3
"166","2019-07-15",7
"167","2019-07-16",6.94
"168","2019-07-17",6.65
"169","2019-07-18",6.65
"170","2019-07-19",6.58
"171","2019-07-22",6.55
"172","2019-07-23",6.24
"173","2019-07-24",6.25
"174","2019-07-25",6.2
"175","2019-07-26",6.26
"176","2019-07-29",6.28
"177","2019-07-30",6.24
"178","2019-07-31",6.09
"179","2019-08-01",6.32
"180","2019-08-02",6.48
"181","2019-08-05",6.12
"182","2019-08-06",6.02
"183","2019-08-07",6.22
"184","2019-08-08",6.26
"185","2019-08-09",6.01
"186","2019-08-12",6.11
"187","2019-08-13",5.93
"188","2019-08-14",5.91
"189","2019-08-15",5.66
"190","2019-08-16",5.66
"191","2019-08-19",5.71
"192","2019-08-20",5.68
"193","2019-08-21",5.75
"194","2019-08-22",5.76
"195","2019-08-23",5.73
"196","2019-08-26",5.59
"197","2019-08-27",5.4
"198","2019-08-28",5.41
"199","2019-08-29",5.36
"200","2019-08-30",5.59
"201","2019-09-03",5.26
"202","2019-09-04",5.19
"203","2019-09-05",5.25
"204","2019-09-06",5.26
"205","2019-09-09",5.69
"206","2019-09-10",6.03
"207","2019-09-11",6.24
"208","2019-09-12",6.21
"209","2019-09-13",6.24
"210","2019-09-16",6.34
"211","2019-09-17",6.87
"212","2019-09-18",6.82
"213","2019-09-19",6.67
"214","2019-09-20",7.14
"215","2019-09-23",6.82
"216","2019-09-24",6.75
"217","2019-09-25",6.28
"218","2019-09-26",6.33
"219","2019-09-27",6.2
"220","2019-09-30",6.32
"221","2019-10-01",5.88
"222","2019-10-02",5.9
"223","2019-10-03",6.03
"224","2019-10-04",6.3
"225","2019-10-07",6.41
"226","2019-10-08",5.94
"227","2019-10-09",5.79
"228","2019-10-10",5.92
"229","2019-10-11",6.2
"230","2019-10-14",6.32
"231","2019-10-15",6.33
"232","2019-10-16",6.12
"233","2019-10-17",6.13
"234","2019-10-18",6.06
"235","2019-10-21",5.83
"236","2019-10-22",6.43
"237","2019-10-23",6.21
"238","2019-10-24",5.86
"239","2019-10-25",5.9
"240","2019-10-28",5.85
"241","2019-10-29",5.98
"242","2019-10-30",5.95
"243","2019-10-31",5.95
"244","2019-11-01",5.9
"245","2019-11-04",6
"246","2019-11-05",6.1
"247","2019-11-06",5.99
"248","2019-11-07",5.73
"249","2019-11-08",5.75
"250","2019-11-11",5.59
"251","2019-11-12",5.59
"252","2019-11-13",5.75
"253","2019-11-14",6.01
"254","2019-11-15",5.86
"255","2019-11-18",5.61
"256","2019-11-19",5.88
"257","2019-11-20",5.94
"258","2019-11-21",6.05
"259","2019-11-22",6.24
"260","2019-11-25",6.27
"261","2019-11-26",6.29
"262","2019-11-27",6.32
"263","2019-11-29",6.4
"264","2019-12-02",6.33
"265","2019-12-03",6.2
"266","2019-12-04",6
"267","2019-12-05",5.98
"268","2019-12-06",5.97
"269","2019-12-09",6.03
"270","2019-12-10",6.03
"271","2019-12-11",6.41
"272","2019-12-12",6.49
"273","2019-12-13",6.28
"274","2019-12-16",6.22
"275","2019-12-17",6.41
"276","2019-12-18",6.55
"277","2019-12-19",6.54
"278","2019-12-20",6.9
"279","2019-12-23",6.98
"280","2019-12-24",7
"281","2019-12-26",7.1
"282","2019-12-27",7.02
"283","2019-12-30",7.1
"284","2019-12-31",7.2
"285","2020-01-02",7.47
"286","2020-01-03",7.34
"287","2020-01-06",7.3
"288","2020-01-07",7.38
"289","2020-01-08",7.33
"290","2020-01-09",7.34
"291","2020-01-10",7.39
"292","2020-01-13",7.36
"293","2020-01-14",7.2
"294","2020-01-15",7.36
"295","2020-01-16",7.47
"296","2020-01-17",7.14
"297","2020-01-21",7.38
"298","2020-01-22",6.88
"299","2020-01-23",6.71
"300","2020-01-24",6.44
"301","2020-01-27",6.39
"302","2020-01-28",6.9
"303","2020-01-29",6.98
"304","2020-01-30",6.87
"305","2020-01-31",6.66
"306","2020-02-03",6.69
"307","2020-02-04",6.81
