"","date","RBKB"
"1","2019-01-17",11.75
"2","2019-01-18",11.612
"3","2019-01-22",11.81
"4","2019-01-23",11.9
"5","2019-01-24",11.58
"6","2019-01-25",11.63
"7","2019-01-28",11.68
"8","2019-01-29",11.76
"9","2019-01-30",11.69
"10","2019-01-31",11.595
"11","2019-02-01",11.59
"12","2019-02-04",11.52
"13","2019-02-05",11.55
"14","2019-02-06",11.48
"15","2019-02-07",11.405
"16","2019-02-08",11.44
"17","2019-02-11",11.63
"18","2019-02-12",11.56
"19","2019-02-13",11.59
"20","2019-02-14",11.6
"21","2019-02-15",11.62
"22","2019-02-19",11.74
"23","2019-02-20",11.68
"24","2019-02-21",11.73
"25","2019-02-22",11.8
"26","2019-02-25",11.8
"27","2019-02-26",11.85
"28","2019-02-27",11.9
"29","2019-02-28",11.834
"30","2019-03-01",11.88
"31","2019-03-04",11.75
"32","2019-03-05",11.87
"33","2019-03-06",11.76
"34","2019-03-07",11.7
"35","2019-03-08",11.79
"36","2019-03-11",11.65
"37","2019-03-12",11.75
"38","2019-03-13",11.81
"39","2019-03-14",12.03
"40","2019-03-15",11.36
"41","2019-03-18",12.15
"42","2019-03-19",12.08
"43","2019-03-20",12.14
"44","2019-03-21",11.9
"45","2019-03-22",12
"46","2019-03-25",11.65
"47","2019-03-26",11.7
"48","2019-03-27",11.7
"49","2019-03-28",11.8
"50","2019-03-29",12
"51","2019-04-01",12.05
"52","2019-04-02",11.95
"53","2019-04-03",12
"54","2019-04-04",12
"55","2019-04-05",11.81
"56","2019-04-08",11.92
"57","2019-04-09",11.885
"58","2019-04-10",11.9
"59","2019-04-11",11.87
"60","2019-04-12",11.82
"61","2019-04-15",11.72
"62","2019-04-16",11.75
"63","2019-04-17",11.66
"64","2019-04-18",11.92
"65","2019-04-22",11.92
"66","2019-04-23",11.8
"67","2019-04-24",11.65
"68","2019-04-25",11.66
"69","2019-04-26",11.79
"70","2019-04-29",11.74
"71","2019-04-30",11.7
"72","2019-05-01",11.75
"73","2019-05-02",11.75
"74","2019-05-03",11.7
"75","2019-05-06",11.65
"76","2019-05-07",11.68
"77","2019-05-08",11.69
"78","2019-05-09",11.7
"79","2019-05-10",11.7
"80","2019-05-13",11.68
"81","2019-05-14",11.65
"82","2019-05-15",11.69
"83","2019-05-16",11.38
"84","2019-05-17",11.64
"85","2019-05-20",11.27
"86","2019-05-21",11.22
"87","2019-05-22",11.23
"88","2019-05-23",11.15
"89","2019-05-24",11.06
"90","2019-05-28",11.03
"91","2019-05-29",10.93
"92","2019-05-30",10.78
"93","2019-05-31",10.8
"94","2019-06-03",11.28
"95","2019-06-04",10.93
"96","2019-06-05",10.94
"97","2019-06-06",10.87
"98","2019-06-07",10.87
"99","2019-06-10",10.85
"100","2019-06-11",10.904
"101","2019-06-12",10.8
"102","2019-06-13",10.66
"103","2019-06-14",10.786
"104","2019-06-17",10.79
"105","2019-06-18",10.828
"106","2019-06-19",10.828
"107","2019-06-20",10.89
"108","2019-06-21",10.78
"109","2019-06-24",10.82
"110","2019-06-25",10.86
"111","2019-06-26",10.81
"112","2019-06-27",11.09
"113","2019-06-28",11.02
"114","2019-07-01",10.81
"115","2019-07-02",10.94
"116","2019-07-03",10.94
"117","2019-07-05",10.93
"118","2019-07-08",10.98
"119","2019-07-09",10.77
"120","2019-07-10",10.92
"121","2019-07-11",10.95
"122","2019-07-12",10.91
"123","2019-07-15",10.905
"124","2019-07-16",10.92
"125","2019-07-17",10.9
"126","2019-07-18",10.9
"127","2019-07-19",10.9
"128","2019-07-22",10.9
"129","2019-07-23",10.9
"130","2019-07-24",10.9
"131","2019-07-25",10.9
"132","2019-07-26",10.9
"133","2019-07-29",10.8
"134","2019-07-30",10.96
"135","2019-07-31",10.8
"136","2019-08-01",10.85
"137","2019-08-02",10.85
"138","2019-08-05",10.836
"139","2019-08-06",10.8
"140","2019-08-07",10.95
"141","2019-08-08",10.8
"142","2019-08-09",10.81
"143","2019-08-12",10.94
"144","2019-08-13",10.85
"145","2019-08-14",10.9
"146","2019-08-15",10.8
"147","2019-08-16",10.95
"148","2019-08-19",10.9
"149","2019-08-20",10.9
"150","2019-08-21",10.8
"151","2019-08-22",10.8
"152","2019-08-23",10.777
"153","2019-08-26",10.61
"154","2019-08-27",10.61
"155","2019-08-28",10.62
"156","2019-08-29",10.722
"157","2019-08-30",10.62
"158","2019-09-03",10.65
"159","2019-09-04",10.7
"160","2019-09-05",10.62
"161","2019-09-06",10.5
"162","2019-09-09",10.58
"163","2019-09-10",10.549
"164","2019-09-11",10.75
"165","2019-09-12",10.75
"166","2019-09-13",10.53
"167","2019-09-16",10.52
"168","2019-09-17",10.5
"169","2019-09-18",10.5
"170","2019-09-19",10.5
"171","2019-09-20",10.42
