"","date","PTC"
"1","2007-01-03",17.83
"2","2007-01-04",18.01
"3","2007-01-05",17.719999
"4","2007-01-08",17.92
"5","2007-01-09",17.68
"6","2007-01-10",17.709999
"7","2007-01-11",17.879999
"8","2007-01-12",17.940001
"9","2007-01-16",17.799999
"10","2007-01-17",17.700001
"11","2007-01-18",17.5
"12","2007-01-19",17.469999
"13","2007-01-22",17.299999
"14","2007-01-23",17.9
"15","2007-01-24",19.18
"16","2007-01-25",19.25
"17","2007-01-26",19.82
"18","2007-01-29",19.719999
"19","2007-01-30",19.98
"20","2007-01-31",19.82
"21","2007-02-01",20
"22","2007-02-02",19.92
"23","2007-02-05",19.9
"24","2007-02-06",19.9
"25","2007-02-07",19.98
"26","2007-02-08",19.91
"27","2007-02-09",19.639999
"28","2007-02-12",19.620001
"29","2007-02-13",19.889999
"30","2007-02-14",19.75
"31","2007-02-15",19.65
"32","2007-02-16",19.440001
"33","2007-02-20",19.440001
"34","2007-02-21",19.98
"35","2007-02-22",20.290001
"36","2007-02-23",20.08
"37","2007-02-26",20.18
"38","2007-02-27",19.459999
"39","2007-02-28",19.07
"40","2007-03-01",18.940001
"41","2007-03-02",18.6
"42","2007-03-05",18.440001
"43","2007-03-06",18.73
"44","2007-03-07",18.709999
"45","2007-03-08",18.799999
"46","2007-03-09",18.85
"47","2007-03-12",19.07
"48","2007-03-13",18.76
"49","2007-03-14",18.82
"50","2007-03-15",18.82
"51","2007-03-16",18.799999
"52","2007-03-19",18.99
"53","2007-03-20",19.290001
"54","2007-03-21",19.77
"55","2007-03-22",19.83
"56","2007-03-23",19.57
"57","2007-03-26",19.540001
"58","2007-03-27",19.33
"59","2007-03-28",19.27
"60","2007-03-29",19.02
"61","2007-03-30",19
"62","2007-04-02",18.91
"63","2007-04-03",18.700001
"64","2007-04-04",18.459999
"65","2007-04-05",18.709999
"66","2007-04-09",18.66
"67","2007-04-10",18.98
"68","2007-04-11",18.940001
"69","2007-04-12",19.280001
"70","2007-04-13",19.280001
"71","2007-04-16",19.27
"72","2007-04-17",19.09
"73","2007-04-18",18.879999
"74","2007-04-19",18.92
"75","2007-04-20",19.16
"76","2007-04-23",18.780001
"77","2007-04-24",18.889999
"78","2007-04-25",18.34
"79","2007-04-26",18.51
"80","2007-04-27",18.42
"81","2007-04-30",17.77
"82","2007-05-01",17.73
"83","2007-05-02",17.9
"84","2007-05-03",17.889999
"85","2007-05-04",18.049999
"86","2007-05-07",18.02
"87","2007-05-08",18.01
"88","2007-05-09",18.02
"89","2007-05-10",18.01
"90","2007-05-11",18.290001
"91","2007-05-14",18.129999
"92","2007-05-15",17.93
"93","2007-05-16",18.209999
"94","2007-05-17",17.870001
"95","2007-05-18",18.040001
"96","2007-05-21",18.370001
"97","2007-05-22",18.639999
"98","2007-05-23",18.4
"99","2007-05-24",17.940001
"100","2007-05-25",17.98
"101","2007-05-29",18.08
"102","2007-05-30",18.25
"103","2007-05-31",18.68
"104","2007-06-01",19.07
"105","2007-06-04",19.16
"106","2007-06-05",19.379999
"107","2007-06-06",19.18
"108","2007-06-07",19.09
"109","2007-06-08",19.290001
"110","2007-06-11",19.440001
"111","2007-06-12",19.309999
"112","2007-06-13",19.559999
"113","2007-06-14",19.959999
"114","2007-06-15",20.559999
"115","2007-06-18",20.52
