"","date","ESEA"
"1","2007-01-03",564
"2","2007-01-04",560
"3","2007-01-05",561.599976
"4","2007-01-08",560
"5","2007-01-09",560
"6","2007-01-10",560
"7","2007-01-11",592
"8","2007-01-12",640
"9","2007-01-16",660
"10","2007-01-17",660
"11","2007-01-18",668
"12","2007-01-19",668
"13","2007-01-22",668
"14","2007-01-23",662.400024
"15","2007-01-24",668
"16","2007-01-25",680
"17","2007-01-26",680
"18","2007-01-29",720
"19","2007-01-30",716
"20","2007-01-31",696
"21","2007-02-01",704
"22","2007-02-02",744
"23","2007-02-05",736
"24","2007-02-06",720
"25","2007-02-07",720
"26","2007-02-08",707.200012
"27","2007-02-09",718.400024
"28","2007-02-12",716
"29","2007-02-13",700.799988
"30","2007-02-14",736
"31","2007-02-15",736.799988
"32","2007-02-16",740
"33","2007-02-20",758.400024
"34","2007-02-21",780
"35","2007-02-22",780
"36","2007-02-23",796
"37","2007-02-26",792
"38","2007-02-27",740
"39","2007-02-28",776
"40","2007-03-01",778.400024
"41","2007-03-02",783.200012
"42","2007-03-05",772.799988
"43","2007-03-06",780
"44","2007-03-07",776
"45","2007-03-08",774.400024
"46","2007-03-09",779.200012
"47","2007-03-12",764.799988
"48","2007-03-13",741.599976
"49","2007-03-14",728.799988
"50","2007-03-15",743.200012
"51","2007-03-16",740
"52","2007-03-19",759.200012
"53","2007-03-20",759.200012
"54","2007-03-21",762.400024
"55","2007-03-22",765.599976
"56","2007-03-23",763.200012
"57","2007-03-26",783.200012
"58","2007-03-27",793.599976
"59","2007-03-28",800
"60","2007-03-29",791.200012
"61","2007-03-30",799.200012
"62","2007-04-02",848
"63","2007-04-03",828
"64","2007-04-04",838.400024
"65","2007-04-05",838.400024
"66","2007-04-09",852
"67","2007-04-10",846.400024
"68","2007-04-11",845.599976
"69","2007-04-12",867.200012
"70","2007-04-13",864
"71","2007-04-16",880
"72","2007-04-17",884
"73","2007-04-18",883.200012
"74","2007-04-19",877.599976
"75","2007-04-20",892
"76","2007-04-23",911.200012
"77","2007-04-24",916
"78","2007-04-25",920
"79","2007-04-26",900.799988
"80","2007-04-27",911.200012
"81","2007-04-30",912
"82","2007-05-01",866.400024
"83","2007-05-02",889.599976
"84","2007-05-03",908.799988
"85","2007-05-04",910.400024
"86","2007-05-07",879.200012
"87","2007-05-08",908
"88","2007-05-09",920
"89","2007-05-10",919.200012
"90","2007-05-11",919.200012
"91","2007-05-14",908.799988
"92","2007-05-15",924
"93","2007-05-16",924
"94","2007-05-17",932
"95","2007-05-18",936.799988
