"","date","SFBC"
"1","2008-01-09",9
"2","2008-01-10",9.45
"3","2008-01-11",9.45
"4","2008-01-14",9
"5","2008-01-15",9
"6","2008-01-16",9.06
"7","2008-01-17",9
"8","2008-01-18",9
"9","2008-01-22",9
"10","2008-01-23",9
"11","2008-01-24",9.15
"12","2008-01-25",9.15
"13","2008-01-28",9.14
"14","2008-01-29",9.14
"15","2008-01-30",9.14
"16","2008-01-31",9.35
"17","2008-02-01",9.47
"18","2008-02-04",9.47
"19","2008-02-05",9.15
"20","2008-02-06",9.15
"21","2008-02-07",9.15
"22","2008-02-08",9.15
"23","2008-02-11",9.2
"24","2008-02-12",9.2
"25","2008-02-13",9.2
"26","2008-02-14",9.2
"27","2008-02-15",9.3
"28","2008-02-19",9.2
"29","2008-02-20",9.2
"30","2008-02-21",9.2
"31","2008-02-22",9.2
"32","2008-02-25",9.2
"33","2008-02-26",9.2
"34","2008-02-27",9.2
"35","2008-02-28",9.2
"36","2008-02-29",9.2
"37","2008-03-03",9.25
"38","2008-03-04",9.23
"39","2008-03-05",9.2
"40","2008-03-06",9.2
"41","2008-03-07",9.2
"42","2008-03-10",9.2
"43","2008-03-11",9.2
"44","2008-03-12",9.1
"45","2008-03-13",9.1
"46","2008-03-14",9.15
"47","2008-03-17",9.1
"48","2008-03-18",9.1
"49","2008-03-19",9.1
"50","2008-03-20",9.1
"51","2008-03-24",9.14
"52","2008-03-25",9.14
"53","2008-03-26",9.14
"54","2008-03-27",9.13
"55","2008-03-28",9.13
"56","2008-03-31",9.13
"57","2008-04-01",9.13
"58","2008-04-02",9.13
"59","2008-04-03",9.16
"60","2008-04-04",9.16
"61","2008-04-07",9.16
"62","2008-04-08",9.16
"63","2008-04-09",9.15
"64","2008-04-10",9.15
"65","2008-04-11",9.15
"66","2008-04-14",9.15
"67","2008-04-15",9.24
"68","2008-04-16",9.24
"69","2008-04-17",9.2
"70","2008-04-18",9.2
"71","2008-04-21",9.15
"72","2008-04-22",9.15
"73","2008-04-23",9.15
"74","2008-04-24",9.15
"75","2008-04-25",9.15
"76","2008-04-28",9.1
"77","2008-04-29",9.15
"78","2008-04-30",9.15
"79","2008-05-01",9.15
"80","2008-05-02",9.18
"81","2008-05-05",9.15
"82","2008-05-06",9.15
"83","2008-05-07",9.15
"84","2008-05-08",9.2
"85","2008-05-09",9.2
"86","2008-05-12",9.2
"87","2008-05-13",9.1
"88","2008-05-14",9.12
"89","2008-05-15",9.15
"90","2008-05-16",9.15
"91","2008-05-19",9.1
"92","2008-05-20",9.1
