"","date","MSBI"
"192","2017-02-27",35.450001
"193","2017-02-28",35.16
"194","2017-03-01",35.799999
"195","2017-03-02",35.52
"196","2017-03-03",35.049999
"197","2017-03-06",34.91
"198","2017-03-07",34.93
"199","2017-03-08",34.830002
"200","2017-03-09",34.650002
"201","2017-03-10",34
"202","2017-03-13",34.150002
"203","2017-03-14",33.970001
"204","2017-03-15",33.939999
"205","2017-03-16",34.16
"206","2017-03-17",34.380001
"207","2017-03-20",33.91
"208","2017-03-21",32.25
"209","2017-03-22",32.509998
"210","2017-03-23",33.119999
"211","2017-03-24",33.220001
"212","2017-03-27",32.849998
"213","2017-03-28",33.23
"214","2017-03-29",33.240002
"215","2017-03-30",34.299999
"216","2017-03-31",34.389999
"217","2017-04-03",34.299999
"218","2017-04-04",34.299999
"219","2017-04-05",32.919998
"220","2017-04-06",33.07
"221","2017-04-07",33.169998
"222","2017-04-10",32.130001
"223","2017-04-11",32.73
"224","2017-04-12",32.48
"225","2017-04-13",31.91
"226","2017-04-17",31.93
"227","2017-04-18",31.809999
"228","2017-04-19",32.18
"229","2017-04-20",32.779999
"230","2017-04-21",32.900002
"231","2017-04-24",33.43
"232","2017-04-25",33.990002
"233","2017-04-26",33.869999
"234","2017-04-27",33.290001
"235","2017-04-28",34.5
"236","2017-05-01",34.540001
"237","2017-05-02",34.84
"238","2017-05-03",35.48
"239","2017-05-04",36.02
"240","2017-05-05",35.959999
"241","2017-05-08",35.57
"242","2017-05-09",35.299999
"243","2017-05-10",35.32
"244","2017-05-11",35.290001
"245","2017-05-12",35.27
"246","2017-05-15",35.34
"247","2017-05-16",34.889999
"248","2017-05-17",33.419998
"249","2017-05-18",33.950001
"250","2017-05-19",34.380001
"251","2017-05-22",34.810001
"252","2017-05-23",35.209999
"253","2017-05-24",34.880001
"254","2017-05-25",34.57
"255","2017-05-26",34.299999
"256","2017-05-30",34.650002
"257","2017-05-31",34.939999
"258","2017-06-01",34.560001
"259","2017-06-02",35.02
"260","2017-06-05",35.119999
"261","2017-06-06",34.779999
"262","2017-06-07",34.580002
"263","2017-06-08",34.439999
"264","2017-06-09",34.950001
"265","2017-06-12",34.75
"266","2017-06-13",35.43
"267","2017-06-14",35.25
"268","2017-06-15",34.650002
"269","2017-06-16",34.5
"270","2017-06-19",34.349998
"271","2017-06-20",33.990002
"272","2017-06-21",33.720001
"273","2017-06-22",33.349998
"274","2017-06-23",33.610001
"275","2017-06-26",33.73
"276","2017-06-27",33.689999
"277","2017-06-28",33.669998
