"","date","CBLI"
"1","2007-01-03",95.599998
"2","2007-01-04",94
"3","2007-01-05",91.199997
"4","2007-01-08",100
"5","2007-01-09",100
"6","2007-01-10",147.600006
"7","2007-01-11",136.199997
"8","2007-01-12",153.600006
"9","2007-01-16",142.199997
"10","2007-01-17",141.399994
"11","2007-01-18",140.800003
"12","2007-01-19",142.399994
"13","2007-01-22",145.600006
"14","2007-01-23",144.800003
"15","2007-01-24",130.199997
"16","2007-01-25",122
"17","2007-01-26",125.800003
"18","2007-01-29",118.199997
"19","2007-01-30",119.800003
"20","2007-01-31",118.599998
"21","2007-02-01",124
"22","2007-02-02",128
"23","2007-02-05",148.199997
"24","2007-02-06",150.800003
"25","2007-02-07",152
"26","2007-02-08",151.600006
"27","2007-02-09",160
"28","2007-02-12",173
"29","2007-02-13",171.399994
"30","2007-02-14",182.800003
"31","2007-02-15",188.399994
"32","2007-02-16",203
"33","2007-02-20",238.399994
"34","2007-02-21",267.600006
"35","2007-02-22",235
"36","2007-02-23",221.600006
"37","2007-02-26",204.800003
"38","2007-02-27",183.800003
"39","2007-02-28",218.600006
"40","2007-03-01",214
"41","2007-03-02",216
"42","2007-03-05",216.399994
"43","2007-03-06",227.399994
"44","2007-03-07",218.399994
"45","2007-03-08",234.399994
"46","2007-03-09",221
"47","2007-03-12",227.600006
"48","2007-03-13",223
"49","2007-03-14",224.600006
"50","2007-03-15",209
"51","2007-03-16",203.800003
"52","2007-03-19",176.399994
"53","2007-03-20",178
"54","2007-03-21",178.199997
"55","2007-03-22",175
"56","2007-03-23",171.800003
"57","2007-03-26",180
"58","2007-03-27",184
"59","2007-03-28",180.199997
"60","2007-03-29",177.199997
"61","2007-03-30",176
"62","2007-04-02",173.800003
"63","2007-04-03",165.600006
"64","2007-04-04",168.600006
"65","2007-04-05",167.199997
"66","2007-04-09",184
"67","2007-04-10",184.800003
"68","2007-04-11",189.199997
"69","2007-04-12",189
"70","2007-04-13",206.800003
"71","2007-04-16",213.199997
"72","2007-04-17",202.399994
"73","2007-04-18",206.399994
"74","2007-04-19",202.399994
"75","2007-04-20",205
"76","2007-04-23",210.600006
"77","2007-04-24",204.800003
"78","2007-04-25",202
"79","2007-04-26",192
"80","2007-04-27",189.600006
"81","2007-04-30",182.800003
"82","2007-05-01",182.800003
"83","2007-05-02",182
"84","2007-05-03",188.399994
"85","2007-05-04",194.800003
"86","2007-05-07",188.199997
"87","2007-05-08",188.800003
"88","2007-05-09",185
"89","2007-05-10",181.600006
"90","2007-05-11",176.800003
"91","2007-05-14",180
"92","2007-05-15",176.199997
