"","date","HEAR"
"1","2010-11-15",7
"2","2010-11-16",7
"3","2010-11-17",7
"4","2010-11-18",6
"5","2010-11-19",7
"6","2010-11-22",7
"7","2010-11-23",7
"8","2010-11-24",7
"9","2010-11-26",7
"10","2010-11-29",7
"11","2010-11-30",7
"12","2010-12-01",6.4
"13","2010-12-02",6.6
"14","2010-12-03",6.2
"15","2010-12-06",6.4
"16","2010-12-07",7.2
"17","2010-12-08",7
"18","2010-12-09",7
"19","2010-12-10",7
"20","2010-12-13",7
"21","2010-12-14",6.4
"22","2010-12-15",6.4
"23","2010-12-16",7
"24","2010-12-17",7
"25","2010-12-20",6.8
"26","2010-12-21",7
"27","2010-12-22",7
"28","2010-12-23",7.6
"29","2010-12-27",7.2
"30","2010-12-28",6.8
"31","2010-12-29",6.6
"32","2010-12-30",7
"33","2010-12-31",7.8
"34","2011-01-03",7.6
"35","2011-01-04",7.6
"36","2011-01-05",7.46
"37","2011-01-06",7.2
"38","2011-01-07",7.2
"39","2011-01-10",7.4
"40","2011-01-11",7.4
"41","2011-01-12",7.4
"42","2011-01-13",8.8
"43","2011-01-14",10
"44","2011-01-18",13.9
"45","2011-01-19",13
"46","2011-01-20",12.8
"47","2011-01-21",12
"48","2011-01-24",12
"49","2011-01-25",12
"50","2011-01-26",11.4
"51","2011-01-27",11.6
"52","2011-01-28",11.6
"53","2011-01-31",11.58
"54","2011-02-01",11.4
"55","2011-02-02",11.4
"56","2011-02-03",11
"57","2011-02-04",11.4
"58","2011-02-07",11
"59","2011-02-08",12.6
"60","2011-02-09",14
"61","2011-02-10",14
"62","2011-02-11",14
"63","2011-02-14",14
"64","2011-02-15",13.8
"65","2011-02-16",13
"66","2011-02-17",13.6
"67","2011-02-18",14.2
"68","2011-02-22",14
"69","2011-02-23",14
"70","2011-02-24",14
"71","2011-02-25",14
"72","2011-02-28",13
"73","2011-03-01",13.2
"74","2011-03-02",15
"75","2011-03-03",13.8
"76","2011-03-04",13.6
"77","2011-03-07",12.4
"78","2011-03-08",13.4
"79","2011-03-09",13.4
"80","2011-03-10",12.4
"81","2011-03-11",12.4
"82","2011-03-14",12.2
"83","2011-03-15",12.2
"84","2011-03-16",12.2
"85","2011-03-17",12
"86","2011-03-18",12
"87","2011-03-21",10.2
"88","2011-03-22",10.2
"89","2011-03-23",10.6
"90","2011-03-24",10.6
"91","2011-03-25",11.6
"92","2011-03-28",12.8
"93","2011-03-29",12.4
"94","2011-03-30",12.8
"95","2011-03-31",12.4
"96","2011-04-01",12.8
"97","2011-04-04",13
"98","2011-04-05",12.4
"99","2011-04-06",12.6
"100","2011-04-07",12.8
"101","2011-04-08",14
"102","2011-04-11",14.4
"103","2011-04-12",14.6
"104","2011-04-13",14.2
"105","2011-04-14",14
"106","2011-04-15",14.02
"107","2011-04-18",14.02
"108","2011-04-19",14.02
"109","2011-04-20",14.6
"110","2011-04-21",14.8
"111","2011-04-25",15
"112","2011-04-26",14
"113","2011-04-27",14.6
"114","2011-04-28",15
"115","2011-04-29",14.8
"116","2011-05-02",13.4
"117","2011-05-03",13.4
"118","2011-05-04",13.2
"119","2011-05-05",13.4
"120","2011-05-06",13.2
"121","2011-05-09",13.4
"122","2011-05-10",14.4
"123","2011-05-11",14
"124","2011-05-12",14.4
"125","2011-05-13",14.4
"126","2011-05-16",14.4
"127","2011-05-17",14.2
"128","2011-05-18",13.8
"129","2011-05-19",12.02
"130","2011-05-20",12.04
"131","2011-05-23",14.4
"132","2011-05-24",14.4
"133","2011-05-25",15.6
"134","2011-05-26",16
"135","2011-05-27",17
"136","2011-05-31",15
"137","2011-06-01",14.4
"138","2011-06-02",16
"139","2011-06-03",17
"140","2011-06-06",15.2
"141","2011-06-07",17.4
"142","2011-06-08",18.799999
"143","2011-06-09",18
"144","2011-06-10",16.200001
"145","2011-06-13",18
"146","2011-06-14",17.799999
"147","2011-06-15",17.780001
"148","2011-06-16",18.18
"149","2011-06-17",18.18
"150","2011-06-20",18.360001
"151","2011-06-21",18.34
"152","2011-06-22",18
"153","2011-06-23",18.360001
"154","2011-06-24",18.360001
"155","2011-06-27",18.360001
"156","2011-06-28",18.299999
"157","2011-06-29",16.200001
"158","2011-06-30",18.4
"159","2011-07-01",19
"160","2011-07-05",19
"161","2011-07-06",19
"162","2011-07-07",18.799999
"163","2011-07-08",18.799999
"164","2011-07-11",18
"165","2011-07-12",20
"166","2011-07-13",19
"167","2011-07-14",19
"168","2011-07-15",20
"169","2011-07-18",18.5
"170","2011-07-19",22
"171","2011-07-20",21.200001
"172","2011-07-21",22.4
"173","2011-07-22",24
"174","2011-07-25",26
"175","2011-07-26",25.799999
"176","2011-07-27",26.6
"177","2011-07-28",26.4
"178","2011-07-29",26.6
"179","2011-08-01",26.6
"180","2011-08-02",27
"181","2011-08-03",26.6
"182","2011-08-04",26.200001
"183","2011-08-05",25.799999
"184","2011-08-08",24.799999
"185","2011-08-09",24.799999
"186","2011-08-10",24.200001
"187","2011-08-11",24
"188","2011-08-12",25
"189","2011-08-15",26
"190","2011-08-16",24
"191","2011-08-17",24
"192","2011-08-18",25
"193","2011-08-19",24
"194","2011-08-22",23
"195","2011-08-23",23
"196","2011-08-24",23
"197","2011-08-25",23
"198","2011-08-26",25
"199","2011-08-29",23.6
"200","2011-08-30",24.799999
"201","2011-08-31",24.799999
"202","2011-09-01",23.200001
"203","2011-09-02",22
"204","2011-09-06",18
"205","2011-09-07",20.200001
"206","2011-09-08",19
"207","2011-09-09",18
"208","2011-09-12",18.799999
"209","2011-09-13",16
"210","2011-09-14",13.2
"211","2011-09-15",14.8
"212","2011-09-16",13
"213","2011-09-19",12.8
"214","2011-09-20",12.4
"215","2011-09-21",12.8
"216","2011-09-22",15.2
"217","2011-09-23",12.52
"218","2011-09-26",14.8
"219","2011-09-27",12.36
"220","2011-09-28",15
"221","2011-09-29",15
"222","2011-09-30",15
"223","2011-10-03",13
"224","2011-10-04",13
"225","2011-10-05",13
"226","2011-10-06",13
"227","2011-10-07",13
"228","2011-10-10",11.6
"229","2011-10-11",12
"230","2011-10-12",12
"231","2011-10-13",12
"232","2011-10-14",12.8
"233","2011-10-17",12
"234","2011-10-18",12
"235","2011-10-19",12.6
"236","2011-10-20",12
"237","2011-10-21",11
"238","2011-10-24",12.6
"239","2011-10-25",12.4
"240","2011-10-26",12.6
"241","2011-10-27",12.6
"242","2011-10-28",12.6
"243","2011-10-31",12.6
"244","2011-11-01",12.6
"245","2011-11-02",12.6
"246","2011-11-03",12.4
"247","2011-11-04",12.8
"248","2011-11-07",15
"249","2011-11-08",14.8
"250","2011-11-09",14.8
"251","2011-11-10",15
"252","2011-11-11",15
"253","2011-11-14",13
"254","2011-11-15",12
"255","2011-11-16",12.4
"256","2011-11-17",11.6
"257","2011-11-18",15
"258","2011-11-21",14.9
"259","2011-11-22",13.8
"260","2011-11-23",14.9
"261","2011-11-25",14.9
"262","2011-11-28",14.42
"263","2011-11-29",14.6
"264","2011-11-30",15
"265","2011-12-01",12.4
"266","2011-12-02",15
"267","2011-12-05",14
"268","2011-12-06",12.4
"269","2011-12-07",12.4
"270","2011-12-08",13
"271","2011-12-09",13
"272","2011-12-12",12.6
"273","2011-12-13",12.3
"274","2011-12-14",12
"275","2011-12-15",11.2
"276","2011-12-16",12.6
