"","date","WPG"
"1","2014-05-14",20.059999
"2","2014-05-15",20.870001
"3","2014-05-16",19.98
"4","2014-05-19",20.34
"5","2014-05-20",20.549999
"6","2014-05-21",20.620001
"7","2014-05-22",20.99
"8","2014-05-23",21.26
"9","2014-05-27",20.969999
"10","2014-05-28",21.030001
"11","2014-05-29",20.6
"12","2014-05-30",19.889999
"13","2014-06-02",19.799999
"14","2014-06-03",19.9
"15","2014-06-04",19.09
"16","2014-06-05",19.07
"17","2014-06-06",19.219999
"18","2014-06-09",19.209999
"19","2014-06-10",19.309999
"20","2014-06-11",19.24
"21","2014-06-12",19.129999
"22","2014-06-13",19.16
"23","2014-06-16",19.35
"24","2014-06-17",19.65
"25","2014-06-18",19.719999
"26","2014-06-19",19.620001
"27","2014-06-20",19.139999
"28","2014-06-23",19.299999
"29","2014-06-24",19.16
"30","2014-06-25",19.049999
"31","2014-06-26",18.950001
"32","2014-06-27",18.52
"33","2014-06-30",18.74
"34","2014-07-01",18.99
"35","2014-07-02",18.969999
"36","2014-07-03",19.219999
"37","2014-07-07",19.200001
"38","2014-07-08",19.49
"39","2014-07-09",19.52
"40","2014-07-10",19.309999
"41","2014-07-11",19.370001
"42","2014-07-14",19.25
"43","2014-07-15",19.08
"44","2014-07-16",19.129999
"45","2014-07-17",19.09
"46","2014-07-18",19.16
"47","2014-07-21",18.950001
"48","2014-07-22",18.969999
"49","2014-07-23",19.15
"50","2014-07-24",19.280001
"51","2014-07-25",19.09
"52","2014-07-28",19.110001
"53","2014-07-29",19.09
"54","2014-07-30",19.120001
"55","2014-07-31",18.889999
"56","2014-08-01",18.950001
"57","2014-08-04",18.809999
"58","2014-08-05",18.549999
"59","2014-08-06",18.57
"60","2014-08-07",18.6
"61","2014-08-08",18.99
"62","2014-08-11",19.190001
"63","2014-08-12",19.18
"64","2014-08-13",19.09
"65","2014-08-14",19.25
"66","2014-08-15",19.360001
"67","2014-08-18",19.57
"68","2014-08-19",19.629999
"69","2014-08-20",19.67
"70","2014-08-21",19.6
"71","2014-08-22",19.389999
"72","2014-08-25",19.23
"73","2014-08-26",19.5
"74","2014-08-27",19.309999
"75","2014-08-28",19.48
"76","2014-08-29",19.52
"77","2014-09-02",19.549999
"78","2014-09-03",19.559999
"79","2014-09-04",19.219999
"80","2014-09-05",19.040001
"81","2014-09-08",19.16
"82","2014-09-09",19.08
"83","2014-09-10",19.059999
"84","2014-09-11",19.129999
"85","2014-09-12",18.58
"86","2014-09-15",18.459999
"87","2014-09-16",17.24
"88","2014-09-17",16.84
"89","2014-09-18",16.860001
"90","2014-09-19",17.139999
"91","2014-09-22",17.15
"92","2014-09-23",17.190001
"93","2014-09-24",17.17
"94","2014-09-25",16.969999
"95","2014-09-26",17.309999
"96","2014-09-29",17.299999
"97","2014-09-30",17.48
"98","2014-10-01",17.360001
"99","2014-10-02",17.25
"100","2014-10-03",17.34
"101","2014-10-06",17.299999
"102","2014-10-07",17.02
"103","2014-10-08",17.040001
"104","2014-10-09",16.68
"105","2014-10-10",16.5
"106","2014-10-13",16.200001
"107","2014-10-14",16.280001
"108","2014-10-15",16.370001
"109","2014-10-16",16.67
"110","2014-10-17",16.58
"111","2014-10-20",16.780001
"112","2014-10-21",16.99
"113","2014-10-22",16.950001
"114","2014-10-23",17.1
"115","2014-10-24",17.33
"116","2014-10-27",17.559999
"117","2014-10-28",17.66
"118","2014-10-29",17.9
"119","2014-10-30",17.49
