"","date","ACGLP"
"1","2016-09-23",24.92
"2","2016-09-26",24.93
"3","2016-09-27",25
"4","2016-09-28",25
"5","2016-09-29",24.92
"6","2016-09-30",24.98
"7","2016-10-03",24.93
"8","2016-10-04",24.969999
"9","2016-10-05",24.9
"10","2016-10-06",24.73
"11","2016-10-07",24.709999
"12","2016-10-10",24.66
"13","2016-10-11",24.35
"14","2016-10-12",24.469999
"15","2016-10-13",24.4
"16","2016-10-14",24.52
"17","2016-10-17",24.57
"18","2016-10-18",24.610001
"19","2016-10-19",24.67
"20","2016-10-20",24.67
"21","2016-10-21",24.700001
"22","2016-10-24",24.65
"23","2016-10-25",24.809999
"24","2016-10-26",24.799999
"25","2016-10-27",24.65
"26","2016-10-28",24.52
"27","2016-10-31",24.379999
"28","2016-11-01",23.950001
"29","2016-11-02",23.77
"30","2016-11-03",23.41
"31","2016-11-04",23.389999
"32","2016-11-07",23.5
"33","2016-11-08",23.49
"34","2016-11-09",23.1
"35","2016-11-10",21.74
"36","2016-11-11",21.709999
"37","2016-11-14",20.709999
"38","2016-11-15",21.469999
"39","2016-11-16",21.940001
"40","2016-11-17",21.92
"41","2016-11-18",21.889999
"42","2016-11-21",21.879999
"43","2016-11-22",22.1
"44","2016-11-23",22.059999
"45","2016-11-25",22.07
"46","2016-11-28",21.870001
"47","2016-11-29",21.790001
"48","2016-11-30",21.65
"49","2016-12-01",21.32
"50","2016-12-02",21.34
"51","2016-12-05",21.16
"52","2016-12-06",21.200001
"53","2016-12-07",21.299999
"54","2016-12-08",21.200001
"55","2016-12-09",21.17
"56","2016-12-12",20.889999
"57","2016-12-13",20.549999
"58","2016-12-14",20.459999
"59","2016-12-15",20.5
"60","2016-12-16",20.57
"61","2016-12-19",20.799999
"62","2016-12-20",20.950001
"63","2016-12-21",21.16
"64","2016-12-22",21.34
"65","2016-12-23",21.299999
"66","2016-12-27",21.25
"67","2016-12-28",21.23
"68","2016-12-29",21.129999
"69","2016-12-30",21.129999
"70","2017-01-03",21.5
"71","2017-01-04",22
"72","2017-01-05",22.049999
"73","2017-01-06",22.110001
"74","2017-01-09",22.15
"75","2017-01-10",22.139999
"76","2017-01-11",22.25
"77","2017-01-12",22.25
"78","2017-01-13",22.25
"79","2017-01-17",22.23
"80","2017-01-18",22.200001
"81","2017-01-19",21.98
"82","2017-01-20",22.200001
"83","2017-01-23",22.18
"84","2017-01-24",22.18
"85","2017-01-25",21.940001
"86","2017-01-26",21.98
"87","2017-01-27",22.049999
"88","2017-01-30",22.059999
"89","2017-01-31",22.030001
"90","2017-02-01",22.07
"91","2017-02-02",22.139999
"92","2017-02-03",22.17
"93","2017-02-06",22.190001
"94","2017-02-07",22.27
"95","2017-02-08",22.370001
"96","2017-02-09",22.33
"97","2017-02-10",22.34
"98","2017-02-13",22.360001
"99","2017-02-14",22.290001
"100","2017-02-15",22.290001
"101","2017-02-16",22.219999
"102","2017-02-17",22.24
"103","2017-02-21",22.24
"104","2017-02-22",22.25
"105","2017-02-23",22.34
"106","2017-02-24",22.48
"107","2017-02-27",22.6
"108","2017-02-28",22.5
"109","2017-03-01",22.440001
"110","2017-03-02",22.440001
"111","2017-03-03",22.42
"112","2017-03-06",22.42
"113","2017-03-07",22.389999
"114","2017-03-08",22.190001
"115","2017-03-09",22.02
"116","2017-03-10",22.059999
"117","2017-03-13",21.809999
"118","2017-03-14",21.77
"119","2017-03-15",22.049999
"120","2017-03-16",22.08
"121","2017-03-17",22.08
"122","2017-03-20",22.07
"123","2017-03-21",21.99
"124","2017-03-22",22.1
"125","2017-03-23",22.17
"126","2017-03-24",22.26
"127","2017-03-27",22.280001
"128","2017-03-28",22.34
"129","2017-03-29",22.389999
"130","2017-03-30",22.52
"131","2017-03-31",22.639999
"132","2017-04-03",22.969999
"133","2017-04-04",22.940001
"134","2017-04-05",22.9
"135","2017-04-06",22.950001
"136","2017-04-07",22.93
"137","2017-04-10",22.99
"138","2017-04-11",23
"139","2017-04-12",23.059999
"140","2017-04-13",23.139999
"141","2017-04-17",23.049999
"142","2017-04-18",22.98
"143","2017-04-19",22.940001
"144","2017-04-20",22.969999
"145","2017-04-21",23.049999
"146","2017-04-24",23.08
"147","2017-04-25",23.030001
"148","2017-04-26",23.120001
"149","2017-04-27",23.1
"150","2017-04-28",23.1
"151","2017-05-01",23.129999
"152","2017-05-02",23.139999
"153","2017-05-03",23.23
"154","2017-05-04",23.07
"155","2017-05-05",23.07
"156","2017-05-08",23.209999
"157","2017-05-09",23.25
"158","2017-05-10",23.27
"159","2017-05-11",23.450001
"160","2017-05-12",23.690001
"161","2017-05-15",23.85
"162","2017-05-16",23.799999
"163","2017-05-17",23.799999
"164","2017-05-18",23.709999
"165","2017-05-19",23.75
"166","2017-05-22",23.77
"167","2017-05-23",23.799999
"168","2017-05-24",23.790001
"169","2017-05-25",23.809999
"170","2017-05-26",23.84
"171","2017-05-30",23.93
"172","2017-05-31",23.969999
"173","2017-06-01",24.01
"174","2017-06-02",24.120001
"175","2017-06-05",24.110001
"176","2017-06-06",24.1
"177","2017-06-07",24.16
"178","2017-06-08",24.120001
"179","2017-06-09",24.129999
"180","2017-06-12",24.129999
"181","2017-06-13",23.895
"182","2017-06-14",23.99
"183","2017-06-15",23.950001
"184","2017-06-16",23.959999
"185","2017-06-19",24.17
"186","2017-06-20",24.15
