"","date","PRGX"
"1","2007-01-03",8.2
"2","2007-01-04",8.16
"3","2007-01-05",8.3
"4","2007-01-08",8.25
"5","2007-01-09",8.32
"6","2007-01-10",8.29
"7","2007-01-11",8.25
"8","2007-01-12",8.36
"9","2007-01-16",8.11
"10","2007-01-17",8.3
"11","2007-01-18",8.04
"12","2007-01-19",8.25
"13","2007-01-22",8.28
"14","2007-01-23",8.25
"15","2007-01-24",9.05
"16","2007-01-25",9.36
"17","2007-01-26",9.46
"18","2007-01-29",9.8
"19","2007-01-30",9.74
"20","2007-01-31",9.83
"21","2007-02-01",9.81
"22","2007-02-02",9.83
"23","2007-02-05",10.28
"24","2007-02-06",10.4
"25","2007-02-07",10.46
"26","2007-02-08",10.27
"27","2007-02-09",9.93
"28","2007-02-12",9.8
"29","2007-02-13",10.18
"30","2007-02-14",10.21
"31","2007-02-15",11.08
"32","2007-02-16",10.71
"33","2007-02-20",10.85
"34","2007-02-21",10.89
"35","2007-02-22",10.84
"36","2007-02-23",10.96
"37","2007-02-26",10.84
"38","2007-02-27",10.44
"39","2007-02-28",10.14
"40","2007-03-01",12.04
"41","2007-03-02",12.58
"42","2007-03-05",12.99
"43","2007-03-06",12.87
"44","2007-03-07",12.5
"45","2007-03-08",12.62
"46","2007-03-09",13.12
"47","2007-03-12",13.83
"48","2007-03-13",15.09
"49","2007-03-14",15.12
"50","2007-03-15",15.3
"51","2007-03-16",14.68
"52","2007-03-19",14.88
"53","2007-03-20",15.45
"54","2007-03-21",16.299999
"55","2007-03-22",15.9
"56","2007-03-23",15.96
"57","2007-03-26",16.549999
"58","2007-03-27",16.360001
"59","2007-03-28",15.96
"60","2007-03-29",15.57
"61","2007-03-30",14.29
"62","2007-04-02",13.85
"63","2007-04-03",14.18
"64","2007-04-04",14.39
"65","2007-04-05",14.39
"66","2007-04-09",13.95
"67","2007-04-10",13.26
"68","2007-04-11",14.14
"69","2007-04-12",14.21
"70","2007-04-13",14.05
"71","2007-04-16",14.18
"72","2007-04-17",15.1
"73","2007-04-18",14.11
"74","2007-04-19",13.96
"75","2007-04-20",13.66
"76","2007-04-23",14.24
"77","2007-04-24",13.68
"78","2007-04-25",13.58
"79","2007-04-26",13.51
"80","2007-04-27",13.5
"81","2007-04-30",13.17
"82","2007-05-01",13.12
"83","2007-05-02",13.34
"84","2007-05-03",13.28
"85","2007-05-04",13.2
"86","2007-05-07",13.35
"87","2007-05-08",13.33
"88","2007-05-09",14.17
"89","2007-05-10",13.94
"90","2007-05-11",14.24
"91","2007-05-14",16.01
"92","2007-05-15",15.82
"93","2007-05-16",16.049999
"94","2007-05-17",16.08
"95","2007-05-18",15.7
"96","2007-05-21",16.290001
"97","2007-05-22",15.88
"98","2007-05-23",15.78
"99","2007-05-24",15.86
"100","2007-05-25",15.75
"101","2007-05-29",16.34
"102","2007-05-30",16.299999
"103","2007-05-31",16.35
"104","2007-06-01",16.389999
"105","2007-06-04",16.299999
"106","2007-06-05",16.309999
"107","2007-06-06",16.200001
"108","2007-06-07",15.46
"109","2007-06-08",15.68
"110","2007-06-11",16.049999
"111","2007-06-12",16
"112","2007-06-13",16.09
"113","2007-06-14",16.15
"114","2007-06-15",15.94
"115","2007-06-18",16.030001
"116","2007-06-19",15.86
"117","2007-06-20",15.34
"118","2007-06-21",15.56
"119","2007-06-22",15.16
"120","2007-06-25",14.79
"121","2007-06-26",14.97
"122","2007-06-27",14.95
"123","2007-06-28",15.98
"124","2007-06-29",15.9
"125","2007-07-02",15.91
"126","2007-07-03",15.74
"127","2007-07-05",15.21
"128","2007-07-06",15.43
"129","2007-07-09",15.76
"130","2007-07-10",15.25
"131","2007-07-11",15.81
"132","2007-07-12",15.57
"133","2007-07-13",15.77
"134","2007-07-16",15.93
"135","2007-07-17",15.69
"136","2007-07-18",15.56
"137","2007-07-19",17.459999
"138","2007-07-20",18.700001
"139","2007-07-23",19.33
"140","2007-07-24",19.030001
"141","2007-07-25",18.76
"142","2007-07-26",17.6
"143","2007-07-27",17.450001
"144","2007-07-30",17.33
"145","2007-07-31",17.780001
"146","2007-08-01",17.799999
"147","2007-08-02",13.8
"148","2007-08-03",13.23
"149","2007-08-06",13.52
"150","2007-08-07",13.04
"151","2007-08-08",12.82
"152","2007-08-09",12.09
"153","2007-08-10",14.04
"154","2007-08-13",13.95
"155","2007-08-14",13.71
"156","2007-08-15",13.47
"157","2007-08-16",12.35
"158","2007-08-17",12.8
"159","2007-08-20",13.19
"160","2007-08-21",14.15
"161","2007-08-22",14.47
"162","2007-08-23",13.98
"163","2007-08-24",14.33
"164","2007-08-27",13.83
"165","2007-08-28",13.6
"166","2007-08-29",13.54
"167","2007-08-30",13.9
"168","2007-08-31",14.24
"169","2007-09-04",14.31
"170","2007-09-05",14.17
"171","2007-09-06",14.04
"172","2007-09-07",13.15
"173","2007-09-10",12.79
"174","2007-09-11",12.81
"175","2007-09-12",12.89
"176","2007-09-13",13.4
"177","2007-09-14",13.74
"178","2007-09-17",13.55
"179","2007-09-18",13.68
"180","2007-09-19",13.54
"181","2007-09-20",13.22
"182","2007-09-21",13.52
"183","2007-09-24",13.52
"184","2007-09-25",13.44
"185","2007-09-26",13.64
"186","2007-09-27",13.97
"187","2007-09-28",13.58
"188","2007-10-01",14.01
"189","2007-10-02",15.01
"190","2007-10-03",14.75
"191","2007-10-04",14.72
