"","date","FXNC"
"1","2007-01-03",26.75
"2","2007-01-04",26.4
"3","2007-01-05",27.99
"4","2007-01-08",27
"5","2007-01-09",27
"6","2007-01-10",27
"7","2007-01-11",26.299999
"8","2007-01-12",26.299999
"9","2007-01-16",26.049999
"10","2007-01-17",26.049999
"11","2007-01-18",25.870001
"12","2007-01-19",26
"13","2007-01-22",26
"14","2007-01-23",26
"15","2007-01-24",26.299999
"16","2007-01-25",26.299999
"17","2007-01-26",26.75
"18","2007-01-29",27
"19","2007-01-30",27.1
"20","2007-01-31",27
"21","2007-02-01",26.75
"22","2007-02-02",26.75
"23","2007-02-05",27.4
"24","2007-02-06",27.4
"25","2007-02-07",26.75
"26","2007-02-08",26.75
"27","2007-02-09",27.4
"28","2007-02-12",27.4
"29","2007-02-13",27.4
"30","2007-02-14",27.4
"31","2007-02-15",27.4
"32","2007-02-16",27.5
"33","2007-02-20",26.700001
"34","2007-02-21",26.700001
"35","2007-02-22",26.35
"36","2007-02-23",27
"37","2007-02-26",27
"38","2007-02-27",27
"39","2007-02-28",27
"40","2007-03-01",27.5
"41","2007-03-02",27.5
"42","2007-03-05",26.5
"43","2007-03-06",26.5
"44","2007-03-07",27
"45","2007-03-08",26.5
"46","2007-03-09",26.5
"47","2007-03-12",26.5
"48","2007-03-13",26.5
"49","2007-03-14",26.5
"50","2007-03-15",27
"51","2007-03-16",27.5
"52","2007-03-19",27.450001
"53","2007-03-20",28
"54","2007-03-21",28
"55","2007-03-22",28
"56","2007-03-23",28
"57","2007-03-26",27.5
"58","2007-03-27",27
"59","2007-03-28",27.049999
"60","2007-03-29",27.049999
"61","2007-03-30",27.5
"62","2007-04-02",27.5
"63","2007-04-03",28.5
"64","2007-04-04",28.5
"65","2007-04-05",28.5
"66","2007-04-09",28.5
"67","2007-04-10",28.5
"68","2007-04-11",26.5
"69","2007-04-12",26.370001
"70","2007-04-13",26.5
"71","2007-04-16",26.5
"72","2007-04-17",26.5
"73","2007-04-18",27.950001
"74","2007-04-19",27.950001
"75","2007-04-20",27.950001
"76","2007-04-23",27.950001
"77","2007-04-24",27.950001
"78","2007-04-25",26.049999
"79","2007-04-26",26.049999
"80","2007-04-27",26.35
"81","2007-04-30",26.25
"82","2007-05-01",26.25
"83","2007-05-02",26.25
"84","2007-05-03",26.049999
"85","2007-05-04",26.1
"86","2007-05-07",26.1
"87","2007-05-08",26
"88","2007-05-09",26
"89","2007-05-10",26.1
"90","2007-05-11",25.9
