"","date","FWRD"
"1","2007-01-03",30.35
"2","2007-01-04",31.02
"3","2007-01-05",30.389999
"4","2007-01-08",30.209999
"5","2007-01-09",30.18
"6","2007-01-10",30.139999
"7","2007-01-11",29.969999
"8","2007-01-12",30
"9","2007-01-16",30
"10","2007-01-17",29.959999
"11","2007-01-18",29.91
"12","2007-01-19",30
"13","2007-01-22",29.469999
"14","2007-01-23",29.75
"15","2007-01-24",30.190001
"16","2007-01-25",30.65
"17","2007-01-26",30.790001
"18","2007-01-29",30.5
"19","2007-01-30",30.52
"20","2007-01-31",31.379999
"21","2007-02-01",33.150002
"22","2007-02-02",32.93
"23","2007-02-05",32.830002
"24","2007-02-06",33
"25","2007-02-07",33.169998
"26","2007-02-08",33.25
"27","2007-02-09",31.65
"28","2007-02-12",31.139999
"29","2007-02-13",31.74
"30","2007-02-14",31.83
"31","2007-02-15",32.59
"32","2007-02-16",33.16
"33","2007-02-20",33.400002
"34","2007-02-21",33.400002
"35","2007-02-22",33.59
"36","2007-02-23",33.5
"37","2007-02-26",33.02
"38","2007-02-27",32.41
"39","2007-02-28",32.619999
"40","2007-03-01",32.759998
"41","2007-03-02",31.879999
"42","2007-03-05",31.059999
"43","2007-03-06",31.15
"44","2007-03-07",31.030001
"45","2007-03-08",31.1
"46","2007-03-09",31.5
"47","2007-03-12",31.620001
"48","2007-03-13",30.799999
"49","2007-03-14",31.459999
"50","2007-03-15",31.700001
"51","2007-03-16",31.32
"52","2007-03-19",31.77
"53","2007-03-20",32.400002
"54","2007-03-21",33.450001
"55","2007-03-22",34.509998
"56","2007-03-23",35
"57","2007-03-26",34.150002
"58","2007-03-27",33.540001
"59","2007-03-28",33.509998
"60","2007-03-29",32.860001
"61","2007-03-30",32.880001
"62","2007-04-02",32.84
"63","2007-04-03",32.93
"64","2007-04-04",32.279999
"65","2007-04-05",32.389999
"66","2007-04-09",32.279999
"67","2007-04-10",32.18
"68","2007-04-11",32.009998
"69","2007-04-12",32.07
"70","2007-04-13",32.049999
"71","2007-04-16",32
"72","2007-04-17",32.119999
"73","2007-04-18",32.18
"74","2007-04-19",32.029999
"75","2007-04-20",33.16
"76","2007-04-23",33.689999
"77","2007-04-24",30.25
"78","2007-04-25",30.93
"79","2007-04-26",30.879999
"80","2007-04-27",31
"81","2007-04-30",30.51
"82","2007-05-01",30.719999
"83","2007-05-02",30.809999
"84","2007-05-03",30.75
"85","2007-05-04",30.889999
"86","2007-05-07",30.950001
"87","2007-05-08",31.18
"88","2007-05-09",31.83
"89","2007-05-10",31.33
"90","2007-05-11",31.370001
"91","2007-05-14",30.98
"92","2007-05-15",31.959999
"93","2007-05-16",33.200001
"94","2007-05-17",32.290001
