"","date","BEEM"
"1","2020-03-16",7
"2","2020-03-17",7.46
"3","2020-03-18",6.35
"4","2020-03-19",6.91
"5","2020-03-20",6.81
"6","2020-03-23",7.13
"7","2020-03-24",7.75
"8","2020-03-25",8
"9","2020-03-26",8.24
"10","2020-03-27",8.18
"11","2020-03-30",7.9
"12","2020-03-31",7.59
"13","2020-04-01",7.34
"14","2020-04-02",6.96
"15","2020-04-03",7.12
"16","2020-04-06",7.44
"17","2020-04-07",6.81
"18","2020-04-08",6.38
"19","2020-04-09",6.55
"20","2020-04-13",6.72
"21","2020-04-14",6.9
"22","2020-04-15",6.73
"23","2020-04-16",6.55
"24","2020-04-17",7.14
"25","2020-04-20",6.9
"26","2020-04-21",6.76
"27","2020-04-22",7.81
"28","2020-04-23",7.43
"29","2020-04-24",7.37
"30","2020-04-27",7.49
"31","2020-04-28",7.11
"32","2020-04-29",7.41
"33","2020-04-30",8.05
"34","2020-05-01",7.23
"35","2020-05-04",7.48
"36","2020-05-05",7.73
"37","2020-05-06",7.59
"38","2020-05-07",7.7
"39","2020-05-08",7.87
"40","2020-05-11",7.87
"41","2020-05-12",8.11
"42","2020-05-13",7.7
"43","2020-05-14",8
"44","2020-05-15",8.07
"45","2020-05-18",8.46
"46","2020-05-19",8.56
"47","2020-05-20",9.3
"48","2020-05-21",8.96
"49","2020-05-22",9.06
"50","2020-05-26",8.85
"51","2020-05-27",8.7
"52","2020-05-28",8.2
"53","2020-05-29",NA
"54","2020-06-01",NA
"55","2020-06-02",NA
"56","2020-06-03",NA
"57","2020-06-04",NA
"58","2020-06-05",NA
"59","2020-06-08",NA
"60","2020-06-09",NA
"61","2020-06-10",NA
"62","2020-06-11",NA
"63","2020-06-12",NA
"64","2020-06-15",NA
"65","2020-06-16",NA
"66","2020-06-17",NA
"67","2020-06-18",NA
"68","2020-06-19",NA
"69","2020-06-22",NA
"70","2020-06-23",NA
"71","2020-06-24",NA
"72","2020-06-25",NA
"73","2020-06-26",NA
"74","2020-06-29",NA
"75","2020-06-30",NA
"76","2020-07-01",NA
"77","2020-07-02",NA
"78","2020-07-06",NA
"79","2020-07-07",NA
"80","2020-07-08",NA
"81","2020-07-09",NA
"82","2020-07-10",NA
"83","2020-07-13",NA
"84","2020-07-14",NA
"85","2020-07-15",NA
"86","2020-07-16",NA
"87","2020-07-17",NA
"88","2020-07-20",NA
"89","2020-07-21",NA
"90","2020-07-22",NA
"91","2020-07-23",NA
"92","2020-07-24",NA
"93","2020-07-27",NA
"94","2020-07-28",NA
"95","2020-07-29",NA
"96","2020-07-30",NA
"97","2020-07-31",NA
"98","2020-08-03",NA
"99","2020-08-04",NA
"100","2020-08-05",NA
"101","2020-08-06",NA
"102","2020-08-07",NA
"103","2020-08-10",NA
"104","2020-08-11",NA
"105","2020-08-12",NA
"106","2020-08-13",NA
"107","2020-08-14",NA
"108","2020-08-17",NA
"109","2020-08-18",NA
"110","2020-08-19",NA
"111","2020-08-20",NA
"112","2020-08-21",NA
"113","2020-08-24",NA
"114","2020-08-25",NA
"115","2020-08-26",NA
"116","2020-08-27",NA
"117","2020-08-28",NA
"118","2020-08-31",NA
"119","2020-09-01",NA
"120","2020-09-02",NA
"121","2020-09-03",NA
"122","2020-09-04",NA
"123","2020-09-08",NA
"124","2020-09-09",NA
"125","2020-09-10",NA
"126","2020-09-11",NA
"127","2020-09-14",12.11
"128","2020-09-15",14.1
"129","2020-09-16",14.01
"130","2020-09-17",12.83
"131","2020-09-18",12.93
"132","2020-09-21",12.76
"133","2020-09-22",12.24
"134","2020-09-23",10.92
"135","2020-09-24",11.2
"136","2020-09-25",11.5
"137","2020-09-28",11.88
"138","2020-09-29",11.7
"139","2020-09-30",12.16
"140","2020-10-01",12.47
"141","2020-10-02",14.99
"142","2020-10-05",17.440001
"143","2020-10-06",15.37
"144","2020-10-07",16.49
"145","2020-10-08",16.360001
"146","2020-10-09",16.889999
"147","2020-10-12",15.76
"148","2020-10-13",15.67
"149","2020-10-14",14.83
"150","2020-10-15",16.110001
"151","2020-10-16",15.54
"152","2020-10-19",14.95
"153","2020-10-20",14.7
"154","2020-10-21",16.799999
"155","2020-10-22",15.8
"156","2020-10-23",16.145
"157","2020-10-26",15.96
"158","2020-10-27",15.46
"159","2020-10-28",14.82
"160","2020-10-29",16.299999
"161","2020-10-30",16
"162","2020-11-02",15.98
"163","2020-11-03",16.68
"164","2020-11-04",17.4
"165","2020-11-05",19.49
"166","2020-11-06",18.58
"167","2020-11-09",18.17
"168","2020-11-10",18.360001
"169","2020-11-11",18.76
"170","2020-11-12",18.6
"171","2020-11-13",18.870001
"172","2020-11-16",22.02
"173","2020-11-17",21.379999
"174","2020-11-18",19.879999
"175","2020-11-19",21.66
"176","2020-11-20",25.299999
"177","2020-11-23",35.189999
"178","2020-11-24",32.040001
"179","2020-11-25",31.040001
"180","2020-11-27",35.349998
