"","date","DS"
"1","2007-01-03",13.517204
"2","2007-01-04",13.640165
"3","2007-01-05",13.211923
"4","2007-01-08",13.313683
"5","2007-01-09",13.368803
"6","2007-01-10",13.373043
"7","2007-01-11",13.602005
"8","2007-01-12",13.703765
"9","2007-01-16",13.716485
"10","2007-01-17",13.466324
"11","2007-01-18",13.169522
"12","2007-01-19",13.305202
"13","2007-01-22",13.292482
"14","2007-01-23",13.309443
"15","2007-01-24",13.411203
"16","2007-01-25",13.313683
"17","2007-01-26",13.483284
"18","2007-01-29",13.674086
"19","2007-01-30",13.691045
"20","2007-01-31",13.746165
"21","2007-02-01",13.699525
"22","2007-02-02",13.699525
"23","2007-02-05",13.822486
"24","2007-02-06",13.949687
"25","2007-02-07",14.191368
"26","2007-02-08",14.076888
"27","2007-02-09",13.563845
"28","2007-02-12",13.038081
"29","2007-02-13",13.339123
"30","2007-02-14",13.262803
"31","2007-02-15",13.254323
"32","2007-02-16",13.356083
"33","2007-02-20",13.356083
"34","2007-02-21",13.144082
"35","2007-02-22",13.250083
"36","2007-02-23",13.097442
"37","2007-02-26",13.055041
"38","2007-02-27",12.707359
"39","2007-02-28",12.499598
"40","2007-03-01",12.448717
"41","2007-03-02",12.338477
"42","2007-03-05",11.465032
"43","2007-03-06",11.990795
"44","2007-03-07",11.863594
"45","2007-03-08",12.228236
"46","2007-03-09",12.334237
"47","2007-03-12",12.126475
"48","2007-03-13",10.854467
"49","2007-03-14",10.829027
"50","2007-03-15",11.456552
"51","2007-03-16",11.448071
"52","2007-03-19",11.643112
"53","2007-03-20",11.693993
"54","2007-03-21",12.156156
"55","2007-03-22",12.257916
"56","2007-03-23",12.325757
"57","2007-03-26",12.393598
"58","2007-03-27",12.096795
"59","2007-03-28",11.863594
"60","2007-03-29",11.744873
"61","2007-03-30",11.757593
"62","2007-04-02",11.643112
"63","2007-04-03",11.702473
"64","2007-04-04",11.859354
"65","2007-04-05",11.948395
"66","2007-04-09",11.956875
"67","2007-04-10",11.914474
"68","2007-04-11",11.855114
"69","2007-04-12",11.897514
"70","2007-04-13",11.961115
"71","2007-04-16",12.376637
"72","2007-04-17",12.380877
"73","2007-04-18",12.669199
"74","2007-04-19",12.652239
"75","2007-04-20",12.93632
"76","2007-04-23",13.144082
"77","2007-04-24",12.961761
"78","2007-04-25",12.9236
"79","2007-04-26",12.91512
"80","2007-04-27",12.79216
"81","2007-04-30",12.385118
"82","2007-05-01",12.512318
"83","2007-05-02",12.567438
"84","2007-05-03",12.74128
"85","2007-05-04",12.77944
"86","2007-05-07",12.631039
"87","2007-05-08",12.626799
"88","2007-05-09",12.74552
"89","2007-05-10",12.359677
"90","2007-05-11",12.614079
"91","2007-05-14",12.419038
"92","2007-05-15",11.952635
"93","2007-05-16",11.901754
"94","2007-05-17",11.753353
"95","2007-05-18",11.850874
"96","2007-05-21",12.274877
"97","2007-05-22",12.537758
"98","2007-05-23",12.444477
"99","2007-05-24",12.062875
"100","2007-05-25",12.223996
"101","2007-05-29",12.435997
"102","2007-05-30",12.681919
"103","2007-05-31",12.575918
"104","2007-06-01",12.703119
"105","2007-06-04",12.82184
"106","2007-06-05",12.550478
