"","date","ENTX"
"1","2018-06-28",6.28
"2","2018-06-29",6.3
"3","2018-07-02",6.65
"4","2018-07-03",6.65
"5","2018-07-05",6.51
"6","2018-07-06",6.6
"7","2018-07-09",6.65
"8","2018-07-10",6.7
"9","2018-07-11",6.6
"10","2018-07-12",6.65
"11","2018-07-13",6.614
"12","2018-07-16",6.4
"13","2018-07-17",6.45
"14","2018-07-18",6.32
"15","2018-07-19",5.97
"16","2018-07-20",5.97
"17","2018-07-23",6.25
"18","2018-07-24",5.93
"19","2018-07-25",5.36
"20","2018-07-26",5.85
"21","2018-07-27",5.54
"22","2018-07-30",5
"23","2018-07-31",5.4
"24","2018-08-01",5.796
"25","2018-08-02",5.08
"26","2018-08-03",5.58
"27","2018-08-06",5.05
"28","2018-08-07",5.47
"29","2018-08-08",5.05
"30","2018-08-09",4.95
"31","2018-08-10",5.45
"32","2018-08-13",5.24
"33","2018-08-14",5
"34","2018-08-15",5.04
"35","2018-08-16",5.3
"36","2018-08-17",5.1
"37","2018-08-20",4.95
"38","2018-08-21",4.98
"39","2018-08-22",4.59
"40","2018-08-23",4.5
"41","2018-08-24",4.7
"42","2018-08-27",4.65
"43","2018-08-28",4.5
"44","2018-08-29",4.69
"45","2018-08-30",4.7
"46","2018-08-31",5.4
"47","2018-09-04",5.4
"48","2018-09-05",5.22
"49","2018-09-06",5.9
"50","2018-09-07",5.641
"51","2018-09-10",4.74
"52","2018-09-11",5
"53","2018-09-12",4.9
"54","2018-09-13",5.01
"55","2018-09-14",5.13
"56","2018-09-17",5.13
"57","2018-09-18",5.13
"58","2018-09-19",5.13
"59","2018-09-20",5.25
"60","2018-09-21",5.24
"61","2018-09-24",5.1
"62","2018-09-25",5.45
"63","2018-09-26",5.48
"64","2018-09-27",5.4
"65","2018-09-28",5.81
"66","2018-10-01",5.06
"67","2018-10-02",5.7
"68","2018-10-03",5.83
"69","2018-10-04",5.83
"70","2018-10-05",5.85
"71","2018-10-08",5.85
"72","2018-10-09",5.26
"73","2018-10-10",5.05
"74","2018-10-11",5.45
"75","2018-10-12",5.426
"76","2018-10-15",5.65
"77","2018-10-16",5.62
"78","2018-10-17",5.62
"79","2018-10-18",5.674
"80","2018-10-19",5.724
"81","2018-10-22",5.72
"82","2018-10-23",5.29
"83","2018-10-24",5.65
"84","2018-10-25",5.575
"85","2018-10-26",5.61
"86","2018-10-29",5.75
"87","2018-10-30",5.23
"88","2018-10-31",5.7
"89","2018-11-01",5.49
"90","2018-11-02",5.25
"91","2018-11-05",5.2
"92","2018-11-06",5.25
"93","2018-11-07",5.7
"94","2018-11-08",5.25
"95","2018-11-09",5.24
"96","2018-11-12",5.21
"97","2018-11-13",5.218
"98","2018-11-14",5.17
"99","2018-11-15",5.3
"100","2018-11-16",5.3
"101","2018-11-19",5.3
"102","2018-11-20",5.3
"103","2018-11-21",5.3
"104","2018-11-23",5.3
"105","2018-11-26",5.3
"106","2018-11-27",5.3
"107","2018-11-28",5.3
"108","2018-11-29",5.3
"109","2018-11-30",5.31
"110","2018-12-03",5.3
"111","2018-12-04",5.27
"112","2018-12-06",4.99
"113","2018-12-07",4.99
"114","2018-12-10",5.49
"115","2018-12-11",4.89
"116","2018-12-12",4.6
"117","2018-12-13",4.4
"118","2018-12-14",3.96
"119","2018-12-17",3.89
"120","2018-12-18",3.9
"121","2018-12-19",3.723
"122","2018-12-20",3.2
"123","2018-12-21",3.25
"124","2018-12-24",3.43
"125","2018-12-26",3
"126","2018-12-27",3.21
"127","2018-12-28",3.28
"128","2018-12-31",3.05
"129","2019-01-02",3.01
"130","2019-01-03",3.24
"131","2019-01-04",3.149
"132","2019-01-07",3.22
"133","2019-01-08",3.23
"134","2019-01-09",3.45
"135","2019-01-10",3.26
"136","2019-01-11",3.15
"137","2019-01-14",3.27
"138","2019-01-15",3.06
"139","2019-01-16",3.92
"140","2019-01-17",3.97
"141","2019-01-18",3.7
"142","2019-01-22",3.48
"143","2019-01-23",3.4
"144","2019-01-24",3.7
"145","2019-01-25",3.8
"146","2019-01-28",4.04
"147","2019-01-29",4.04
"148","2019-01-30",4
"149","2019-01-31",4
"150","2019-02-01",4.18
"151","2019-02-04",4.25
"152","2019-02-05",4.33
