"","date","RRC"
"1","2007-01-03",25.83
"2","2007-01-04",25.690001
"3","2007-01-05",26.27
"4","2007-01-08",26.32
"5","2007-01-09",26.639999
"6","2007-01-10",26.309999
"7","2007-01-11",26.450001
"8","2007-01-12",27.27
"9","2007-01-16",27.23
"10","2007-01-17",27.76
"11","2007-01-18",27.700001
"12","2007-01-19",28.75
"13","2007-01-22",28.700001
"14","2007-01-23",30.209999
"15","2007-01-24",30.83
"16","2007-01-25",30.209999
"17","2007-01-26",30.83
"18","2007-01-29",30.51
"19","2007-01-30",30.74
"20","2007-01-31",30.690001
"21","2007-02-01",31
"22","2007-02-02",30.959999
"23","2007-02-05",30.450001
"24","2007-02-06",30.440001
"25","2007-02-07",29.92
"26","2007-02-08",30.209999
"27","2007-02-09",30.6
"28","2007-02-12",29.860001
"29","2007-02-13",30.33
"30","2007-02-14",30.549999
"31","2007-02-15",30.370001
"32","2007-02-16",30.780001
"33","2007-02-20",30.83
"34","2007-02-21",31.42
"35","2007-02-22",32.099998
"36","2007-02-23",32.23
"37","2007-02-26",32.75
"38","2007-02-27",31.93
"39","2007-02-28",31.93
"40","2007-03-01",32.060001
"41","2007-03-02",31.309999
"42","2007-03-05",29.76
"43","2007-03-06",30.25
"44","2007-03-07",30.530001
"45","2007-03-08",30.440001
"46","2007-03-09",30.360001
"47","2007-03-12",30.02
"48","2007-03-13",29.559999
"49","2007-03-14",30.18
"50","2007-03-15",30.02
"51","2007-03-16",30.280001
"52","2007-03-19",31.18
"53","2007-03-20",31.76
"54","2007-03-21",32.299999
"55","2007-03-22",32.869999
"56","2007-03-23",32.580002
"57","2007-03-26",32.889999
"58","2007-03-27",32.849998
"59","2007-03-28",33.02
"60","2007-03-29",33.23
"61","2007-03-30",33.400002
"62","2007-04-02",34.009998
"63","2007-04-03",34.139999
"64","2007-04-04",34.349998
"65","2007-04-05",34.509998
"66","2007-04-09",34.919998
"67","2007-04-10",35.669998
"68","2007-04-11",35.689999
"69","2007-04-12",36.650002
"70","2007-04-13",36.330002
"71","2007-04-16",36.080002
"72","2007-04-17",36.279999
"73","2007-04-18",36.419998
"74","2007-04-19",36.290001
"75","2007-04-20",36.490002
"76","2007-04-23",37.400002
"77","2007-04-24",37.169998
"78","2007-04-25",36.75
"79","2007-04-26",37.419998
"80","2007-04-27",37.759998
"81","2007-04-30",36.549999
"82","2007-05-01",36.619999
"83","2007-05-02",37.060001
"84","2007-05-03",37.540001
"85","2007-05-04",38.119999
"86","2007-05-07",38.27
"87","2007-05-08",37.849998
"88","2007-05-09",37.330002
"89","2007-05-10",36.23
