"","date","IHRT"
"1","2019-07-01",15.4
"2","2019-07-02",15.4
"3","2019-07-03",15.5
"4","2019-07-05",15.45
"5","2019-07-08",15.5
"6","2019-07-09",15.6
"7","2019-07-10",16.83
"8","2019-07-11",16.5
"9","2019-07-12",17.23
"10","2019-07-15",17.35
"11","2019-07-16",17.299999
"12","2019-07-17",17
"13","2019-07-18",16.5
"14","2019-07-19",16.299999
"15","2019-07-22",16.25
"16","2019-07-23",16.35
"17","2019-07-24",15.72
"18","2019-07-25",15.62
"19","2019-07-26",14.74
"20","2019-07-29",14.25
"21","2019-07-30",14.5
"22","2019-07-31",14.96
"23","2019-08-01",14.99
"24","2019-08-02",14.75
"25","2019-08-05",14
"26","2019-08-06",13.85
"27","2019-08-07",13.8
"28","2019-08-08",13
"29","2019-08-09",12.87
"30","2019-08-12",13.25
"31","2019-08-13",13.1
"32","2019-08-14",13.46
"33","2019-08-15",13.39
"34","2019-08-16",13.25
"35","2019-08-19",13.15
"36","2019-08-20",13.25
"37","2019-08-21",12.97
"38","2019-08-22",12.97
"39","2019-08-23",13.07
"40","2019-08-26",13.21
"41","2019-08-27",13.1
"42","2019-08-28",13.24
"43","2019-08-29",13.72
"44","2019-08-30",13.8
"45","2019-09-03",13.91
"46","2019-09-04",13.98
"47","2019-09-05",13.86
"48","2019-09-06",13.93
"49","2019-09-09",13.93
"50","2019-09-10",14.04
"51","2019-09-11",14.51
"52","2019-09-12",14.43
"53","2019-09-13",14.46
"54","2019-09-16",14.21
"55","2019-09-17",14.66
"56","2019-09-18",14.83
"57","2019-09-19",14.91
"58","2019-09-20",14.77
"59","2019-09-23",13.95
"60","2019-09-24",14.21
"61","2019-09-25",14.96
"62","2019-09-26",14.62
"63","2019-09-27",14.65
"64","2019-09-30",15
"65","2019-10-01",14.98
"66","2019-10-02",15.3
"67","2019-10-03",15.53
"68","2019-10-04",15.38
"69","2019-10-07",14.92
"70","2019-10-08",14.54
"71","2019-10-09",14.54
"72","2019-10-10",14.74
"73","2019-10-11",14.87
"74","2019-10-14",14.79
"75","2019-10-15",14.29
"76","2019-10-16",14.35
"77","2019-10-17",14.5
"78","2019-10-18",14.5
"79","2019-10-21",14.69
"80","2019-10-22",14.67
"81","2019-10-23",14.54
"82","2019-10-24",14.44
"83","2019-10-25",14.32
"84","2019-10-28",14.34
"85","2019-10-29",14.39
"86","2019-10-30",14.28
"87","2019-10-31",14.34
"88","2019-11-01",14.96
"89","2019-11-04",14.76
"90","2019-11-05",14.84
"91","2019-11-06",14.81
"92","2019-11-07",14.8
"93","2019-11-08",15.14
"94","2019-11-11",16.040001
"95","2019-11-12",16.370001
"96","2019-11-13",15.87
"97","2019-11-14",15.77
"98","2019-11-15",15.6
"99","2019-11-18",15.42
"100","2019-11-19",15.33
"101","2019-11-20",15.15
"102","2019-11-21",15.11
"103","2019-11-22",15.15
"104","2019-11-25",15.3
"105","2019-11-26",14.91
"106","2019-11-27",15.51
"107","2019-11-29",15.39
"108","2019-12-02",15.47
"109","2019-12-03",15.36
"110","2019-12-04",15.19
"111","2019-12-05",14.82
"112","2019-12-06",14.58
"113","2019-12-09",14.55
"114","2019-12-10",14.5
"115","2019-12-11",14.77
"116","2019-12-12",14.56
"117","2019-12-13",15.64
"118","2019-12-16",15.98
"119","2019-12-17",15.71
"120","2019-12-18",15.7
"121","2019-12-19",15.66
"122","2019-12-20",15.75
"123","2019-12-23",16.290001
"124","2019-12-24",16.5
"125","2019-12-26",16.280001
"126","2019-12-27",16.01
"127","2019-12-30",16.059999
"128","2019-12-31",16.9
"129","2020-01-02",16.559999
"130","2020-01-03",16.610001
"131","2020-01-06",16.84
"132","2020-01-07",17.27
"133","2020-01-08",16.969999
"134","2020-01-09",17.280001
"135","2020-01-10",17.32
"136","2020-01-13",17.139999
"137","2020-01-14",17.1
"138","2020-01-15",17.57
"139","2020-01-16",17.57
"140","2020-01-17",17.99
"141","2020-01-21",17.959999
"142","2020-01-22",18.219999
"143","2020-01-23",17.9
"144","2020-01-24",17.860001
"145","2020-01-27",17.84
"146","2020-01-28",18.15
"147","2020-01-29",18.15
"148","2020-01-30",18
"149","2020-01-31",17.68
"150","2020-02-03",17.860001
"151","2020-02-04",18.07
"152","2020-02-05",17.969999
"153","2020-02-06",18.139999
"154","2020-02-07",18
"155","2020-02-10",17.690001
"156","2020-02-11",17.610001
"157","2020-02-12",17.700001
"158","2020-02-13",17.99
"159","2020-02-14",17.91
"160","2020-02-18",17.9
"161","2020-02-19",17.85
"162","2020-02-20",17.879999
"163","2020-02-21",17.82
"164","2020-02-24",17.309999
"165","2020-02-25",16.799999
"166","2020-02-26",15.93
"167","2020-02-27",14.96
"168","2020-02-28",15.11
"169","2020-03-02",15
"170","2020-03-03",14.72
"171","2020-03-04",14.4
"172","2020-03-05",13.35
"173","2020-03-06",12.76
"174","2020-03-09",11.43
"175","2020-03-10",11.07
"176","2020-03-11",10.64
"177","2020-03-12",8.29
"178","2020-03-13",10.39
"179","2020-03-16",7.61
"180","2020-03-17",7.45
"181","2020-03-18",6.38
"182","2020-03-19",7.01
"183","2020-03-20",8.27
"184","2020-03-23",8.29
"185","2020-03-24",9.02
"186","2020-03-25",7.93
"187","2020-03-26",7.51
"188","2020-03-27",6.95
"189","2020-03-30",7.11
"190","2020-03-31",7.31
"191","2020-04-01",6.34
"192","2020-04-02",5.5
"193","2020-04-03",4.87
"194","2020-04-06",4.79
"195","2020-04-07",5.71
"196","2020-04-08",6.53
"197","2020-04-09",7.69
"198","2020-04-13",7.21
"199","2020-04-14",7.48
"200","2020-04-15",7.3
"201","2020-04-16",7
"202","2020-04-17",7.34
"203","2020-04-20",7.07
"204","2020-04-21",6.26
"205","2020-04-22",6.225
"206","2020-04-23",6.14
"207","2020-04-24",5.65
"208","2020-04-27",6.9
"209","2020-04-28",7.17
"210","2020-04-29",7.63
"211","2020-04-30",7.02
"212","2020-05-01",6.74
"213","2020-05-04",6.57
"214","2020-05-05",6.61
"215","2020-05-06",6.62
"216","2020-05-07",7
"217","2020-05-08",7
"218","2020-05-11",6.6
"219","2020-05-12",6.4
"220","2020-05-13",6.07
"221","2020-05-14",6.68
"222","2020-05-15",6.73
"223","2020-05-18",7.15
"224","2020-05-19",7
"225","2020-05-20",7.05
"226","2020-05-21",7.25
"227","2020-05-22",7.02
"228","2020-05-26",8.33
"229","2020-05-27",9.06
"230","2020-05-28",8.125
"231","2020-05-29",8.7
"232","2020-06-01",8.55
"233","2020-06-02",8.71
"234","2020-06-03",9.83
"235","2020-06-04",9.56
"236","2020-06-05",10.61
"237","2020-06-08",11.6
"238","2020-06-09",10.57
"239","2020-06-10",9.95
"240","2020-06-11",8.82
"241","2020-06-12",9.33
"242","2020-06-15",9.94
"243","2020-06-16",9.52
"244","2020-06-17",9.65
"245","2020-06-18",9.4
"246","2020-06-19",9.57
"247","2020-06-22",9.16
"248","2020-06-23",9.93
"249","2020-06-24",9.69
"250","2020-06-25",9.83
"251","2020-06-26",9.02
"252","2020-06-29",8.45
"253","2020-06-30",8.35
"254","2020-07-01",7.89
"255","2020-07-02",7.14
"256","2020-07-06",7.12
"257","2020-07-07",7.1
"258","2020-07-08",7.1
"259","2020-07-09",6.8
"260","2020-07-10",6.65
"261","2020-07-13",6.82
"262","2020-07-14",7.06
"263","2020-07-15",7.2
"264","2020-07-16",8.63
"265","2020-07-17",8.86
"266","2020-07-20",8.68
"267","2020-07-21",8.13
"268","2020-07-22",8.5
"269","2020-07-23",8.65
"270","2020-07-24",8.28
"271","2020-07-27",8.27
"272","2020-07-28",8.33
"273","2020-07-29",8.12
"274","2020-07-30",8.42
"275","2020-07-31",8.36
"276","2020-08-03",8.94
"277","2020-08-04",9.12
"278","2020-08-05",8.6
"279","2020-08-06",8.08
"280","2020-08-07",8.04
"281","2020-08-10",8.84
"282","2020-08-11",9.65
"283","2020-08-12",9.44
"284","2020-08-13",9.05
"285","2020-08-14",8.98
"286","2020-08-17",9.05
"287","2020-08-18",8.95
"288","2020-08-19",9.2
"289","2020-08-20",8.65
"290","2020-08-21",8.16
"291","2020-08-24",8.75
"292","2020-08-25",9.16
"293","2020-08-26",9.31
