"","date","NGS"
"1","2007-01-03",13.31
"2","2007-01-04",13.03
"3","2007-01-05",13.59
"4","2007-01-08",13.88
"5","2007-01-09",13.78
"6","2007-01-10",13.14
"7","2007-01-11",13.23
"8","2007-01-12",13.37
"9","2007-01-16",13.44
"10","2007-01-17",13.45
"11","2007-01-18",13.28
"12","2007-01-19",13.5
"13","2007-01-22",13.36
"14","2007-01-23",13.69
"15","2007-01-24",13.33
"16","2007-01-25",13.19
"17","2007-01-26",12.97
"18","2007-01-29",12.9
"19","2007-01-30",13.12
"20","2007-01-31",13.1
"21","2007-02-01",13.15
"22","2007-02-02",13.1
"23","2007-02-05",14.78
"24","2007-02-06",14.81
"25","2007-02-07",14.65
"26","2007-02-08",14.47
"27","2007-02-09",14.15
"28","2007-02-12",13.86
"29","2007-02-13",13.71
"30","2007-02-14",13.97
"31","2007-02-15",13.75
"32","2007-02-16",13.59
"33","2007-02-20",13.33
"34","2007-02-21",13.24
"35","2007-02-22",13.65
"36","2007-02-23",13.46
"37","2007-02-26",13.62
"38","2007-02-27",13.12
"39","2007-02-28",13.2
"40","2007-03-01",13.3
"41","2007-03-02",13.03
"42","2007-03-05",12.68
"43","2007-03-06",12.96
"44","2007-03-07",12.9
"45","2007-03-08",13.05
"46","2007-03-09",12.96
"47","2007-03-12",13
"48","2007-03-13",13.12
"49","2007-03-14",13.53
"50","2007-03-15",13.65
"51","2007-03-16",13.84
"52","2007-03-19",13.86
"53","2007-03-20",14.1
"54","2007-03-21",14.03
"55","2007-03-22",14.12
"56","2007-03-23",14.03
"57","2007-03-26",14.18
"58","2007-03-27",14.01
"59","2007-03-28",14.19
"60","2007-03-29",14.3
"61","2007-03-30",14.17
"62","2007-04-02",14.27
"63","2007-04-03",14.21
"64","2007-04-04",13.95
"65","2007-04-05",13.95
"66","2007-04-09",13.92
"67","2007-04-10",14.1
"68","2007-04-11",14.2
"69","2007-04-12",14.4
"70","2007-04-13",14.39
"71","2007-04-16",14.25
"72","2007-04-17",14.18
"73","2007-04-18",13.86
"74","2007-04-19",13.88
"75","2007-04-20",13.87
"76","2007-04-23",13.87
"77","2007-04-24",13.81
"78","2007-04-25",14.2
"79","2007-04-26",14.25
"80","2007-04-27",14.39
"81","2007-04-30",14.2
"82","2007-05-01",13.86
"83","2007-05-02",13.92
"84","2007-05-03",13.89
"85","2007-05-04",13.96
"86","2007-05-07",13.9
"87","2007-05-08",14.54
"88","2007-05-09",14.82
"89","2007-05-10",15.05
"90","2007-05-11",15.15
"91","2007-05-14",15
"92","2007-05-15",15.11
"93","2007-05-16",15.07
"94","2007-05-17",15.84
"95","2007-05-18",16.559999
"96","2007-05-21",16.860001
"97","2007-05-22",17.01
"98","2007-05-23",16.9
