"","date","FREQ"
"1","2019-10-03",13.7
"2","2019-10-04",13.49
"3","2019-10-07",14
"4","2019-10-08",13.74
"5","2019-10-09",13.3
"6","2019-10-10",12.67
"7","2019-10-11",12.99
"8","2019-10-14",13.35
"9","2019-10-15",12.98
"10","2019-10-16",13.12
"11","2019-10-17",13
"12","2019-10-18",13.1
"13","2019-10-21",13.27
"14","2019-10-22",13.73
"15","2019-10-23",13.95
"16","2019-10-24",14.05
"17","2019-10-25",14.05
"18","2019-10-28",14.27
"19","2019-10-29",14.34
"20","2019-10-30",13.8
"21","2019-10-31",14.4
"22","2019-11-01",15.575
"23","2019-11-04",15.91
"24","2019-11-05",15.73
"25","2019-11-06",15.76
"26","2019-11-07",15.76
"27","2019-11-08",15.2
"28","2019-11-11",15.08
"29","2019-11-12",14.88
"30","2019-11-13",15.19
"31","2019-11-14",15.37
"32","2019-11-15",15.74
"33","2019-11-18",16.5
"34","2019-11-19",16.82
"35","2019-11-20",16.16
"36","2019-11-21",16.34
"37","2019-11-22",16.299999
"38","2019-11-25",16.25
"39","2019-11-26",16.469999
"40","2019-11-27",16.16
"41","2019-11-29",16.700001
"42","2019-12-02",16.93
"43","2019-12-03",15.74
"44","2019-12-04",15.56
"45","2019-12-05",15.24
"46","2019-12-06",15.44
"47","2019-12-09",15.7
"48","2019-12-10",15.88
"49","2019-12-11",16.790001
"50","2019-12-12",18.73
"51","2019-12-13",18.48
"52","2019-12-16",17.92
"53","2019-12-17",17.25
"54","2019-12-18",17.540001
"55","2019-12-19",18.17
"56","2019-12-20",17.309999
"57","2019-12-23",18.030001
"58","2019-12-24",18.17
"59","2019-12-26",18.620001
"60","2019-12-27",18.34
"61","2019-12-30",17.950001
"62","2019-12-31",17.530001
"63","2020-01-02",17.219999
"64","2020-01-03",16.67
"65","2020-01-06",17.219999
"66","2020-01-07",17.24
"67","2020-01-08",18.219999
"68","2020-01-09",18.139999
"69","2020-01-10",18.42
"70","2020-01-13",20.190001
