"","date","BRT"
"1","2007-01-03",27.879999
"2","2007-01-04",28.1
"3","2007-01-05",28.190001
"4","2007-01-08",28.09
"5","2007-01-09",28.030001
"6","2007-01-10",28.040001
"7","2007-01-11",28.43
"8","2007-01-12",28.799999
"9","2007-01-16",28.959999
"10","2007-01-17",28.85
"11","2007-01-18",28.68
"12","2007-01-19",28.540001
"13","2007-01-22",28.459999
"14","2007-01-23",28.370001
"15","2007-01-24",28.190001
"16","2007-01-25",28.17
"17","2007-01-26",28.450001
"18","2007-01-29",28.66
"19","2007-01-30",28.450001
"20","2007-01-31",28.549999
"21","2007-02-01",28.549999
"22","2007-02-02",28.75
"23","2007-02-05",29
"24","2007-02-06",29
"25","2007-02-07",29
"26","2007-02-08",29.389999
"27","2007-02-09",29.9
"28","2007-02-12",30
"29","2007-02-13",30.200001
"30","2007-02-14",30.34
"31","2007-02-15",30.5
"32","2007-02-16",30.84
"33","2007-02-20",31.299999
"34","2007-02-21",31.299999
"35","2007-02-22",31.65
"36","2007-02-23",32
"37","2007-02-26",31.27
"38","2007-02-27",30.4
"39","2007-02-28",31.17
"40","2007-03-01",31.33
"41","2007-03-02",30.92
"42","2007-03-05",30.49
"43","2007-03-06",30.860001
"44","2007-03-07",31.059999
"45","2007-03-08",30.67
"46","2007-03-09",30.84
"47","2007-03-12",30.9
"48","2007-03-13",30.27
"49","2007-03-14",29.99
"50","2007-03-15",30
"51","2007-03-16",29.870001
"52","2007-03-19",30.200001
"53","2007-03-20",30.200001
"54","2007-03-21",29.889999
"55","2007-03-22",29.9
"56","2007-03-23",29.9
"57","2007-03-26",29.889999
"58","2007-03-27",30.08
"59","2007-03-28",30.190001
"60","2007-03-29",30.01
"61","2007-03-30",30.190001
"62","2007-04-02",30.34
"63","2007-04-03",30.709999
"64","2007-04-04",31.09
"65","2007-04-05",31.08
"66","2007-04-09",31
"67","2007-04-10",31.049999
"68","2007-04-11",30.76
"69","2007-04-12",30.51
"70","2007-04-13",30.549999
"71","2007-04-16",30.73
"72","2007-04-17",30.700001
"73","2007-04-18",30.540001
"74","2007-04-19",30.48
"75","2007-04-20",30.48
"76","2007-04-23",30.33
"77","2007-04-24",30.5
"78","2007-04-25",31.040001
"79","2007-04-26",31.049999
"80","2007-04-27",30.75
"81","2007-04-30",30.93
"82","2007-05-01",30.030001
"83","2007-05-02",30.76
"84","2007-05-03",30.799999
"85","2007-05-04",31.07
"86","2007-05-07",31.120001
"87","2007-05-08",31.040001
"88","2007-05-09",30.83
"89","2007-05-10",30.290001
"90","2007-05-11",30.15
"91","2007-05-14",29.83
"92","2007-05-15",29.73
"93","2007-05-16",29.49
"94","2007-05-17",29.59
"95","2007-05-18",28.639999
"96","2007-05-21",28.6
