"","date","RKDA"
"1","2015-05-15",146
"2","2015-05-18",149
"3","2015-05-19",156
"4","2015-05-20",155.800003
"5","2015-05-21",157.800003
"6","2015-05-22",158.399994
"7","2015-05-26",159.800003
"8","2015-05-27",164
"9","2015-05-28",163.399994
"10","2015-05-29",172.199997
"11","2015-06-01",164.800003
"12","2015-06-02",160.199997
"13","2015-06-03",165.800003
"14","2015-06-04",164
"15","2015-06-05",161
"16","2015-06-08",161.800003
"17","2015-06-09",163.800003
"18","2015-06-10",167
"19","2015-06-11",173.800003
"20","2015-06-12",174.600006
"21","2015-06-15",168.800003
"22","2015-06-16",168.399994
"23","2015-06-17",156.800003
"24","2015-06-18",157.199997
"25","2015-06-19",160.199997
"26","2015-06-22",151.600006
"27","2015-06-23",134.199997
"28","2015-06-24",124
"29","2015-06-25",127
"30","2015-06-26",139.600006
"31","2015-06-29",130.199997
"32","2015-06-30",127.400002
"33","2015-07-01",131.800003
"34","2015-07-02",127
"35","2015-07-06",134.399994
"36","2015-07-07",129.800003
"37","2015-07-08",128.199997
"38","2015-07-09",125.400002
"39","2015-07-10",127
"40","2015-07-13",125.599998
"41","2015-07-14",124.800003
"42","2015-07-15",114
"43","2015-07-16",107.599998
"44","2015-07-17",107.199997
"45","2015-07-20",96.800003
"46","2015-07-21",88.599998
"47","2015-07-22",88.199997
"48","2015-07-23",91.599998
"49","2015-07-24",88.400002
"50","2015-07-27",88
"51","2015-07-28",89.800003
"52","2015-07-29",83.400002
"53","2015-07-30",87.599998
"54","2015-07-31",84.800003
"55","2015-08-03",87.400002
"56","2015-08-04",86
"57","2015-08-05",86
"58","2015-08-06",87
"59","2015-08-07",87.199997
"60","2015-08-10",90.599998
"61","2015-08-11",89.400002
"62","2015-08-12",87.400002
"63","2015-08-13",87.599998
"64","2015-08-14",93.800003
"65","2015-08-17",105.800003
"66","2015-08-18",114.400002
"67","2015-08-19",115.800003
"68","2015-08-20",111.599998
"69","2015-08-21",115.199997
"70","2015-08-24",107.599998
"71","2015-08-25",115.199997
"72","2015-08-26",117.599998
"73","2015-08-27",121.599998
"74","2015-08-28",127.199997
"75","2015-08-31",130.199997
"76","2015-09-01",127.599998
"77","2015-09-02",118
"78","2015-09-03",110.400002
"79","2015-09-04",108.199997
"80","2015-09-08",109.199997
"81","2015-09-09",107.400002
