"","date","OI"
"1","2007-01-03",18.799999
"2","2007-01-04",18.799999
"3","2007-01-05",18.549999
"4","2007-01-08",18.85
"5","2007-01-09",19.049999
"6","2007-01-10",19.299999
"7","2007-01-11",20.139999
"8","2007-01-12",21.549999
"9","2007-01-16",21.34
"10","2007-01-17",21.299999
"11","2007-01-18",21.799999
"12","2007-01-19",22.209999
"13","2007-01-22",22.1
"14","2007-01-23",22.1
"15","2007-01-24",22.129999
"16","2007-01-25",22.059999
"17","2007-01-26",22.15
"18","2007-01-29",22.200001
"19","2007-01-30",22.33
"20","2007-01-31",22.26
"21","2007-02-01",23
"22","2007-02-02",23.15
"23","2007-02-05",23.08
"24","2007-02-06",23.15
"25","2007-02-07",23.139999
"26","2007-02-08",23.200001
"27","2007-02-09",23.1
"28","2007-02-12",23.15
"29","2007-02-13",23.42
"30","2007-02-14",23.549999
"31","2007-02-15",23.48
"32","2007-02-16",23.549999
"33","2007-02-20",23.6
"34","2007-02-21",23.530001
"35","2007-02-22",23.51
"36","2007-02-23",23.66
"37","2007-02-26",23.809999
"38","2007-02-27",23
"39","2007-02-28",23.76
"40","2007-03-01",23.58
"41","2007-03-02",23.540001
"42","2007-03-05",23.42
"43","2007-03-06",23.540001
"44","2007-03-07",23.959999
"45","2007-03-08",24.209999
"46","2007-03-09",23.84
"47","2007-03-12",25
"48","2007-03-13",24.219999
"49","2007-03-14",24.389999
"50","2007-03-15",24.66
"51","2007-03-16",24.51
"52","2007-03-19",24.76
"53","2007-03-20",25
"54","2007-03-21",25.32
"55","2007-03-22",25.57
"56","2007-03-23",26.02
"57","2007-03-26",25.74
"58","2007-03-27",25.84
"59","2007-03-28",25.85
"60","2007-03-29",25.940001
"61","2007-03-30",25.77
"62","2007-04-02",26.120001
"63","2007-04-03",27.120001
"64","2007-04-04",27.4
"65","2007-04-05",27.280001
"66","2007-04-09",27.25
"67","2007-04-10",27.200001
"68","2007-04-11",26.85
"69","2007-04-12",26.799999
"70","2007-04-13",26.799999
"71","2007-04-16",27.040001
"72","2007-04-17",27
"73","2007-04-18",26.700001
"74","2007-04-19",27.299999
"75","2007-04-20",27.35
"76","2007-04-23",26.780001
"77","2007-04-24",26.35
"78","2007-04-25",26.299999
"79","2007-04-26",30.5
"80","2007-04-27",30.26
"81","2007-04-30",30.09
"82","2007-05-01",30.5
"83","2007-05-02",31.559999
"84","2007-05-03",31.77
"85","2007-05-04",31.92
"86","2007-05-07",32.419998
"87","2007-05-08",32.5
"88","2007-05-09",32.939999
"89","2007-05-10",32.369999
"90","2007-05-11",33.130001
"91","2007-05-14",33.09
"92","2007-05-15",32.709999
"93","2007-05-16",32.810001
"94","2007-05-17",32.799999
"95","2007-05-18",32.93
"96","2007-05-21",33.400002
"97","2007-05-22",33.450001
"98","2007-05-23",33.400002
"99","2007-05-24",32.849998
"100","2007-05-25",33.279999
"101","2007-05-29",33.450001
"102","2007-05-30",34.130001
"103","2007-05-31",34
"104","2007-06-01",34.060001
"105","2007-06-04",33.73
"106","2007-06-05",33.75
"107","2007-06-06",33.860001
"108","2007-06-07",33.080002
"109","2007-06-08",33.27
"110","2007-06-11",32.650002
