"","date","CLSK"
"1","2016-11-16",34.900002
"2","2016-11-17",34.900002
"3","2016-11-18",34.900002
"4","2016-11-21",31.5
"5","2016-11-22",45
"6","2016-11-23",35
"7","2016-11-25",35
"8","2016-11-28",35
"9","2016-11-29",35
"10","2016-11-30",35
"11","2016-12-01",35
"12","2016-12-02",35
"13","2016-12-05",35
"14","2016-12-06",35
"15","2016-12-07",35
"16","2016-12-08",35
"17","2016-12-09",35
"18","2016-12-12",35
"19","2016-12-13",35
"20","2016-12-14",35
"21","2016-12-15",35
"22","2016-12-16",35
"23","2016-12-19",35
"24","2016-12-20",35
"25","2016-12-21",35
"26","2016-12-22",35
"27","2016-12-23",35
"28","2016-12-27",35
"29","2016-12-28",35
"30","2016-12-29",35
"31","2016-12-30",35
"32","2017-01-03",35.5
"33","2017-01-04",35.5
"34","2017-01-05",35.5
"35","2017-01-06",35.5
"36","2017-01-09",35.5
"37","2017-01-10",35
"38","2017-01-11",35
"39","2017-01-12",35
"40","2017-01-13",35
"41","2017-01-17",35
"42","2017-01-18",35
"43","2017-01-19",35
"44","2017-01-20",35
"45","2017-01-23",35
"46","2017-01-24",35
"47","2017-01-25",35
"48","2017-01-26",35
"49","2017-01-27",35
"50","2017-01-30",30
"51","2017-01-31",30
"52","2017-02-01",40
"53","2017-02-02",42.5
"54","2017-02-03",42.5
"55","2017-02-06",40
"56","2017-02-07",42.5
"57","2017-02-08",42.5
"58","2017-02-09",42.5
"59","2017-02-10",42.5
"60","2017-02-13",42.5
"61","2017-02-14",42.5
"62","2017-02-15",42.5
"63","2017-02-16",42.5
"64","2017-02-17",42.5
"65","2017-02-21",42.5
"66","2017-02-22",42.5
"67","2017-02-23",42.5
"68","2017-02-24",42.5
"69","2017-02-27",42.5
"70","2017-02-28",42.5
"71","2017-03-01",42.5
"72","2017-03-02",42.5
"73","2017-03-03",42.5
"74","2017-03-06",42.5
"75","2017-03-07",42.5
"76","2017-03-08",42.5
"77","2017-03-09",42.5
"78","2017-03-10",42.5
"79","2017-03-13",42.5
"80","2017-03-14",42.5
"81","2017-03-15",42.5
"82","2017-03-16",42.5
"83","2017-03-17",35.5
"84","2017-03-20",45
"85","2017-03-21",45
"86","2017-03-22",45
"87","2017-03-23",30
"88","2017-03-24",50
"89","2017-03-27",50
"90","2017-03-28",50
"91","2017-03-29",50
"92","2017-03-30",50
"93","2017-03-31",50
"94","2017-04-03",50
"95","2017-04-04",40
"96","2017-04-05",40
"97","2017-04-06",40
"98","2017-04-07",40
"99","2017-04-10",40
"100","2017-04-11",40
"101","2017-04-12",40
"102","2017-04-13",27.5
"103","2017-04-17",45
"104","2017-04-18",45
"105","2017-04-19",45
"106","2017-04-20",45
"107","2017-04-21",45
"108","2017-04-24",45
"109","2017-04-25",45
"110","2017-04-26",45
"111","2017-04-27",45
"112","2017-04-28",45
"113","2017-05-01",45
"114","2017-05-02",40
"115","2017-05-03",40
"116","2017-05-04",40
"117","2017-05-05",40
"118","2017-05-08",40
"119","2017-05-09",40
"120","2017-05-10",39
"121","2017-05-11",39
"122","2017-05-12",39
"123","2017-05-15",39
"124","2017-05-16",39
"125","2017-05-17",39
"126","2017-05-18",39
"127","2017-05-19",39
"128","2017-05-22",39
"129","2017-05-23",34.5
"130","2017-05-24",34.5
"131","2017-05-25",34.5
"132","2017-05-26",34.5
"133","2017-05-30",34.5
"134","2017-05-31",34.5
"135","2017-06-01",34.5
"136","2017-06-02",34.5
"137","2017-06-05",34.5
"138","2017-06-06",34.5
"139","2017-06-07",34.5
"140","2017-06-08",34.5
"141","2017-06-09",34.5
"142","2017-06-12",34.5
"143","2017-06-13",34.5
"144","2017-06-14",34.5
"145","2017-06-15",34.5
"146","2017-06-16",34.5
"147","2017-06-19",34.5
"148","2017-06-20",34.5
"149","2017-06-21",34.5
"150","2017-06-22",34.5
"151","2017-06-23",34.5
"152","2017-06-26",34.5
"153","2017-06-27",34.5
"154","2017-06-28",34.5
"155","2017-06-29",34.5
"156","2017-06-30",34.5
"157","2017-07-03",34.5
"158","2017-07-05",34.5
"159","2017-07-06",34.5
"160","2017-07-07",34.5
"161","2017-07-10",34.5
"162","2017-07-11",34.5
"163","2017-07-12",34.5
"164","2017-07-13",34.5
"165","2017-07-14",34.5
