"","date","ANIX"
"1","2007-01-03",23
"2","2007-01-04",22.5
"3","2007-01-05",21.5
"4","2007-01-08",22.5
"5","2007-01-09",23
"6","2007-01-10",23
"7","2007-01-11",23
"8","2007-01-12",23
"9","2007-01-16",23.25
"10","2007-01-17",22.5
"11","2007-01-18",21
"12","2007-01-19",22.25
"13","2007-01-22",23.75
"14","2007-01-23",23.25
"15","2007-01-24",23.5
"16","2007-01-25",23.25
"17","2007-01-26",23.25
"18","2007-01-29",22.5
"19","2007-01-30",22.5
"20","2007-01-31",23
"21","2007-02-01",23
"22","2007-02-02",22.5
"23","2007-02-05",21.75
"24","2007-02-06",22.25
"25","2007-02-07",22
"26","2007-02-08",21.75
"27","2007-02-09",22.25
"28","2007-02-12",22.25
"29","2007-02-13",22.5
"30","2007-02-14",22.5
"31","2007-02-15",22.25
"32","2007-02-16",22
"33","2007-02-20",22
"34","2007-02-21",22
"35","2007-02-22",22
"36","2007-02-23",22
"37","2007-02-26",21.5
"38","2007-02-27",20.5
"39","2007-02-28",21
"40","2007-03-01",20.75
"41","2007-03-02",20.25
"42","2007-03-05",19.5
"43","2007-03-06",21.75
"44","2007-03-07",21.75
"45","2007-03-08",21.25
"46","2007-03-09",22.25
"47","2007-03-12",21.25
"48","2007-03-13",20
"49","2007-03-14",20.25
"50","2007-03-15",20
"51","2007-03-16",19.75
"52","2007-03-19",20.75
"53","2007-03-20",20.5
"54","2007-03-21",20
"55","2007-03-22",19
"56","2007-03-23",17.75
"57","2007-03-26",18.75
"58","2007-03-27",18.5
"59","2007-03-28",19
"60","2007-03-29",18.25
"61","2007-03-30",18.25
"62","2007-04-02",19
"63","2007-04-03",18
"64","2007-04-04",18
"65","2007-04-05",17.75
"66","2007-04-09",17
"67","2007-04-10",16.75
"68","2007-04-11",17
"69","2007-04-12",16.5
"70","2007-04-13",15.5
"71","2007-04-16",15
"72","2007-04-17",15
"73","2007-04-18",15
"74","2007-04-19",14.75
"75","2007-04-20",14.25
"76","2007-04-23",16.25
"77","2007-04-24",15
"78","2007-04-25",14.25
"79","2007-04-26",14.25
"80","2007-04-27",14.75
"81","2007-04-30",16.25
"82","2007-05-01",16.5
"83","2007-05-02",17.5
"84","2007-05-03",18.25
"85","2007-05-04",18.5
"86","2007-05-07",17.25
"87","2007-05-08",16.5
"88","2007-05-09",16
"89","2007-05-10",15.5
"90","2007-05-11",15.75
"91","2007-05-14",15.5
"92","2007-05-15",15
"93","2007-05-16",14.75
"94","2007-05-17",15
"95","2007-05-18",15.25
"96","2007-05-21",15.75
"97","2007-05-22",15.75
"98","2007-05-23",15.5
"99","2007-05-24",15.75
"100","2007-05-25",17.25
"101","2007-05-29",16.75
"102","2007-05-30",15.75
"103","2007-05-31",15.5
"104","2007-06-01",15.5
"105","2007-06-04",15.25
"106","2007-06-05",15.25
"107","2007-06-06",15.75
"108","2007-06-07",15.5
"109","2007-06-08",15.25
"110","2007-06-11",15.25
"111","2007-06-12",15.25
"112","2007-06-13",15.25
"113","2007-06-14",15
"114","2007-06-15",15.25
"115","2007-06-18",15.75
"116","2007-06-19",15.5
"117","2007-06-20",15.25
"118","2007-06-21",16.25
"119","2007-06-22",15.75
"120","2007-06-25",15.5
"121","2007-06-26",15.5
"122","2007-06-27",15.5
"123","2007-06-28",14.75
"124","2007-06-29",14.5
"125","2007-07-02",14
"126","2007-07-03",14.5
"127","2007-07-05",14.25
"128","2007-07-06",14.25
"129","2007-07-09",14
"130","2007-07-10",14
"131","2007-07-11",14
"132","2007-07-12",13.75
"133","2007-07-13",12.25
"134","2007-07-16",12.5
"135","2007-07-17",12.5
"136","2007-07-18",13.25
"137","2007-07-19",13.5
"138","2007-07-20",13.25
"139","2007-07-23",13
"140","2007-07-24",12.5
"141","2007-07-25",13.75
"142","2007-07-26",13.25
"143","2007-07-27",13.75
"144","2007-07-30",13.25
"145","2007-07-31",13.5
"146","2007-08-01",13
"147","2007-08-02",13
"148","2007-08-03",13.75
"149","2007-08-06",15
"150","2007-08-07",15.75
"151","2007-08-08",14.75
"152","2007-08-09",17.5
"153","2007-08-10",19.5
"154","2007-08-13",21.25
"155","2007-08-14",21
"156","2007-08-15",20
"157","2007-08-16",20
"158","2007-08-17",20.5
"159","2007-08-20",20
"160","2007-08-21",20.25
"161","2007-08-22",20
"162","2007-08-23",20
"163","2007-08-24",20.5
"164","2007-08-27",20
"165","2007-08-28",20
"166","2007-08-29",20
"167","2007-08-30",21.25
"168","2007-08-31",22
"169","2007-09-04",21.75
"170","2007-09-05",22.25
"171","2007-09-06",22
"172","2007-09-07",22.25
"173","2007-09-10",23.5
"174","2007-09-11",21.5
"175","2007-09-12",23
"176","2007-09-13",23.25
"177","2007-09-14",23.25
"178","2007-09-17",23
"179","2007-09-18",22.25
"180","2007-09-19",23.5
"181","2007-09-20",23
"182","2007-09-21",22
"183","2007-09-24",22.5
"184","2007-09-25",21
"185","2007-09-26",20
"186","2007-09-27",20.5
"187","2007-09-28",20.25
"188","2007-10-01",21
"189","2007-10-02",21.75
"190","2007-10-03",22.5
"191","2007-10-04",22
"192","2007-10-05",21
"193","2007-10-08",20
"194","2007-10-09",20
"195","2007-10-10",20
"196","2007-10-11",19
"197","2007-10-12",18.75
"198","2007-10-15",19
"199","2007-10-16",19
"200","2007-10-17",19
"201","2007-10-18",21
"202","2007-10-19",20.5
"203","2007-10-22",20.5
"204","2007-10-23",19.75
"205","2007-10-24",20.5
"206","2007-10-25",22
"207","2007-10-26",22.25
"208","2007-10-29",22
"209","2007-10-30",21.5
"210","2007-10-31",22.5
"211","2007-11-01",21
"212","2007-11-02",22.75
"213","2007-11-05",33.25
"214","2007-11-06",30.75
"215","2007-11-07",28.75
"216","2007-11-08",29.5
"217","2007-11-09",27.75
"218","2007-11-12",29.25
"219","2007-11-13",30.25
"220","2007-11-14",32.5
"221","2007-11-15",36
"222","2007-11-16",42.5
"223","2007-11-19",47.5
"224","2007-11-20",46.5
"225","2007-11-21",44.25
"226","2007-11-23",45
"227","2007-11-26",42
"228","2007-11-27",33
"229","2007-11-28",38.75
"230","2007-11-29",37
"231","2007-11-30",37.5
"232","2007-12-03",37.25
"233","2007-12-04",35.5
"234","2007-12-05",36
"235","2007-12-06",37
"236","2007-12-07",38.25
"237","2007-12-10",39
"238","2007-12-11",40
"239","2007-12-12",38
"240","2007-12-13",37.5
"241","2007-12-14",39.25
"242","2007-12-17",37.25
"243","2007-12-18",36.5
"244","2007-12-19",38.75
"245","2007-12-20",40
"246","2007-12-21",39
"247","2007-12-24",38.25
"248","2007-12-26",36.25
"249","2007-12-27",35.5
"250","2007-12-28",36.5
"251","2007-12-31",36.25
"252","2008-01-02",37.25
"253","2008-01-03",36.75
"254","2008-01-04",36.25
"255","2008-01-07",29.5
"256","2008-01-08",30
"257","2008-01-09",26.75
"258","2008-01-10",32
"259","2008-01-11",31.25
"260","2008-01-14",32.25
"261","2008-01-15",30
"262","2008-01-16",28.75
"263","2008-01-17",27.5
"264","2008-01-18",28.5
"265","2008-01-22",28.75
"266","2008-01-23",29.25
"267","2008-01-24",28
"268","2008-01-25",28.5
"269","2008-01-28",26.5
"270","2008-01-29",26.25
"271","2008-01-30",27.75
"272","2008-01-31",29.75
"273","2008-02-01",28.75
"274","2008-02-04",26.75
"275","2008-02-05",26.5
"276","2008-02-06",27.5
"277","2008-02-07",26.75
"278","2008-02-08",27.5
"279","2008-02-11",28.75
"280","2008-02-12",27.5
"281","2008-02-13",27.5
"282","2008-02-14",27
"283","2008-02-15",26.5
"284","2008-02-19",26.75
"285","2008-02-20",27.5
"286","2008-02-21",28
"287","2008-02-22",27
"288","2008-02-25",28.75
"289","2008-02-26",27.25
"290","2008-02-27",26.75
"291","2008-02-28",26
"292","2008-02-29",25
"293","2008-03-03",22.75
"294","2008-03-04",20.75
"295","2008-03-05",23
"296","2008-03-06",22.5
"297","2008-03-07",23.25
"298","2008-03-10",21.75
"299","2008-03-11",22.25
"300","2008-03-12",22
"301","2008-03-13",21
"302","2008-03-14",21.25
"303","2008-03-17",19
"304","2008-03-18",19.5
"305","2008-03-19",19.25
"306","2008-03-20",17.25
"307","2008-03-24",20
"308","2008-03-25",22
"309","2008-03-26",21.75
"310","2008-03-27",22
"311","2008-03-28",21.5
"312","2008-03-31",21.75
"313","2008-04-01",23.75
"314","2008-04-02",25
