"","date","EEFT"
"1","2007-01-03",30.08
"2","2007-01-04",30.459999
"3","2007-01-05",28.82
"4","2007-01-08",28.76
"5","2007-01-09",28.450001
"6","2007-01-10",28.129999
"7","2007-01-11",27.940001
"8","2007-01-12",27.67
"9","2007-01-16",27.799999
"10","2007-01-17",27.67
"11","2007-01-18",27.67
"12","2007-01-19",26.99
"13","2007-01-22",27.049999
"14","2007-01-23",28.07
"15","2007-01-24",28.43
"16","2007-01-25",28.34
"17","2007-01-26",28.51
"18","2007-01-29",28.629999
"19","2007-01-30",28.549999
"20","2007-01-31",28.860001
"21","2007-02-01",29.110001
"22","2007-02-02",29
"23","2007-02-05",29.049999
"24","2007-02-06",30
"25","2007-02-07",29.51
"26","2007-02-08",29.030001
"27","2007-02-09",28.629999
"28","2007-02-12",28.6
"29","2007-02-13",27.67
"30","2007-02-14",27.34
"31","2007-02-15",27.16
"32","2007-02-16",27.82
"33","2007-02-20",28
"34","2007-02-21",28.280001
"35","2007-02-22",28.35
"36","2007-02-23",28.68
"37","2007-02-26",28.549999
"38","2007-02-27",27.950001
"39","2007-02-28",27.33
"40","2007-03-01",27.48
"41","2007-03-02",26.41
"42","2007-03-05",26.4
"43","2007-03-06",27.120001
"44","2007-03-07",27.110001
"45","2007-03-08",26.15
"46","2007-03-09",26.309999
"47","2007-03-12",26.370001
"48","2007-03-13",25.629999
"49","2007-03-14",25.959999
"50","2007-03-15",26.4
"51","2007-03-16",25.99
"52","2007-03-19",26.1
"53","2007-03-20",26.35
"54","2007-03-21",26.799999
"55","2007-03-22",27.4
"56","2007-03-23",27.389999
"57","2007-03-26",27.700001
"58","2007-03-27",27.889999
"59","2007-03-28",27.5
"60","2007-03-29",27.42
"61","2007-03-30",26.860001
"62","2007-04-02",27.030001
"63","2007-04-03",26.9
"64","2007-04-04",26.860001
"65","2007-04-05",26.959999
"66","2007-04-09",26.6
"67","2007-04-10",26.93
"68","2007-04-11",26.76
"69","2007-04-12",26.65
"70","2007-04-13",26.709999
"71","2007-04-16",27.26
"72","2007-04-17",27.5
"73","2007-04-18",27.389999
"74","2007-04-19",27.42
"75","2007-04-20",28.15
"76","2007-04-23",27.940001
"77","2007-04-24",27.709999
"78","2007-04-25",26.27
"79","2007-04-26",27.52
"80","2007-04-27",27.860001
"81","2007-04-30",27.85
"82","2007-05-01",27.459999
"83","2007-05-02",27.92
"84","2007-05-03",28.440001
"85","2007-05-04",28.129999
"86","2007-05-07",27.91
"87","2007-05-08",27.91
"88","2007-05-09",27.879999
"89","2007-05-10",27.35
"90","2007-05-11",27.92
"91","2007-05-14",27.370001
"92","2007-05-15",26.950001
"93","2007-05-16",27.190001
"94","2007-05-17",27.209999
"95","2007-05-18",27.309999
"96","2007-05-21",27.74
"97","2007-05-22",28
"98","2007-05-23",26.82
"99","2007-05-24",26.4
"100","2007-05-25",26.43
"101","2007-05-29",26.42
"102","2007-05-30",26.74
"103","2007-05-31",26.870001
"104","2007-06-01",26.4
"105","2007-06-04",27.049999
"106","2007-06-05",27.040001
"107","2007-06-06",28.129999
"108","2007-06-07",28.5
"109","2007-06-08",29.24
"110","2007-06-11",29.02
"111","2007-06-12",28.91
"112","2007-06-13",28.889999
"113","2007-06-14",29
"114","2007-06-15",29.459999
"115","2007-06-18",29.469999
"116","2007-06-19",30.389999
"117","2007-06-20",29.969999
"118","2007-06-21",30.01
"119","2007-06-22",29.52
"120","2007-06-25",29.459999
"121","2007-06-26",29.32
"122","2007-06-27",29.49
"123","2007-06-28",29.879999
"124","2007-06-29",29.16
"125","2007-07-02",29.200001
"126","2007-07-03",29.129999
"127","2007-07-05",29.07
"128","2007-07-06",29.469999
"129","2007-07-09",29.18
"130","2007-07-10",28.49
"131","2007-07-11",28.68
"132","2007-07-12",29.110001
"133","2007-07-13",29.280001
"134","2007-07-16",28.85
"135","2007-07-17",29.280001
"136","2007-07-18",29.040001
"137","2007-07-19",30.049999
"138","2007-07-20",29.360001
"139","2007-07-23",27.700001
"140","2007-07-24",26.780001
"141","2007-07-25",26.1
"142","2007-07-26",25.950001
"143","2007-07-27",25.5
"144","2007-07-30",26.08
"145","2007-07-31",25.41
"146","2007-08-01",24.99
"147","2007-08-02",27.049999
"148","2007-08-03",26.139999
"149","2007-08-06",26.66
"150","2007-08-07",27.280001
"151","2007-08-08",29.83
"152","2007-08-09",30.49
"153","2007-08-10",28.889999
"154","2007-08-13",27.809999
"155","2007-08-14",27.24
"156","2007-08-15",26.27
"157","2007-08-16",26.98
