"","date","SGBX"
"1","2017-06-22",98.400002
"2","2017-06-23",99
"3","2017-06-26",97
"4","2017-06-27",96
"5","2017-06-28",98
"6","2017-06-29",88.400002
"7","2017-06-30",94
"8","2017-07-03",93.400002
"9","2017-07-05",95.800003
"10","2017-07-06",95.599998
"11","2017-07-07",97.400002
"12","2017-07-10",100.800003
"13","2017-07-11",101
"14","2017-07-12",99
"15","2017-07-13",96.800003
"16","2017-07-14",95.199997
"17","2017-07-17",97
"18","2017-07-18",90
"19","2017-07-19",87
"20","2017-07-20",84.199997
"21","2017-07-21",87.199997
"22","2017-07-24",88
"23","2017-07-25",85
"24","2017-07-26",76.400002
"25","2017-07-27",80.400002
"26","2017-07-28",75
"27","2017-07-31",78
"28","2017-08-01",76
"29","2017-08-02",77.199997
"30","2017-08-03",76.400002
"31","2017-08-04",81
"32","2017-08-07",79
"33","2017-08-08",83
"34","2017-08-09",90
"35","2017-08-10",87.599998
"36","2017-08-11",80.400002
"37","2017-08-14",88.199997
"38","2017-08-15",88
"39","2017-08-16",83.400002
"40","2017-08-17",79.800003
"41","2017-08-18",79
"42","2017-08-21",77
"43","2017-08-22",78.800003
"44","2017-08-23",78.800003
"45","2017-08-24",77.800003
"46","2017-08-25",76.199997
"47","2017-08-28",76
"48","2017-08-29",77
"49","2017-08-30",77
"50","2017-08-31",77
"51","2017-09-01",76.199997
"52","2017-09-05",80
"53","2017-09-06",83.800003
"54","2017-09-07",87
"55","2017-09-08",95.599998
"56","2017-09-11",94.800003
"57","2017-09-12",99.400002
"58","2017-09-13",99.400002
"59","2017-09-14",98.800003
"60","2017-09-15",89.800003
"61","2017-09-18",93
"62","2017-09-19",91
"63","2017-09-20",94
"64","2017-09-21",94
"65","2017-09-22",98
"66","2017-09-25",94.400002
"67","2017-09-26",92
"68","2017-09-27",89.800003
"69","2017-09-28",86.400002
"70","2017-09-29",85.599998
"71","2017-10-02",86
"72","2017-10-03",105.599998
"73","2017-10-04",112
"74","2017-10-05",112
"75","2017-10-06",108
"76","2017-10-09",108.800003
"77","2017-10-10",108
"78","2017-10-11",103.199997
"79","2017-10-12",107.599998
"80","2017-10-13",106.800003
"81","2017-10-16",108.599998
"82","2017-10-17",113
"83","2017-10-18",123.599998
"84","2017-10-19",117.800003
"85","2017-10-20",118.660004
"86","2017-10-23",120
"87","2017-10-24",127.400002
"88","2017-10-25",120.540001
"89","2017-10-26",120
"90","2017-10-27",119.400002
"91","2017-10-30",116.400002
"92","2017-10-31",112.199997
"93","2017-11-01",105.199997
"94","2017-11-02",111.400002
"95","2017-11-03",112.400002
"96","2017-11-06",112
"97","2017-11-07",112
"98","2017-11-08",112
"99","2017-11-09",111.599998
"100","2017-11-10",112
"101","2017-11-13",108.800003
"102","2017-11-14",107.400002
"103","2017-11-15",104.400002
"104","2017-11-16",104.199997
"105","2017-11-17",104.400002
"106","2017-11-20",101.599998
"107","2017-11-21",107
"108","2017-11-22",104.800003
"109","2017-11-24",105.800003
"110","2017-11-27",102.199997
"111","2017-11-28",102.199997
"112","2017-11-29",97.400002
"113","2017-11-30",101.800003
"114","2017-12-01",100.599998
"115","2017-12-04",103.599998
"116","2017-12-05",103.800003
"117","2017-12-06",104.599998
"118","2017-12-07",104.599998
"119","2017-12-08",102.199997
"120","2017-12-11",99.800003
"121","2017-12-12",101.199997
"122","2017-12-13",96.099998
"123","2017-12-14",110
"124","2017-12-15",109
"125","2017-12-18",115.199997
"126","2017-12-19",115.400002
"127","2017-12-20",119.199997
"128","2017-12-21",121
"129","2017-12-22",119
"130","2017-12-26",116.199997
"131","2017-12-27",108
"132","2017-12-28",114.800003
"133","2017-12-29",119.599998
"134","2018-01-02",117.199997
"135","2018-01-03",124
"136","2018-01-04",124
"137","2018-01-05",121.400002
"138","2018-01-08",118
"139","2018-01-09",111
"140","2018-01-10",110
"141","2018-01-11",108
"142","2018-01-12",108
"143","2018-01-16",106.800003
"144","2018-01-17",107.400002
