"","date","USEG"
"1","2007-01-03",294.600006
"2","2007-01-04",292.200012
"3","2007-01-05",291
"4","2007-01-08",289.799988
"5","2007-01-09",288
"6","2007-01-10",289.200012
"7","2007-01-11",282
"8","2007-01-12",281.399994
"9","2007-01-16",283.200012
"10","2007-01-17",282.600006
"11","2007-01-18",276
"12","2007-01-19",276
"13","2007-01-22",277.799988
"14","2007-01-23",276
"15","2007-01-24",277.799988
"16","2007-01-25",287.399994
"17","2007-01-26",282.600006
"18","2007-01-29",287.399994
"19","2007-01-30",291.600006
"20","2007-01-31",295.200012
"21","2007-02-01",296.399994
"22","2007-02-02",293.399994
"23","2007-02-05",297.600006
"24","2007-02-06",294.600006
"25","2007-02-07",295.799988
"26","2007-02-08",291
"27","2007-02-09",293.399994
"28","2007-02-12",307.200012
"29","2007-02-13",322.799988
"30","2007-02-14",319.200012
"31","2007-02-15",320.399994
"32","2007-02-16",321.600006
"33","2007-02-20",325.200012
"34","2007-02-21",332.399994
"35","2007-02-22",336
"36","2007-02-23",371.399994
"37","2007-02-26",352.799988
"38","2007-02-27",330
"39","2007-02-28",339.600006
"40","2007-03-01",330
"41","2007-03-02",315
"42","2007-03-05",303.600006
"43","2007-03-06",319.799988
"44","2007-03-07",327
"45","2007-03-08",328.200012
"46","2007-03-09",324.600006
"47","2007-03-12",324
"48","2007-03-13",316.799988
"49","2007-03-14",310.799988
"50","2007-03-15",319.200012
"51","2007-03-16",315.600006
"52","2007-03-19",315.600006
"53","2007-03-20",314.399994
"54","2007-03-21",318.600006
"55","2007-03-22",322.799988
"56","2007-03-23",327.600006
"57","2007-03-26",329.399994
"58","2007-03-27",322.799988
"59","2007-03-28",318
"60","2007-03-29",318.600006
"61","2007-03-30",319.200012
"62","2007-04-02",324
"63","2007-04-03",333.600006
"64","2007-04-04",348
"65","2007-04-05",356.399994
"66","2007-04-09",360.600006
"67","2007-04-10",350.399994
"68","2007-04-11",349.200012
"69","2007-04-12",342.600006
"70","2007-04-13",366
"71","2007-04-16",362.399994
"72","2007-04-17",361.200012
"73","2007-04-18",363
"74","2007-04-19",353.399994
"75","2007-04-20",357.600006
"76","2007-04-23",357.600006
"77","2007-04-24",366.600006
"78","2007-04-25",385.200012
"79","2007-04-26",392.399994
"80","2007-04-27",392.399994
"81","2007-04-30",393
"82","2007-05-01",369
