"","date","BSRR"
"1","2007-01-03",29.33
"2","2007-01-04",29.66
"3","2007-01-05",29.049999
"4","2007-01-08",28.780001
"5","2007-01-09",28.77
"6","2007-01-10",28.870001
"7","2007-01-11",29.23
"8","2007-01-12",29.76
"9","2007-01-16",28.9
"10","2007-01-17",28.879999
"11","2007-01-18",29.5
"12","2007-01-19",30.49
"13","2007-01-22",29.66
"14","2007-01-23",30.059999
"15","2007-01-24",30.049999
"16","2007-01-25",30.129999
"17","2007-01-26",30.41
"18","2007-01-29",30.4
"19","2007-01-30",30.139999
"20","2007-01-31",30.129999
"21","2007-02-01",29.67
"22","2007-02-02",29.32
"23","2007-02-05",29.25
"24","2007-02-06",29.33
"25","2007-02-07",29.200001
"26","2007-02-08",29.48
"27","2007-02-09",29.469999
"28","2007-02-12",29.620001
"29","2007-02-13",29.76
"30","2007-02-14",29.27
"31","2007-02-15",28.780001
"32","2007-02-16",28.780001
"33","2007-02-20",28.85
"34","2007-02-21",29.18
"35","2007-02-22",29.07
"36","2007-02-23",28.68
"37","2007-02-26",28.51
"38","2007-02-27",28.35
"39","2007-02-28",28.709999
"40","2007-03-01",28.639999
"41","2007-03-02",28.67
"42","2007-03-05",28.639999
"43","2007-03-06",28.52
"44","2007-03-07",28.27
"45","2007-03-08",28
"46","2007-03-09",28.09
"47","2007-03-12",27.950001
"48","2007-03-13",27.16
"49","2007-03-14",26.879999
"50","2007-03-15",27.459999
"51","2007-03-16",27.52
"52","2007-03-19",27.73
"53","2007-03-20",27.700001
"54","2007-03-21",28.959999
"55","2007-03-22",28.49
"56","2007-03-23",28.190001
"57","2007-03-26",28
"58","2007-03-27",27.620001
"59","2007-03-28",27.75
"60","2007-03-29",28
"61","2007-03-30",28.059999
"62","2007-04-02",28.01
"63","2007-04-03",28
"64","2007-04-04",27.85
"65","2007-04-05",27.93
"66","2007-04-09",27.879999
"67","2007-04-10",27.73
"68","2007-04-11",27.48
"69","2007-04-12",27.110001
"70","2007-04-13",27.530001
"71","2007-04-16",27.51
"72","2007-04-17",27.280001
"73","2007-04-18",27
"74","2007-04-19",26.639999
"75","2007-04-20",27.15
"76","2007-04-23",27.299999
"77","2007-04-24",27.02
"78","2007-04-25",26.969999
"79","2007-04-26",27.9
"80","2007-04-27",28.08
"81","2007-04-30",27.84
"82","2007-05-01",28.26
"83","2007-05-02",28.15
"84","2007-05-03",28.02
"85","2007-05-04",28.02
"86","2007-05-07",28.1
"87","2007-05-08",28.129999
"88","2007-05-09",28.16
"89","2007-05-10",27.85
"90","2007-05-11",28
"91","2007-05-14",27.92
"92","2007-05-15",27.75
"93","2007-05-16",27.85
"94","2007-05-17",27.93
"95","2007-05-18",27.93
"96","2007-05-21",28.09
"97","2007-05-22",28.16
"98","2007-05-23",27.98
"99","2007-05-24",27.879999
"100","2007-05-25",27.780001
"101","2007-05-29",27.92
"102","2007-05-30",27.98
"103","2007-05-31",27.83
"104","2007-06-01",27.84
"105","2007-06-04",27.860001
"106","2007-06-05",27.860001
"107","2007-06-06",27.84
"108","2007-06-07",27.799999
"109","2007-06-08",28.18
"110","2007-06-11",28.190001
"111","2007-06-12",27.75
"112","2007-06-13",27.889999
"113","2007-06-14",28.190001
"114","2007-06-15",27.780001
"115","2007-06-18",27.379999
"116","2007-06-19",28.09
"117","2007-06-20",27.870001
"118","2007-06-21",27.809999
"119","2007-06-22",27.35
"120","2007-06-25",27.83
"121","2007-06-26",27.940001
"122","2007-06-27",28.24
"123","2007-06-28",28.48
"124","2007-06-29",28.200001
"125","2007-07-02",28.639999
"126","2007-07-03",28.889999
"127","2007-07-05",28.26
"128","2007-07-06",28.43
"129","2007-07-09",28.27
"130","2007-07-10",27.700001
"131","2007-07-11",27.799999
"132","2007-07-12",28.33
"133","2007-07-13",28.030001
"134","2007-07-16",27.92
"135","2007-07-17",28.049999
"136","2007-07-18",27.51
"137","2007-07-19",27.67
