"","date","PUMP"
"1","2017-03-17",14.5
"2","2017-03-20",14.36
"3","2017-03-21",14.05
"4","2017-03-22",14
"5","2017-03-23",14.05
"6","2017-03-24",13.5
"7","2017-03-27",12.47
"8","2017-03-28",12.86
"9","2017-03-29",12.79
"10","2017-03-30",13.08
"11","2017-03-31",12.89
"12","2017-04-03",13.44
"13","2017-04-04",13.94
"14","2017-04-05",14.01
"15","2017-04-06",14.02
"16","2017-04-07",13.8
"17","2017-04-10",14.12
"18","2017-04-11",14.58
"19","2017-04-12",14.57
"20","2017-04-13",14.5
"21","2017-04-17",14.5
"22","2017-04-18",14.12
"23","2017-04-19",13.67
"24","2017-04-20",13.66
"25","2017-04-21",13.64
"26","2017-04-24",13.53
"27","2017-04-25",13.53
"28","2017-04-26",13.7
"29","2017-04-27",13.72
"30","2017-04-28",13.55
"31","2017-05-01",13.39
"32","2017-05-02",13.5
"33","2017-05-03",13.11
"34","2017-05-04",12.06
"35","2017-05-05",12.46
"36","2017-05-08",12.45
"37","2017-05-09",11.93
"38","2017-05-10",12.49
"39","2017-05-11",12.37
"40","2017-05-12",12.57
"41","2017-05-15",12.99
"42","2017-05-16",12.64
"43","2017-05-17",12.49
"44","2017-05-18",12.94
"45","2017-05-19",13.73
"46","2017-05-22",13.59
"47","2017-05-23",13.7
"48","2017-05-24",13.72
"49","2017-05-25",13.33
"50","2017-05-26",13.71
"51","2017-05-30",13.37
"52","2017-05-31",13.25
"53","2017-06-01",13.45
"54","2017-06-02",13.23
"55","2017-06-05",13.25
"56","2017-06-06",13.73
"57","2017-06-07",13.27
"58","2017-06-08",13.15
"59","2017-06-09",14.08
"60","2017-06-12",14.19
"61","2017-06-13",14.7
"62","2017-06-14",14.02
"63","2017-06-15",13.48
"64","2017-06-16",13.48
"65","2017-06-19",13.2
"66","2017-06-20",12.58
"67","2017-06-21",12.55
"68","2017-06-22",12.72
"69","2017-06-23",12.91
"70","2017-06-26",13.22
"71","2017-06-27",13.45
"72","2017-06-28",13.8
"73","2017-06-29",13.99
"74","2017-06-30",13.96
"75","2017-07-03",14.29
"76","2017-07-05",13.35
"77","2017-07-06",13.3
"78","2017-07-07",13.05
"79","2017-07-10",13.83
"80","2017-07-11",13.82
"81","2017-07-12",13.79
"82","2017-07-13",13.84
