"","date","BTAQU"
"1","2020-08-27",9.98
"2","2020-08-28",9.99
"3","2020-08-31",9.95
"4","2020-09-01",9.98
"5","2020-09-02",9.96
"6","2020-09-03",9.99
"7","2020-09-04",9.99
"8","2020-09-08",9.97
"9","2020-09-09",9.98
"10","2020-09-10",9.95
"11","2020-09-11",9.96
"12","2020-09-14",9.98
"13","2020-09-15",10
"14","2020-09-16",9.99
"15","2020-09-17",9.99
"16","2020-09-18",10
"17","2020-09-21",9.992
"18","2020-09-22",9.99
"19","2020-09-23",9.98
"20","2020-09-24",9.97
"21","2020-09-25",9.975
"22","2020-09-28",9.98
"23","2020-09-29",9.97
"24","2020-09-30",9.96
"25","2020-10-01",9.97
"26","2020-10-02",9.94
"27","2020-10-05",9.937
"28","2020-10-06",9.94
"29","2020-10-07",9.94
"30","2020-10-08",10
"31","2020-10-09",10
"32","2020-10-12",10
"33","2020-10-13",9.965
"34","2020-10-14",9.978
"35","2020-10-15",9.99
"36","2020-10-16",10.04
"37","2020-10-19",10
"38","2020-10-20",10
"39","2020-10-21",10.012
"40","2020-10-22",9.985
"41","2020-10-23",9.98
"42","2020-10-26",9.98
"43","2020-10-27",9.98
"44","2020-10-28",9.98
"45","2020-10-29",9.95
"46","2020-10-30",9.95
"47","2020-11-02",9.975
"48","2020-11-03",9.97
"49","2020-11-04",9.97
"50","2020-11-05",10
"51","2020-11-06",10.031
"52","2020-11-09",10
"53","2020-11-10",9.99
"54","2020-11-11",10
"55","2020-11-12",10
"56","2020-11-13",10
"57","2020-11-16",10.02
"58","2020-11-17",10.03
"59","2020-11-18",10.02
"60","2020-11-19",10.05
"61","2020-11-20",10.07
"62","2020-11-23",10.1
"63","2020-11-24",10.102
"64","2020-11-25",10.13
"65","2020-11-27",10.12
