"","date","CCM"
"1","2009-12-11",8.345046
"2","2009-12-14",8.178144
"3","2009-12-15",7.730147
"4","2009-12-16",7.932186
"5","2009-12-17",7.747716
"6","2009-12-18",7.607168
"7","2009-12-21",7.510541
"8","2009-12-22",7.475404
"9","2009-12-23",7.475404
"10","2009-12-24",7.554462
"11","2009-12-28",7.501757
"12","2009-12-29",7.519325
"13","2009-12-30",7.598384
"14","2009-12-31",7.5896
"15","2010-01-04",7.695011
"16","2010-01-05",8.274772
"17","2010-01-06",8.265987
"18","2010-01-07",8.670063
"19","2010-01-08",8.696416
"20","2010-01-11",8.503162
"21","2010-01-12",8.441672
"22","2010-01-13",8.397751
"23","2010-01-14",8.397751
"24","2010-01-15",8.626142
"25","2010-01-19",9.109276
"26","2010-01-20",9.153197
"27","2010-01-21",9.01265
"28","2010-01-22",8.898454
"29","2010-01-25",8.872101
"30","2010-01-26",8.740337
"31","2010-01-27",8.740337
"32","2010-01-28",8.652494
"33","2010-01-29",8.7052
"34","2010-02-01",8.520731
"35","2010-02-02",8.397751
"36","2010-02-03",8.336262
"37","2010-02-04",8.028812
"38","2010-02-05",7.440267
"39","2010-02-08",7.378777
"40","2010-02-09",7.317287
"41","2010-02-10",7.378777
"42","2010-02-11",7.387561
"43","2010-02-12",7.826775
"44","2010-02-16",7.642305
"45","2010-02-17",7.46662
"46","2010-02-18",7.554462
"47","2010-02-19",7.475404
"48","2010-02-22",7.484189
"49","2010-02-23",7.52811
"50","2010-02-24",7.52811
"51","2010-02-25",7.536894
"52","2010-02-26",7.519325
"53","2010-03-01",8.160576
"54","2010-03-02",8.16936
"55","2010-03-03",8.16936
"56","2010-03-04",7.958539
"57","2010-03-05",7.870696
"58","2010-03-08",7.888264
"59","2010-03-09",7.81799
"60","2010-03-10",7.730147
"61","2010-03-11",7.730147
"62","2010-03-12",7.536894
"63","2010-03-15",7.554462
"64","2010-03-16",7.361209
"65","2010-03-17",7.659873
"66","2010-03-18",7.642305
