"","date","ACRX"
"1","2011-02-11",4.55
"2","2011-02-14",4.38
"3","2011-02-15",4.31
"4","2011-02-16",4.24
"5","2011-02-17",3.85
"6","2011-02-18",3.65
"7","2011-02-22",3.86
"8","2011-02-23",3.96
"9","2011-02-24",3.75
"10","2011-02-25",3.59
"11","2011-02-28",3.62
"12","2011-03-01",3.59
"13","2011-03-02",3.45
"14","2011-03-03",3.4
"15","2011-03-04",3.3
"16","2011-03-07",3.09
"17","2011-03-08",3.11
"18","2011-03-09",3.5
"19","2011-03-10",3.25
"20","2011-03-11",3.17
"21","2011-03-14",3.3
"22","2011-03-15",3.49
"23","2011-03-16",3.51
"24","2011-03-17",3.43
"25","2011-03-18",3.12
"26","2011-03-21",3.59
"27","2011-03-22",3.39
"28","2011-03-23",3.33
"29","2011-03-24",3.37
"30","2011-03-25",3.47
"31","2011-03-28",3.58
"32","2011-03-29",3.54
"33","2011-03-30",3.42
"34","2011-03-31",3.43
"35","2011-04-01",3.38
"36","2011-04-04",3.35
"37","2011-04-05",3.25
"38","2011-04-06",3.38
"39","2011-04-07",3.3
"40","2011-04-08",3.22
"41","2011-04-11",3.25
"42","2011-04-12",3.25
"43","2011-04-13",3.25
"44","2011-04-14",3.12
"45","2011-04-15",3.15
"46","2011-04-18",3.14
"47","2011-04-19",3.02
"48","2011-04-20",3.06
"49","2011-04-21",3.12
"50","2011-04-25",3.17
"51","2011-04-26",3.3
"52","2011-04-27",3.43
"53","2011-04-28",3.35
"54","2011-04-29",3.42
"55","2011-05-02",3.41
"56","2011-05-03",3.35
"57","2011-05-04",3.2
"58","2011-05-05",3.3
"59","2011-05-06",3.43
"60","2011-05-09",3.38
"61","2011-05-10",3.28
"62","2011-05-11",3.35
"63","2011-05-12",3.44
"64","2011-05-13",3.5
"65","2011-05-16",3.65
"66","2011-05-17",3.68
"67","2011-05-18",4.04
"68","2011-05-19",4.19
"69","2011-05-20",4.17
"70","2011-05-23",4.07
"71","2011-05-24",4.05
"72","2011-05-25",3.95
"73","2011-05-26",4.12
"74","2011-05-27",4.62
"75","2011-05-31",4.8
"76","2011-06-01",4.45
"77","2011-06-02",4.7
"78","2011-06-03",4.74
"79","2011-06-06",4.75
"80","2011-06-07",4.61
"81","2011-06-08",4.4
"82","2011-06-09",4.69
"83","2011-06-10",4.5
"84","2011-06-13",4.64
"85","2011-06-14",4.56
"86","2011-06-15",4.59
"87","2011-06-16",4.59
"88","2011-06-17",4.22
"89","2011-06-20",4.31
"90","2011-06-21",4.41
"91","2011-06-22",4.45
"92","2011-06-23",4.49
"93","2011-06-24",4.54
"94","2011-06-27",4.49
"95","2011-06-28",4.51
"96","2011-06-29",4.51
"97","2011-06-30",4.59
"98","2011-07-01",4.4
"99","2011-07-05",4.47
"100","2011-07-06",4.47
"101","2011-07-07",4.37
"102","2011-07-08",4.25
"103","2011-07-11",4.31
"104","2011-07-12",4.57
"105","2011-07-13",4.57
"106","2011-07-14",4.64
"107","2011-07-15",4.42
"108","2011-07-18",4.42
"109","2011-07-19",4.48
"110","2011-07-20",4.5
"111","2011-07-21",4.4
"112","2011-07-22",4.38
"113","2011-07-25",4.32
