"","date","ANAT"
"1","2007-01-03",115
"2","2007-01-04",114.769997
"3","2007-01-05",114.839996
"4","2007-01-08",114.919998
"5","2007-01-09",115.949997
"6","2007-01-10",115.010002
"7","2007-01-11",115.75
"8","2007-01-12",117.169998
"9","2007-01-16",120.360001
"10","2007-01-17",120.589996
"11","2007-01-18",120.709999
"12","2007-01-19",120.220001
"13","2007-01-22",119.050003
"14","2007-01-23",119.849998
"15","2007-01-24",119.959999
"16","2007-01-25",121
"17","2007-01-26",121.82
"18","2007-01-29",122.949997
"19","2007-01-30",122.169998
"20","2007-01-31",122.040001
"21","2007-02-01",121.75
"22","2007-02-02",124.160004
"23","2007-02-05",125.010002
"24","2007-02-06",126.75
"25","2007-02-07",128.210007
"26","2007-02-08",128.509995
"27","2007-02-09",128.770004
"28","2007-02-12",129.740005
"29","2007-02-13",129.179993
"30","2007-02-14",129.690002
"31","2007-02-15",129.270004
"32","2007-02-16",129.429993
"33","2007-02-20",129.009995
"34","2007-02-21",127.440002
"35","2007-02-22",128.720001
"36","2007-02-23",129.220001
"37","2007-02-26",126.25
"38","2007-02-27",125.800003
"39","2007-02-28",127.25
"40","2007-03-01",126.989998
"41","2007-03-02",127
"42","2007-03-05",125.879997
"43","2007-03-06",126.18
"44","2007-03-07",128
"45","2007-03-08",128.970001
"46","2007-03-09",128.149994
"47","2007-03-12",127.989998
"48","2007-03-13",127.559998
"49","2007-03-14",122.790001
"50","2007-03-15",122.660004
"51","2007-03-16",121.089996
"52","2007-03-19",121.730003
"53","2007-03-20",122.339996
"54","2007-03-21",123.459999
"55","2007-03-22",123.150002
"56","2007-03-23",125.489998
"57","2007-03-26",127.449997
"58","2007-03-27",126.730003
"59","2007-03-28",127.449997
"60","2007-03-29",127
"61","2007-03-30",127.93
"62","2007-04-02",129.449997
"63","2007-04-03",127.25
"64","2007-04-04",129.300003
"65","2007-04-05",130.949997
"66","2007-04-09",129.960007
"67","2007-04-10",129.649994
"68","2007-04-11",129.970001
"69","2007-04-12",129.539993
"70","2007-04-13",129.240005
"71","2007-04-16",129.729996
"72","2007-04-17",129
"73","2007-04-18",128.800003
"74","2007-04-19",128.910004
"75","2007-04-20",129.630005
"76","2007-04-23",129.979996
"77","2007-04-24",129.809998
"78","2007-04-25",130.149994
"79","2007-04-26",131.940002
"80","2007-04-27",131.820007
"81","2007-04-30",130.520004
"82","2007-05-01",130.520004
"83","2007-05-02",131.690002
"84","2007-05-03",132.699997
"85","2007-05-04",132
"86","2007-05-07",131.690002
"87","2007-05-08",131.369995
"88","2007-05-09",132.089996
"89","2007-05-10",132.679993
"90","2007-05-11",131.509995
"91","2007-05-14",132.649994
"92","2007-05-15",132.110001
"93","2007-05-16",131.919998
"94","2007-05-17",134.800003
"95","2007-05-18",135
"96","2007-05-21",136.5
"97","2007-05-22",141.199997
"98","2007-05-23",147.639999
"99","2007-05-24",143.25
"100","2007-05-25",142.470001
"101","2007-05-29",144
"102","2007-05-30",143.699997
"103","2007-05-31",143.940002
"104","2007-06-01",144.529999
"105","2007-06-04",146
"106","2007-06-05",144.759995
"107","2007-06-06",144.740005
"108","2007-06-07",144.199997
"109","2007-06-08",144.410004
"110","2007-06-11",144.660004
"111","2007-06-12",145.529999
"112","2007-06-13",145.550003
"113","2007-06-14",147.190002
"114","2007-06-15",155.360001
"115","2007-06-18",153.899994
