"","date","BRO"
"1","2007-01-03",14.115
"2","2007-01-04",14.06
"3","2007-01-05",14.05
"4","2007-01-08",14
"5","2007-01-09",13.95
"6","2007-01-10",13.915
"7","2007-01-11",14.025
"8","2007-01-12",14.08
"9","2007-01-16",14.125
"10","2007-01-17",14.05
"11","2007-01-18",14.01
"12","2007-01-19",14.125
"13","2007-01-22",13.82
"14","2007-01-23",13.86
"15","2007-01-24",14.015
"16","2007-01-25",13.94
"17","2007-01-26",13.975
"18","2007-01-29",14
"19","2007-01-30",14.06
"20","2007-01-31",14.16
"21","2007-02-01",14.33
"22","2007-02-02",14.37
"23","2007-02-05",14.345
"24","2007-02-06",14.38
"25","2007-02-07",14.48
"26","2007-02-08",14.455
"27","2007-02-09",14.375
"28","2007-02-12",14.22
"29","2007-02-13",14.09
"30","2007-02-14",14.215
"31","2007-02-15",14.335
"32","2007-02-16",14.31
"33","2007-02-20",14.22
"34","2007-02-21",14.14
"35","2007-02-22",14.165
"36","2007-02-23",14.135
"37","2007-02-26",14.35
"38","2007-02-27",14.06
"39","2007-02-28",14.075
"40","2007-03-01",13.965
"41","2007-03-02",13.81
"42","2007-03-05",13.95
"43","2007-03-06",14.1
"44","2007-03-07",13.925
"45","2007-03-08",13.99
"46","2007-03-09",13.985
"47","2007-03-12",14.015
"48","2007-03-13",13.745
"49","2007-03-14",13.78
"50","2007-03-15",13.885
"51","2007-03-16",13.815
"52","2007-03-19",13.88
"53","2007-03-20",13.975
"54","2007-03-21",13.965
"55","2007-03-22",13.87
"56","2007-03-23",13.735
"57","2007-03-26",13.75
"58","2007-03-27",13.6
"59","2007-03-28",13.55
"60","2007-03-29",13.51
"61","2007-03-30",13.525
"62","2007-04-02",13.325
"63","2007-04-03",13.595
"64","2007-04-04",13.54
"65","2007-04-05",13.595
"66","2007-04-09",13.575
"67","2007-04-10",13.575
"68","2007-04-11",13.505
"69","2007-04-12",13.525
"70","2007-04-13",13.51
"71","2007-04-16",14.09
"72","2007-04-17",14.045
"73","2007-04-18",14.18
"74","2007-04-19",14.075
"75","2007-04-20",14.235
"76","2007-04-23",14.06
"77","2007-04-24",13.085
"78","2007-04-25",13.145
"79","2007-04-26",13.12
"80","2007-04-27",13.02
"81","2007-04-30",12.875
"82","2007-05-01",12.85
"83","2007-05-02",13.205
"84","2007-05-03",13.205
"85","2007-05-04",13.205
"86","2007-05-07",13.11
"87","2007-05-08",13.075
"88","2007-05-09",12.99
"89","2007-05-10",12.96
"90","2007-05-11",12.95
"91","2007-05-14",12.9
