"","date","IBEX"
"1","2020-08-07",15.4
"2","2020-08-10",17.15
"3","2020-08-11",15.6
"4","2020-08-12",15.2
"5","2020-08-13",15.1
"6","2020-08-14",14.66
"7","2020-08-17",16.030001
"8","2020-08-18",16.799999
"9","2020-08-19",17
"10","2020-08-20",16.1
"11","2020-08-21",16
"12","2020-08-24",16.799999
"13","2020-08-25",16.9
"14","2020-08-26",17.139999
"15","2020-08-27",16.73
"16","2020-08-28",16.809999
"17","2020-08-31",15.99
"18","2020-09-01",14.02
"19","2020-09-02",13.69
"20","2020-09-03",13.3
"21","2020-09-04",12.22
"22","2020-09-08",10.03
"23","2020-09-09",9.82
"24","2020-09-10",9.7
"25","2020-09-11",11.19
"26","2020-09-14",10.17
"27","2020-09-15",9.89
"28","2020-09-16",9.35
"29","2020-09-17",9.27
"30","2020-09-18",9.34
"31","2020-09-21",9.76
"32","2020-09-22",9.63
"33","2020-09-23",10.1
"34","2020-09-24",10.86
"35","2020-09-25",13.75
"36","2020-09-28",14.15
"37","2020-09-29",14.45
"38","2020-09-30",15.38
"39","2020-10-01",15.46
"40","2020-10-02",15.26
"41","2020-10-05",16.24
"42","2020-10-06",16.280001
"43","2020-10-07",16.809999
"44","2020-10-08",16.91
"45","2020-10-09",17
"46","2020-10-12",17.780001
"47","2020-10-13",17.969999
"48","2020-10-14",16.67
"49","2020-10-15",15.94
"50","2020-10-16",15.79
"51","2020-10-19",15.6
"52","2020-10-20",15.07
"53","2020-10-21",15.26
"54","2020-10-22",15.57
"55","2020-10-23",15.9
"56","2020-10-26",15.46
"57","2020-10-27",16.02
"58","2020-10-28",15.06
"59","2020-10-29",15.15
"60","2020-10-30",15.11
"61","2020-11-02",15.17
"62","2020-11-03",15.96
"63","2020-11-04",15.69
"64","2020-11-05",15.5
"65","2020-11-06",15.14
"66","2020-11-09",15.83
"67","2020-11-10",15.87
"68","2020-11-11",16.27
"69","2020-11-12",15.99
"70","2020-11-13",15.8
"71","2020-11-16",15.97
"72","2020-11-17",17.24
"73","2020-11-18",18.129999
"74","2020-11-19",17.870001
"75","2020-11-20",18.780001
"76","2020-11-23",18.690001
"77","2020-11-24",19.15
"78","2020-11-25",20.01
"79","2020-11-27",20
