"","date","PRSP"
"1","2018-06-01",24.549999
"2","2018-06-04",23.299999
"3","2018-06-05",22.450001
"4","2018-06-06",22.67
"5","2018-06-07",23.110001
"6","2018-06-08",24.290001
"7","2018-06-11",24.030001
"8","2018-06-12",23.450001
"9","2018-06-13",22.969999
"10","2018-06-14",22.67
"11","2018-06-15",22.559999
"12","2018-06-18",23.049999
"13","2018-06-19",22.629999
"14","2018-06-20",22.379999
"15","2018-06-21",21.629999
"16","2018-06-22",21.73
"17","2018-06-25",21.27
"18","2018-06-26",20.73
"19","2018-06-27",20.01
"20","2018-06-28",20.209999
"21","2018-06-29",20.549999
"22","2018-07-02",21.65
"23","2018-07-03",21.969999
"24","2018-07-05",21.959999
"25","2018-07-06",21.969999
"26","2018-07-09",21.959999
"27","2018-07-10",22.25
"28","2018-07-11",22.559999
"29","2018-07-12",22.809999
"30","2018-07-13",22.870001
"31","2018-07-16",22.77
"32","2018-07-17",23.129999
"33","2018-07-18",23.23
"34","2018-07-19",23.110001
"35","2018-07-20",23.1
"36","2018-07-23",23.01
"37","2018-07-24",22.549999
"38","2018-07-25",22.360001
"39","2018-07-26",22.110001
"40","2018-07-27",21.84
"41","2018-07-30",21.82
"42","2018-07-31",21.700001
"43","2018-08-01",22.09
"44","2018-08-02",22.27
"45","2018-08-03",22.15
"46","2018-08-06",21.99
"47","2018-08-07",21.59
"48","2018-08-08",21.379999
"49","2018-08-09",21.620001
"50","2018-08-10",21.959999
"51","2018-08-13",21.959999
"52","2018-08-14",21.65
"53","2018-08-15",23.700001
"54","2018-08-16",23.18
"55","2018-08-17",23.299999
"56","2018-08-20",23.219999
"57","2018-08-21",23.35
"58","2018-08-22",23.17
"59","2018-08-23",23.48
"60","2018-08-24",23.82
"61","2018-08-27",23.530001
"62","2018-08-28",23.32
"63","2018-08-29",22.969999
"64","2018-08-30",22.959999
"65","2018-08-31",23.26
"66","2018-09-04",24.049999
"67","2018-09-05",23.93
"68","2018-09-06",24.16
"69","2018-09-07",24.01
"70","2018-09-10",25.01
"71","2018-09-11",25.030001
"72","2018-09-12",24.99
"73","2018-09-13",25.209999
"74","2018-09-14",25.6
"75","2018-09-17",25.440001
"76","2018-09-18",25.690001
"77","2018-09-19",25.07
"78","2018-09-20",25.82
"79","2018-09-21",25.68
"80","2018-09-24",25.51
"81","2018-09-25",25.41
"82","2018-09-26",25.26
"83","2018-09-27",25.59
"84","2018-09-28",25.719999
"85","2018-10-01",25.559999
"86","2018-10-02",25.66
"87","2018-10-03",26.139999
"88","2018-10-04",25.629999
"89","2018-10-05",25.440001
"90","2018-10-08",25.76
"91","2018-10-09",25.549999
"92","2018-10-10",25.059999
"93","2018-10-11",24.67
"94","2018-10-12",24.75
"95","2018-10-15",24.700001
"96","2018-10-16",25.799999
"97","2018-10-17",25.74
"98","2018-10-18",25.4
"99","2018-10-19",25.030001
"100","2018-10-22",25.57
"101","2018-10-23",25.02
"102","2018-10-24",23.950001
"103","2018-10-25",24.08
"104","2018-10-26",23.92
"105","2018-10-29",23.629999
"106","2018-10-30",24.299999
"107","2018-10-31",24.49
"108","2018-11-01",23.940001
"109","2018-11-02",23.209999
"110","2018-11-05",23.15
"111","2018-11-06",23.299999
"112","2018-11-07",23.85
"113","2018-11-08",23.73
"114","2018-11-09",23.389999
"115","2018-11-12",22.799999
"116","2018-11-13",22.59
"117","2018-11-14",22.34
"118","2018-11-15",22.01
"119","2018-11-16",21.33
"120","2018-11-19",20.43
"121","2018-11-20",20.530001
"122","2018-11-21",20.65
"123","2018-11-23",20.85
"124","2018-11-26",20.58
"125","2018-11-27",20.389999
"126","2018-11-28",20.35
"127","2018-11-29",20.33
"128","2018-11-30",21.110001
"129","2018-12-03",20.889999
"130","2018-12-04",20.549999
"131","2018-12-06",20.110001
"132","2018-12-07",20.26
"133","2018-12-10",20.23
"134","2018-12-11",20.17
"135","2018-12-12",20.35
"136","2018-12-13",20.450001
"137","2018-12-14",20.200001
"138","2018-12-17",18.85
"139","2018-12-18",19.15
"140","2018-12-19",18.700001
"141","2018-12-20",17.98
"142","2018-12-21",17.42
"143","2018-12-24",16.65
"144","2018-12-26",16.709999
"145","2018-12-27",16.16
"146","2018-12-28",16.33
"147","2018-12-31",17.219999
"148","2019-01-02",17.34
"149","2019-01-03",17.299999
"150","2019-01-04",18.15
"151","2019-01-07",18.440001
"152","2019-01-08",18.66
"153","2019-01-09",18.629999
"154","2019-01-10",18.870001
"155","2019-01-11",18.91
"156","2019-01-14",18.719999
"157","2019-01-15",18.67
"158","2019-01-16",18.6
"159","2019-01-17",19.23
"160","2019-01-18",19.34
"161","2019-01-22",19.440001
"162","2019-01-23",19.51
"163","2019-01-24",19.67
"164","2019-01-25",19.959999
"165","2019-01-28",19.66
"166","2019-01-29",19.790001
"167","2019-01-30",19.950001
"168","2019-01-31",20.049999
"169","2019-02-01",20.24
"170","2019-02-04",20.27
"171","2019-02-05",20.25
"172","2019-02-06",20.219999
"173","2019-02-07",20.1
"174","2019-02-08",19.780001
"175","2019-02-11",19.65
"176","2019-02-12",19.799999
"177","2019-02-13",20.219999
"178","2019-02-14",20.639999
"179","2019-02-15",21.09
"180","2019-02-19",21.389999
"181","2019-02-20",21.629999
"182","2019-02-21",21.34
"183","2019-02-22",21.51
"184","2019-02-25",21.450001
"185","2019-02-26",21.360001
"186","2019-02-27",21.18
"187","2019-02-28",21.1
"188","2019-03-01",21.190001
"189","2019-03-04",21
"190","2019-03-05",20.540001
"191","2019-03-06",20.360001
"192","2019-03-07",20.23
"193","2019-03-08",20.370001
"194","2019-03-11",20.690001
"195","2019-03-12",20.690001
"196","2019-03-13",20.549999
"197","2019-03-14",20.49
"198","2019-03-15",20.5
"199","2019-03-18",20.719999
"200","2019-03-19",20.67
"201","2019-03-20",20.84
"202","2019-03-21",21.209999
"203","2019-03-22",20.879999
"204","2019-03-25",20.809999
"205","2019-03-26",20.950001
"206","2019-03-27",21.040001
"207","2019-03-28",20.76
"208","2019-03-29",20.219999
"209","2019-04-01",20.809999
"210","2019-04-02",20.83
"211","2019-04-03",21.76
"212","2019-04-04",21.6
"213","2019-04-05",21.75
"214","2019-04-08",21.6
"215","2019-04-09",21.77
"216","2019-04-10",22.02
"217","2019-04-11",21.76
"218","2019-04-12",22.18
"219","2019-04-15",22.209999
"220","2019-04-16",21.83
"221","2019-04-17",21.879999
"222","2019-04-18",21.74
"223","2019-04-22",21.92
"224","2019-04-23",22.5
"225","2019-04-24",22.42
"226","2019-04-25",22.16
"227","2019-04-26",22.65
"228","2019-04-29",22.639999
"229","2019-04-30",23.08
"230","2019-05-01",22.940001
"231","2019-05-02",22.73
"232","2019-05-03",23.42
"233","2019-05-06",23.370001
"234","2019-05-07",22.92
"235","2019-05-08",23.23
"236","2019-05-09",23.469999
