"","date","WHG"
"1","2007-01-03",23.66
"2","2007-01-04",23.700001
"3","2007-01-05",23.9
"4","2007-01-08",23.82
"5","2007-01-09",24.889999
"6","2007-01-10",24.6
"7","2007-01-11",24.59
"8","2007-01-12",24.1
"9","2007-01-16",23.889999
"10","2007-01-17",23.92
"11","2007-01-18",23.879999
"12","2007-01-19",23.75
"13","2007-01-22",23.68
"14","2007-01-23",23.6
"15","2007-01-24",24.25
"16","2007-01-25",24.219999
"17","2007-01-26",24.25
"18","2007-01-29",23.99
"19","2007-01-30",24.639999
"20","2007-01-31",24.540001
"21","2007-02-01",24.85
"22","2007-02-02",24.540001
"23","2007-02-05",23.700001
"24","2007-02-06",24.110001
"25","2007-02-07",23.85
"26","2007-02-08",24.15
"27","2007-02-09",23.73
"28","2007-02-12",24
"29","2007-02-13",24.379999
"30","2007-02-14",23.889999
"31","2007-02-15",23.84
"32","2007-02-16",23.83
"33","2007-02-20",23.59
"34","2007-02-21",23.99
"35","2007-02-22",23.879999
"36","2007-02-23",24
"37","2007-02-26",24
"38","2007-02-27",23.82
"39","2007-02-28",23.85
"40","2007-03-01",23.959999
"41","2007-03-02",23.67
"42","2007-03-05",22.5
"43","2007-03-06",22.959999
"44","2007-03-07",22.66
"45","2007-03-08",23.809999
"46","2007-03-09",23.58
"47","2007-03-12",23.59
"48","2007-03-13",23.25
"49","2007-03-14",22.99
"50","2007-03-15",22.799999
"51","2007-03-16",23.540001
"52","2007-03-19",23.73
"53","2007-03-20",23.49
"54","2007-03-21",23.43
"55","2007-03-22",22.690001
"56","2007-03-23",23.84
"57","2007-03-26",23.790001
"58","2007-03-27",23.719999
"59","2007-03-28",23.950001
"60","2007-03-29",23.5
"61","2007-03-30",23.01
"62","2007-04-02",23.02
"63","2007-04-03",22.959999
"64","2007-04-04",24.25
"65","2007-04-05",24.25
"66","2007-04-09",24.1
"67","2007-04-10",24.25
"68","2007-04-11",23.799999
"69","2007-04-12",24.040001
"70","2007-04-13",23.780001
"71","2007-04-16",23.719999
"72","2007-04-17",23.67
"73","2007-04-18",24.25
"74","2007-04-19",24.35
"75","2007-04-20",24.450001
"76","2007-04-23",24.48
"77","2007-04-24",24.469999
"78","2007-04-25",24.389999
"79","2007-04-26",24.4
"80","2007-04-27",24.34
"81","2007-04-30",24.120001
"82","2007-05-01",24.120001
"83","2007-05-02",23.780001
"84","2007-05-03",24.08
"85","2007-05-04",24.200001
"86","2007-05-07",24.15
"87","2007-05-08",23.99
"88","2007-05-09",23.84
"89","2007-05-10",23.870001
"90","2007-05-11",23.99
"91","2007-05-14",24.190001
"92","2007-05-15",24.09
"93","2007-05-16",24.030001
"94","2007-05-17",23.99
"95","2007-05-18",23.879999
"96","2007-05-21",23.74
"97","2007-05-22",23.700001
"98","2007-05-23",23.700001
"99","2007-05-24",23.74
"100","2007-05-25",23.73
"101","2007-05-29",24.219999
"102","2007-05-30",25.6
"103","2007-05-31",26.950001
"104","2007-06-01",27.370001
"105","2007-06-04",28.25
"106","2007-06-05",28.75
"107","2007-06-06",28.65
"108","2007-06-07",28.98
"109","2007-06-08",27.42
"110","2007-06-11",28.790001
"111","2007-06-12",29.450001
"112","2007-06-13",29.620001
"113","2007-06-14",30.190001
"114","2007-06-15",30.85
"115","2007-06-18",30.49
"116","2007-06-19",30.08
"117","2007-06-20",30.370001
