"","date","BANR"
"1","2007-01-03",309.540009
"2","2007-01-04",312.690002
"3","2007-01-05",301.700012
"4","2007-01-08",298.899994
"5","2007-01-09",302.679993
"6","2007-01-10",296.380005
"7","2007-01-11",298.690002
"8","2007-01-12",299.880005
"9","2007-01-16",297.429993
"10","2007-01-17",291.130005
"11","2007-01-18",288.609985
"12","2007-01-19",291.269989
"13","2007-01-22",290.5
"14","2007-01-23",294.209991
"15","2007-01-24",290.98999
"16","2007-01-25",290.640015
"17","2007-01-26",289.799988
"18","2007-01-29",296.309998
"19","2007-01-30",296.589996
"20","2007-01-31",299.880005
"21","2007-02-01",303.170013
"22","2007-02-02",305.339996
"23","2007-02-05",307.720001
"24","2007-02-06",306.25
"25","2007-02-07",308.630005
"26","2007-02-08",306.670013
"27","2007-02-09",304.01001
"28","2007-02-12",301.980011
"29","2007-02-13",305.619995
"30","2007-02-14",304.779999
"31","2007-02-15",304.149994
"32","2007-02-16",312.130005
"33","2007-02-20",314.299988
"34","2007-02-21",313.880005
"35","2007-02-22",315.420013
"36","2007-02-23",307.720001
"37","2007-02-26",302.26001
"38","2007-02-27",292.040009
"39","2007-02-28",291.970001
"40","2007-03-01",291.339996
"41","2007-03-02",289.170013
"42","2007-03-05",287
"43","2007-03-06",293.790009
"44","2007-03-07",292.179993
"45","2007-03-08",290.01001
"46","2007-03-09",287.48999
"47","2007-03-12",284.970001
"48","2007-03-13",276.5
"49","2007-03-14",275.660004
"50","2007-03-15",278.179993
"51","2007-03-16",279.089996
"52","2007-03-19",278.950012
"53","2007-03-20",286.299988
"54","2007-03-21",286.929993
"55","2007-03-22",288.26001
"56","2007-03-23",288.470001
"57","2007-03-26",291.410004
"58","2007-03-27",286.089996
"59","2007-03-28",283.429993
"60","2007-03-29",286.369995
"61","2007-03-30",290.850006
"62","2007-04-02",288.890015
"63","2007-04-03",291.76001
"64","2007-04-04",289.029999
"65","2007-04-05",286.720001
"66","2007-04-09",282.23999
"67","2007-04-10",279.230011
"68","2007-04-11",277.970001
"69","2007-04-12",277.200012
"70","2007-04-13",277.549988
"71","2007-04-16",280
"72","2007-04-17",276.5
"73","2007-04-18",276.709991
"74","2007-04-19",275.23999
"75","2007-04-20",273.209991
"76","2007-04-23",271.25
"77","2007-04-24",271.950012
"78","2007-04-25",266.910004
"79","2007-04-26",267.329987
"80","2007-04-27",269.220001
"81","2007-04-30",261.23999
"82","2007-05-01",264.390015
"83","2007-05-02",266.48999
"84","2007-05-03",261.519989
"85","2007-05-04",264.109985
"86","2007-05-07",259
