"","date","SPOK"
"1","2007-01-03",22.41
"2","2007-01-04",22.459999
"3","2007-01-05",22.01
"4","2007-01-08",21.879999
"5","2007-01-09",21.690001
"6","2007-01-10",21.49
"7","2007-01-11",21.5
"8","2007-01-12",21.52
"9","2007-01-16",21.209999
"10","2007-01-17",20.5
"11","2007-01-18",20.91
"12","2007-01-19",20.83
"13","2007-01-22",20.32
"14","2007-01-23",20.58
"15","2007-01-24",20.82
"16","2007-01-25",20.33
"17","2007-01-26",20.219999
"18","2007-01-29",20.18
"19","2007-01-30",20.459999
"20","2007-01-31",20.299999
"21","2007-02-01",20.290001
"22","2007-02-02",20.299999
"23","2007-02-05",19.68
"24","2007-02-06",19.209999
"25","2007-02-07",19.48
"26","2007-02-08",19.75
"27","2007-02-09",19.530001
"28","2007-02-12",19.700001
"29","2007-02-13",19.870001
"30","2007-02-14",19.75
"31","2007-02-15",19.690001
"32","2007-02-16",19.66
"33","2007-02-20",19.43
"34","2007-02-21",19.52
"35","2007-02-22",19.77
"36","2007-02-23",19.6
"37","2007-02-26",19.65
"38","2007-02-27",19
"39","2007-02-28",19.379999
"40","2007-03-01",19.49
"41","2007-03-02",18.9
"42","2007-03-05",18.549999
"43","2007-03-06",19.4
"44","2007-03-07",18.530001
"45","2007-03-08",18.879999
"46","2007-03-09",18.75
"47","2007-03-12",18.98
"48","2007-03-13",18.559999
"49","2007-03-14",19.209999
"50","2007-03-15",20.620001
"51","2007-03-16",19.629999
"52","2007-03-19",20.66
"53","2007-03-20",19.889999
"54","2007-03-21",20.4
"55","2007-03-22",20.15
"56","2007-03-23",19.92
"57","2007-03-26",19.74
"58","2007-03-27",19.91
"59","2007-03-28",19.98
"60","2007-03-29",20.09
"61","2007-03-30",19.93
"62","2007-04-02",20.200001
"63","2007-04-03",20.6
"64","2007-04-04",20.52
"65","2007-04-05",20.26
"66","2007-04-09",20.49
"67","2007-04-10",21.02
"68","2007-04-11",20.549999
"69","2007-04-12",20.85
"70","2007-04-13",21.01
"71","2007-04-16",20.969999
"72","2007-04-17",20.799999
"73","2007-04-18",20.76
"74","2007-04-19",20.77
"75","2007-04-20",20.790001
"76","2007-04-23",21.110001
"77","2007-04-24",21.139999
"78","2007-04-25",21.6
"79","2007-04-26",21.530001
"80","2007-04-27",21.48
"81","2007-04-30",21.360001
"82","2007-05-01",21.280001
"83","2007-05-02",21.610001
"84","2007-05-03",22.02
"85","2007-05-04",22.370001
"86","2007-05-07",22.51
"87","2007-05-08",22.76
"88","2007-05-09",22.91
"89","2007-05-10",21.940001
"90","2007-05-11",22.219999
"91","2007-05-14",22.32
"92","2007-05-15",20.98
"93","2007-05-16",21.030001
"94","2007-05-17",21.18
