"","date","SAMAU"
"1","2018-12-11",9.95
"2","2018-12-12",9.95
"3","2018-12-13",9.96
"4","2018-12-14",9.96
"5","2018-12-17",9.95
"6","2018-12-18",9.95
"7","2018-12-19",9.99
"8","2018-12-20",9.99
"9","2018-12-21",9.95
"10","2018-12-24",9.95
"11","2018-12-26",9.95
"12","2018-12-27",10
"13","2018-12-28",9.95
"14","2018-12-31",9.95
"15","2019-01-02",9.97
"16","2019-01-03",9.97
"17","2019-01-04",9.99
"18","2019-01-07",9.98
"19","2019-01-08",9.98
"20","2019-01-09",9.984
"21","2019-01-10",9.99
"22","2019-01-11",9.99
"23","2019-01-14",10
"24","2019-01-15",10
"25","2019-01-16",10
"26","2019-01-17",9.99
"27","2019-01-18",9.99
"28","2019-01-22",9.99
"29","2019-01-23",9.99
"30","2019-01-24",9.99
"31","2019-01-25",9.99
"32","2019-01-28",10
"33","2019-01-29",10.01
"34","2019-01-30",10
"35","2019-01-31",10
"36","2019-02-01",10
"37","2019-02-04",10
"38","2019-02-05",10
"39","2019-02-06",10.05
"40","2019-02-07",10.03
"41","2019-02-08",10.03
"42","2019-02-11",10.02
"43","2019-02-12",10.02
"44","2019-02-13",10.02
"45","2019-02-14",10.02
"46","2019-02-15",10.04
"47","2019-02-19",10.04
"48","2019-02-20",10.04
"49","2019-02-21",10.04
"50","2019-02-22",10.04
"51","2019-02-25",10.04
"52","2019-02-26",10.04
"53","2019-02-27",10.05
"54","2019-02-28",10.04
"55","2019-03-01",10.05
"56","2019-03-04",10.06
"57","2019-03-05",10.05
"58","2019-03-06",10.05
"59","2019-03-07",10.01
"60","2019-03-08",10.01
"61","2019-03-11",10.01
"62","2019-03-12",10.03
"63","2019-03-13",10.07
"64","2019-03-14",10.07
"65","2019-03-15",10.04
"66","2019-03-18",10.03
"67","2019-03-19",10.03
"68","2019-03-20",10.03
"69","2019-03-21",10.05
"70","2019-03-22",10.05
"71","2019-03-25",10.05
"72","2019-03-26",10.05
"73","2019-03-27",10.03
"74","2019-03-28",10.01
"75","2019-03-29",10.065
"76","2019-04-01",10.09
"77","2019-04-02",10.1
"78","2019-04-03",10.098
"79","2019-04-04",10.089
"80","2019-04-05",10.12
"81","2019-04-08",10.12
"82","2019-04-09",10.16
"83","2019-04-10",10.11
"84","2019-04-11",10.11
"85","2019-04-12",10.11
"86","2019-04-15",10.11
"87","2019-04-16",10.11
"88","2019-04-17",10.11
"89","2019-04-18",10.184
"90","2019-04-22",10.175
"91","2019-04-23",10.19
"92","2019-04-24",10.19
"93","2019-04-25",10.19
"94","2019-04-26",10.162
"95","2019-04-29",10.16
"96","2019-04-30",10.17
"97","2019-05-01",10.17
"98","2019-05-02",10.2
"99","2019-05-03",10.18
"100","2019-05-06",10.18
"101","2019-05-07",10.18
"102","2019-05-08",10.18
"103","2019-05-09",10.18
"104","2019-05-10",10.18
"105","2019-05-13",10.18
"106","2019-05-14",10.18
"107","2019-05-15",10.18
"108","2019-05-16",10.18
"109","2019-05-17",10.18
"110","2019-05-20",10.18
"111","2019-05-21",10.18
"112","2019-05-22",10.18
"113","2019-05-23",10.18
"114","2019-05-24",10.18
"115","2019-05-28",10.18
"116","2019-05-29",10.18
"117","2019-05-30",10.18
"118","2019-05-31",10.18
"119","2019-06-03",10.18
"120","2019-06-04",10.18
"121","2019-06-05",10.18
"122","2019-06-06",10.18
"123","2019-06-07",10.18
"124","2019-06-10",10.18
"125","2019-06-11",10.18
"126","2019-06-12",10.18
"127","2019-06-13",10.18
"128","2019-06-14",10.18
"129","2019-06-17",10.18
"130","2019-06-18",10.18
"131","2019-06-19",10.18
"132","2019-06-20",10.18
"133","2019-06-21",10.18
"134","2019-06-24",10.15
"135","2019-06-25",10.15
"136","2019-06-26",10.15
"137","2019-06-27",10.15
"138","2019-06-28",10.15
"139","2019-07-01",10.15
"140","2019-07-02",10.18
"141","2019-07-03",10.2
"142","2019-07-05",10.2
"143","2019-07-08",10.2
"144","2019-07-09",10.2
"145","2019-07-10",10.2
"146","2019-07-11",10.2
"147","2019-07-12",10.22
"148","2019-07-15",10.21
"149","2019-07-16",10.21
"150","2019-07-17",10.21
"151","2019-07-18",10.21
"152","2019-07-19",10.21
"153","2019-07-22",10.203
"154","2019-07-23",10.203
"155","2019-07-24",10.203
"156","2019-07-25",10.203
"157","2019-07-26",10.203
"158","2019-07-29",10.203
"159","2019-07-30",10.203
"160","2019-07-31",10.21
"161","2019-08-01",10.2
"162","2019-08-02",10.2
"163","2019-08-05",10.2
"164","2019-08-06",10.22
"165","2019-08-07",10.18
"166","2019-08-08",10.18
"167","2019-08-09",10.18
"168","2019-08-12",10.22
"169","2019-08-13",10.22
"170","2019-08-14",10.22
"171","2019-08-15",10.22
"172","2019-08-16",10.25
"173","2019-08-19",10.25
"174","2019-08-20",10.25
"175","2019-08-21",10.25
"176","2019-08-22",10.25
"177","2019-08-23",10.243
"178","2019-08-26",10.243
"179","2019-08-27",10.24
"180","2019-08-28",10.24
"181","2019-08-29",10.24
"182","2019-08-30",10.24
"183","2019-09-03",10.305
"184","2019-09-04",10.3
"185","2019-09-05",10.3
"186","2019-09-06",10.3
"187","2019-09-09",10.3
"188","2019-09-10",10.3
"189","2019-09-11",10.3
"190","2019-09-12",10.3
"191","2019-09-13",10.3
"192","2019-09-16",10.3
"193","2019-09-17",10.32
"194","2019-09-18",10.32
"195","2019-09-19",10.32
"196","2019-09-20",10.32
"197","2019-09-23",10.32
"198","2019-09-24",10.32
"199","2019-09-25",10.32
"200","2019-09-26",10.32
"201","2019-09-27",10.32
"202","2019-09-30",10.35
