"","date","HCCHU"
"1","2018-07-09",10.06
"2","2018-07-10",10.069
"3","2018-07-11",10.06
"4","2018-07-12",10.07
"5","2018-07-13",10.1
"6","2018-07-16",10.18
"7","2018-07-17",10.2
"8","2018-07-18",10.27
"9","2018-07-19",10.3
"10","2018-07-20",10.3
"11","2018-07-23",10.3
"12","2018-07-24",10.3
"13","2018-07-25",10.3
"14","2018-07-26",10.25
"15","2018-07-27",10.2
"16","2018-07-30",10.3
"17","2018-07-31",10.418
"18","2018-08-01",10.418
"19","2018-08-02",10.43
"20","2018-08-03",10.43
"21","2018-08-06",10.4
"22","2018-08-07",10.4
"23","2018-08-08",10.38
"24","2018-08-09",10.38
"25","2018-08-10",10.38
"26","2018-08-13",10.38
"27","2018-08-14",10.38
"28","2018-08-15",10.38
"29","2018-08-16",10.38
"30","2018-08-17",10.38
"31","2018-08-20",10.35
"32","2018-08-21",10.35
"33","2018-08-22",10.35
"34","2018-08-23",10.35
"35","2018-08-24",10.35
"36","2018-08-27",10.38
"37","2018-08-28",10.38
"38","2018-08-29",10.38
"39","2018-08-30",10.38
"40","2018-08-31",10.38
"41","2018-09-04",10.38
"42","2018-09-05",10.37
"43","2018-09-06",10.37
"44","2018-09-07",10.37
"45","2018-09-10",10.37
"46","2018-09-11",10.37
"47","2018-09-12",10.37
"48","2018-09-13",10.37
"49","2018-09-14",10.22
"50","2018-09-17",10.22
"51","2018-09-18",10.22
"52","2018-09-19",10.22
"53","2018-09-20",10.22
"54","2018-09-21",10.22
"55","2018-09-24",10.22
"56","2018-09-25",10.295
"57","2018-09-26",10.295
"58","2018-09-27",10.26
"59","2018-09-28",10.26
"60","2018-10-01",10.26
"61","2018-10-02",10.26
"62","2018-10-03",10.26
"63","2018-10-04",10.26
"64","2018-10-05",10.26
"65","2018-10-08",10.26
"66","2018-10-09",10.26
"67","2018-10-10",10.29
"68","2018-10-11",10.29
"69","2018-10-12",10.29
"70","2018-10-15",10.3
"71","2018-10-16",10.3
"72","2018-10-17",10.3
"73","2018-10-18",10.33
"74","2018-10-19",10.33
"75","2018-10-22",10.33
"76","2018-10-23",10.33
"77","2018-10-24",10.33
"78","2018-10-25",10.33
"79","2018-10-26",10.33
"80","2018-10-29",10.33
"81","2018-10-30",10.33
"82","2018-10-31",10.31
"83","2018-11-01",10.31
"84","2018-11-02",10.31
"85","2018-11-05",10.31
"86","2018-11-06",10.31
"87","2018-11-07",10.31
"88","2018-11-08",10.31
"89","2018-11-09",10.31
"90","2018-11-12",10.31
"91","2018-11-13",10.29
"92","2018-11-14",10.29
"93","2018-11-15",10.29
"94","2018-11-16",10.29
"95","2018-11-19",10.33
"96","2018-11-20",10.33
"97","2018-11-21",10.33
"98","2018-11-23",10.33
"99","2018-11-26",10.4
"100","2018-11-27",10.33
"101","2018-11-28",10.33
"102","2018-11-29",10.34
"103","2018-11-30",10.35
"104","2018-12-03",10.35
"105","2018-12-04",10.35
"106","2018-12-06",10.4
"107","2018-12-07",10.4
"108","2018-12-10",10.4
"109","2018-12-11",10.4
"110","2018-12-12",10.41
"111","2018-12-13",10.41
"112","2018-12-14",10.41
"113","2018-12-17",10.41
"114","2018-12-18",10.41
"115","2018-12-19",10.36
"116","2018-12-20",10.36
"117","2018-12-21",10.36
"118","2018-12-24",10.36
"119","2018-12-26",10.36
"120","2018-12-27",10.36
"121","2018-12-28",10.36
"122","2018-12-31",10.35
"123","2019-01-02",10.35
"124","2019-01-03",10.35
"125","2019-01-04",10.34
"126","2019-01-07",10.33
"127","2019-01-08",10.33
"128","2019-01-09",10.33
"129","2019-01-10",10.33
"130","2019-01-11",10.28
"131","2019-01-14",10.28
"132","2019-01-15",10.27
"133","2019-01-16",10.27
"134","2019-01-17",10.27
"135","2019-01-18",10.27
"136","2019-01-22",10.25
"137","2019-01-23",10.38
"138","2019-01-24",10.38
"139","2019-01-25",10.38
"140","2019-01-28",10.38
"141","2019-01-29",10.38
"142","2019-01-30",10.38
"143","2019-01-31",10.31
"144","2019-02-01",10.31
"145","2019-02-04",10.31
"146","2019-02-05",10.31
"147","2019-02-06",10.31
"148","2019-02-07",10.31
"149","2019-02-08",10.31
"150","2019-02-11",10.41
"151","2019-02-12",10.41
"152","2019-02-13",10.41
"153","2019-02-14",10.41
"154","2019-02-15",10.41
"155","2019-02-19",10.45
"156","2019-02-20",10.45
"157","2019-02-21",10.45
"158","2019-02-22",10.41
"159","2019-02-25",10.41
"160","2019-02-26",10.41
"161","2019-02-27",10.41
"162","2019-02-28",10.41
"163","2019-03-01",10.31
"164","2019-03-04",10.31
"165","2019-03-05",10.31
"166","2019-03-06",10.31
"167","2019-03-07",10.31
"168","2019-03-08",10.4
"169","2019-03-11",10.45
"170","2019-03-12",10.45
