"","date","MGNI"
"1","2014-04-02",20.09
"2","2014-04-03",19.85
"3","2014-04-04",19
"4","2014-04-07",19.41
"5","2014-04-08",19.85
"6","2014-04-09",20.030001
"7","2014-04-10",20.110001
"8","2014-04-11",19.690001
"9","2014-04-14",20.129999
"10","2014-04-15",21
"11","2014-04-16",20.690001
"12","2014-04-17",20.049999
"13","2014-04-21",20.209999
"14","2014-04-22",22.24
"15","2014-04-23",22.24
"16","2014-04-24",21.75
"17","2014-04-25",19.49
"18","2014-04-28",16.299999
"19","2014-04-29",14.85
"20","2014-04-30",14.37
"21","2014-05-01",14.73
"22","2014-05-02",14.76
"23","2014-05-05",14.3
"24","2014-05-06",13.29
"25","2014-05-07",12.04
"26","2014-05-08",12.96
"27","2014-05-09",11.99
"28","2014-05-12",11.37
"29","2014-05-13",11.37
"30","2014-05-14",12.68
"31","2014-05-15",13.24
"32","2014-05-16",12.13
"33","2014-05-19",12.23
"34","2014-05-20",12.15
"35","2014-05-21",12.32
"36","2014-05-22",12.22
"37","2014-05-23",12.31
"38","2014-05-27",11.94
"39","2014-05-28",12.02
"40","2014-05-29",12.47
"41","2014-05-30",12.69
"42","2014-06-02",12.69
"43","2014-06-03",12.82
"44","2014-06-04",12.95
"45","2014-06-05",12.88
"46","2014-06-06",13.02
"47","2014-06-09",13.25
"48","2014-06-10",13.01
"49","2014-06-11",12.23
"50","2014-06-12",12.31
"51","2014-06-13",12.05
"52","2014-06-16",12.04
"53","2014-06-17",12.18
"54","2014-06-18",12.87
"55","2014-06-19",13.37
"56","2014-06-20",13.43
"57","2014-06-23",14.11
"58","2014-06-24",14.38
"59","2014-06-25",14.23
"60","2014-06-26",14.37
"61","2014-06-27",13.26
"62","2014-06-30",12.84
"63","2014-07-01",13.07
"64","2014-07-02",12.86
"65","2014-07-03",12.78
"66","2014-07-07",12.24
"67","2014-07-08",11.8
"68","2014-07-09",11.71
"69","2014-07-10",11.32
"70","2014-07-11",11.18
"71","2014-07-14",10.97
"72","2014-07-15",10.45
"73","2014-07-16",9.94
"74","2014-07-17",9.5
"75","2014-07-18",9.39
"76","2014-07-21",9.55
"77","2014-07-22",10.01
"78","2014-07-23",9.94
"79","2014-07-24",10.01
"80","2014-07-25",10.03
"81","2014-07-28",10.21
"82","2014-07-29",10.22
"83","2014-07-30",13.01
"84","2014-07-31",11.91
"85","2014-08-01",11.92
"86","2014-08-04",12.21
"87","2014-08-05",12.13
"88","2014-08-06",11.7
"89","2014-08-07",11.38
"90","2014-08-08",11.02
"91","2014-08-11",10.65
"92","2014-08-12",10.62
"93","2014-08-13",10.95
"94","2014-08-14",11.02
"95","2014-08-15",11.07
"96","2014-08-18",11.34
"97","2014-08-19",11.13
"98","2014-08-20",10.99
"99","2014-08-21",10.68
"100","2014-08-22",10.36
"101","2014-08-25",9.72
"102","2014-08-26",9.79
"103","2014-08-27",9.7
"104","2014-08-28",10.01
"105","2014-08-29",9.74
"106","2014-09-02",9.87
"107","2014-09-03",9.75
"108","2014-09-04",9.54
"109","2014-09-05",9.61
"110","2014-09-08",9.71
"111","2014-09-09",9.81
"112","2014-09-10",9.91
"113","2014-09-11",10.92
"114","2014-09-12",11.49
"115","2014-09-15",10.91
"116","2014-09-16",10.81
"117","2014-09-17",11.2
"118","2014-09-18",11.65
"119","2014-09-19",11.65
"120","2014-09-22",11.69
"121","2014-09-23",12.19
"122","2014-09-24",12.34
"123","2014-09-25",12.15
"124","2014-09-26",11.82
"125","2014-09-29",11.64
"126","2014-09-30",11.73
"127","2014-10-01",11.32
"128","2014-10-02",11.07
"129","2014-10-03",11.09
"130","2014-10-06",10.64
"131","2014-10-07",10.32
"132","2014-10-08",10.17
"133","2014-10-09",9.85
"134","2014-10-10",9.3
"135","2014-10-13",9.05
"136","2014-10-14",9.16
"137","2014-10-15",9.63
"138","2014-10-16",9.98
"139","2014-10-17",10.02
"140","2014-10-20",10.01
"141","2014-10-21",10.23
"142","2014-10-22",10.24
"143","2014-10-23",10.19
"144","2014-10-24",10.96
"145","2014-10-27",11.3
"146","2014-10-28",11.23
"147","2014-10-29",11.42
"148","2014-10-30",11.37
"149","2014-10-31",11.46
"150","2014-11-03",11.69
"151","2014-11-04",11.57
"152","2014-11-05",11.62
"153","2014-11-06",11.87
"154","2014-11-07",12.12
"155","2014-11-10",12.5
"156","2014-11-11",12.6
"157","2014-11-12",13.09
"158","2014-11-13",13.19
"159","2014-11-14",13.32
"160","2014-11-17",13.04
"161","2014-11-18",12.84
"162","2014-11-19",13.53
"163","2014-11-20",14.23
"164","2014-11-21",14.7
"165","2014-11-24",14.94
"166","2014-11-25",14.62
"167","2014-11-26",14.55
"168","2014-11-28",14.06
"169","2014-12-01",13.98
"170","2014-12-02",13.86
"171","2014-12-03",14.1
"172","2014-12-04",14.26
"173","2014-12-05",14.52
"174","2014-12-08",13.93
"175","2014-12-09",14.47
"176","2014-12-10",14.23
"177","2014-12-11",14.93
"178","2014-12-12",14.81
"179","2014-12-15",14.62
"180","2014-12-16",14.67
"181","2014-12-17",15.53
"182","2014-12-18",15.58
"183","2014-12-19",16.18
"184","2014-12-22",16.209999
"185","2014-12-23",16.92
"186","2014-12-24",17
"187","2014-12-26",16.75
"188","2014-12-29",16.85
"189","2014-12-30",16.23
"190","2014-12-31",16.139999
"191","2015-01-02",16.040001
"192","2015-01-05",16.08
"193","2015-01-06",15.71
"194","2015-01-07",15.7
"195","2015-01-08",15.96
"196","2015-01-09",16.440001
"197","2015-01-12",16.49
"198","2015-01-13",16.27
"199","2015-01-14",16.030001
"200","2015-01-15",15.12
"201","2015-01-16",15.4
"202","2015-01-20",14.99
"203","2015-01-21",14.82
"204","2015-01-22",15.96
"205","2015-01-23",15.79
"206","2015-01-26",15.97
"207","2015-01-27",15.87
"208","2015-01-28",15.2
"209","2015-01-29",15.01
"210","2015-01-30",14.73
"211","2015-02-02",14.27
"212","2015-02-03",14.4
"213","2015-02-04",14.58
"214","2015-02-05",15.42
"215","2015-02-06",15.02
"216","2015-02-09",14.95
"217","2015-02-10",14.97
"218","2015-02-11",14.73
"219","2015-02-12",16
"220","2015-02-13",16.07
"221","2015-02-17",16.48
"222","2015-02-18",17.059999
"223","2015-02-19",16.85
"224","2015-02-20",17.51
"225","2015-02-23",17.370001
"226","2015-02-24",17.879999
"227","2015-02-25",19.67
"228","2015-02-26",18.99
"229","2015-02-27",18.83
"230","2015-03-02",19.219999
"231","2015-03-03",19.08
"232","2015-03-04",19.52
"233","2015-03-05",19.120001
"234","2015-03-06",19.040001
"235","2015-03-09",19.1
"236","2015-03-10",18.18
"237","2015-03-11",18.190001
"238","2015-03-12",18.4
"239","2015-03-13",18.030001
"240","2015-03-16",18.030001
"241","2015-03-17",18.1
"242","2015-03-18",18.200001
"243","2015-03-19",18.389999
"244","2015-03-20",18.18
"245","2015-03-23",18.09
"246","2015-03-24",18.030001
"247","2015-03-25",17.57
"248","2015-03-26",17.629999
"249","2015-03-27",17.5
"250","2015-03-30",17.98
"251","2015-03-31",17.92
"252","2015-04-01",17.43
"253","2015-04-02",17.309999
"254","2015-04-06",17.27
"255","2015-04-07",17.41
"256","2015-04-08",17.68
"257","2015-04-09",17.33
"258","2015-04-10",17.34
"259","2015-04-13",16.77
"260","2015-04-14",16.84
"261","2015-04-15",17.200001
"262","2015-04-16",18.07
"263","2015-04-17",18.15
"264","2015-04-20",18
"265","2015-04-21",17.59
"266","2015-04-22",17.360001
"267","2015-04-23",17.549999
"268","2015-04-24",17.290001
"269","2015-04-27",17.120001
"270","2015-04-28",17.639999
"271","2015-04-29",17.76
"272","2015-04-30",17.469999
"273","2015-05-01",17.51
"274","2015-05-04",18.16
"275","2015-05-05",18.440001
"276","2015-05-06",16.98
"277","2015-05-07",16.92
"278","2015-05-08",17.219999
"279","2015-05-11",17.059999
"280","2015-05-12",18.09
"281","2015-05-13",17.91
"282","2015-05-14",17.67
"283","2015-05-15",17.18
"284","2015-05-18",17.02
"285","2015-05-19",16.75
"286","2015-05-20",17.09
