"","date","DAR"
"1","2007-01-03",5.52
"2","2007-01-04",5.62
"3","2007-01-05",5.55
"4","2007-01-08",5.45
"5","2007-01-09",5.34
"6","2007-01-10",5.28
"7","2007-01-11",5.26
"8","2007-01-12",5.48
"9","2007-01-16",5.39
"10","2007-01-17",5.35
"11","2007-01-18",5.39
"12","2007-01-19",5.47
"13","2007-01-22",5.59
"14","2007-01-23",5.88
"15","2007-01-24",5.83
"16","2007-01-25",5.73
"17","2007-01-26",5.73
"18","2007-01-29",5.82
"19","2007-01-30",5.7
"20","2007-01-31",5.78
"21","2007-02-01",5.71
"22","2007-02-02",5.74
"23","2007-02-05",5.65
"24","2007-02-06",5.84
"25","2007-02-07",5.87
"26","2007-02-08",5.76
"27","2007-02-09",5.82
"28","2007-02-12",5.77
"29","2007-02-13",5.78
"30","2007-02-14",5.68
"31","2007-02-15",5.57
"32","2007-02-16",5.55
"33","2007-02-20",5.54
"34","2007-02-21",5.75
"35","2007-02-22",5.7
"36","2007-02-23",5.64
"37","2007-02-26",5.74
"38","2007-02-27",5.53
"39","2007-02-28",5.47
"40","2007-03-01",5.47
"41","2007-03-02",5.35
"42","2007-03-05",5.03
"43","2007-03-06",5.36
"44","2007-03-07",5.36
"45","2007-03-08",5.64
"46","2007-03-09",5.55
"47","2007-03-12",5.53
"48","2007-03-13",5.52
"49","2007-03-14",5.46
"50","2007-03-15",5.74
"51","2007-03-16",5.77
"52","2007-03-19",5.93
"53","2007-03-20",6.3
"54","2007-03-21",6.54
"55","2007-03-22",6.41
"56","2007-03-23",6.26
"57","2007-03-26",6.6
"58","2007-03-27",6.48
"59","2007-03-28",6.56
"60","2007-03-29",6.46
"61","2007-03-30",6.5
"62","2007-04-02",6.45
"63","2007-04-03",6.27
"64","2007-04-04",6.29
"65","2007-04-05",6.56
"66","2007-04-09",6.59
"67","2007-04-10",6.58
"68","2007-04-11",6.96
"69","2007-04-12",7.11
"70","2007-04-13",7.41
"71","2007-04-16",8
"72","2007-04-17",7.89
"73","2007-04-18",7.83
"74","2007-04-19",7.64
"75","2007-04-20",7.69
"76","2007-04-23",7.56
"77","2007-04-24",7.8
"78","2007-04-25",7.65
"79","2007-04-26",7.71
"80","2007-04-27",7.69
"81","2007-04-30",7.67
"82","2007-05-01",7.68
"83","2007-05-02",7.73
"84","2007-05-03",7.65
"85","2007-05-04",7.66
"86","2007-05-07",7.89
"87","2007-05-08",8.03
"88","2007-05-09",8.01
"89","2007-05-10",8.26
"90","2007-05-11",8.16
"91","2007-05-14",8.63
"92","2007-05-15",8.6
"93","2007-05-16",8.69
"94","2007-05-17",8.59
"95","2007-05-18",8.57
"96","2007-05-21",8.78
"97","2007-05-22",8.92
"98","2007-05-23",8.87
"99","2007-05-24",8.69
"100","2007-05-25",8.84
"101","2007-05-29",9.07
"102","2007-05-30",9.1
"103","2007-05-31",9.05
"104","2007-06-01",9.2
"105","2007-06-04",9.47
"106","2007-06-05",9.36
"107","2007-06-06",9.21
"108","2007-06-07",8.8
"109","2007-06-08",8.98
"110","2007-06-11",8.99
"111","2007-06-12",8.81
"112","2007-06-13",8.9
"113","2007-06-14",8.75
"114","2007-06-15",8.87
"115","2007-06-18",8.9
"116","2007-06-19",9
"117","2007-06-20",8.75
"118","2007-06-21",8.95
"119","2007-06-22",9.02
"120","2007-06-25",8.84
"121","2007-06-26",8.95
"122","2007-06-27",8.97
"123","2007-06-28",9.05
"124","2007-06-29",9.14
"125","2007-07-02",9.49
"126","2007-07-03",9.82
"127","2007-07-05",10
"128","2007-07-06",10.08
"129","2007-07-09",10.19
"130","2007-07-10",9.81
"131","2007-07-11",10
"132","2007-07-12",9.99
"133","2007-07-13",9.87
"134","2007-07-16",9.93
"135","2007-07-17",9.91
"136","2007-07-18",9.81
"137","2007-07-19",9.91
"138","2007-07-20",9.71
"139","2007-07-23",9.67
"140","2007-07-24",9.48
"141","2007-07-25",9.03
"142","2007-07-26",8.16
"143","2007-07-27",7.82
"144","2007-07-30",8.25
"145","2007-07-31",8.39
"146","2007-08-01",8.27
"147","2007-08-02",8.3
"148","2007-08-03",8.03
"149","2007-08-06",7.98
"150","2007-08-07",8.39
"151","2007-08-08",8.58
"152","2007-08-09",8.25
"153","2007-08-10",8.3
"154","2007-08-13",8.23
"155","2007-08-14",7.81
"156","2007-08-15",7.4
"157","2007-08-16",7.21
"158","2007-08-17",7.35
"159","2007-08-20",7.61
"160","2007-08-21",7.69
"161","2007-08-22",7.94
