"","date","CRNT"
"1","2007-01-03",5.44
"2","2007-01-04",5.67
"3","2007-01-05",5.98
"4","2007-01-08",5.91
"5","2007-01-09",5.84
"6","2007-01-10",6
"7","2007-01-11",6.1
"8","2007-01-12",6.24
"9","2007-01-16",6.26
"10","2007-01-17",6.04
"11","2007-01-18",5.9
"12","2007-01-19",5.99
"13","2007-01-22",6
"14","2007-01-23",5.94
"15","2007-01-24",6.01
"16","2007-01-25",6.01
"17","2007-01-26",5.95
"18","2007-01-29",5.92
"19","2007-01-30",5.93
"20","2007-01-31",5.98
"21","2007-02-01",6.07
"22","2007-02-02",6.11
"23","2007-02-05",6.19
"24","2007-02-06",5.86
"25","2007-02-07",5.9
"26","2007-02-08",6
"27","2007-02-09",5.87
"28","2007-02-12",5.78
"29","2007-02-13",5.69
"30","2007-02-14",5.7
"31","2007-02-15",5.67
"32","2007-02-16",5.57
"33","2007-02-20",5.48
"34","2007-02-21",5.43
"35","2007-02-22",5.61
"36","2007-02-23",5.74
"37","2007-02-26",5.65
"38","2007-02-27",5.6
"39","2007-02-28",5.62
"40","2007-03-01",5.53
"41","2007-03-02",5.45
"42","2007-03-05",5.11
"43","2007-03-06",5.56
"44","2007-03-07",5.49
"45","2007-03-08",5.4
"46","2007-03-09",5.36
"47","2007-03-12",5.49
"48","2007-03-13",5.32
"49","2007-03-14",5.45
"50","2007-03-15",5.5
"51","2007-03-16",5.33
"52","2007-03-19",5.37
"53","2007-03-20",5.41
"54","2007-03-21",5.46
"55","2007-03-22",5.49
"56","2007-03-23",5.5
"57","2007-03-26",5.49
"58","2007-03-27",5.49
"59","2007-03-28",5.44
"60","2007-03-29",5.55
"61","2007-03-30",5.68
"62","2007-04-02",5.62
"63","2007-04-03",5.72
"64","2007-04-04",5.94
"65","2007-04-05",5.76
"66","2007-04-09",5.94
"67","2007-04-10",5.95
"68","2007-04-11",6
"69","2007-04-12",5.94
"70","2007-04-13",5.97
"71","2007-04-16",5.99
"72","2007-04-17",6.06
"73","2007-04-18",6.05
"74","2007-04-19",6
"75","2007-04-20",6
"76","2007-04-23",5.97
"77","2007-04-24",5.93
"78","2007-04-25",5.78
"79","2007-04-26",5.94
"80","2007-04-27",5.96
"81","2007-04-30",6.94
"82","2007-05-01",6.88
"83","2007-05-02",7.26
