"","date","CJJD"
"1","2009-10-01",3.54
"2","2009-10-02",3.54
"3","2009-10-05",4.7
"4","2009-10-06",4.7
"5","2009-10-07",4.7
"6","2009-10-08",4.7
"7","2009-10-09",4.7
"8","2009-10-12",4.7
"9","2009-10-13",5
"10","2009-10-14",5
"11","2009-10-15",5.2
"12","2009-10-16",5.4
"13","2009-10-19",5
"14","2009-10-20",5
"15","2009-10-21",4.7
"16","2009-10-22",5.4
"17","2009-10-23",5.4
"18","2009-10-26",5.6
"19","2009-10-27",5.6
"20","2009-10-28",5.6
"21","2009-10-29",5.6
"22","2009-10-30",5.6
"23","2009-11-02",5.6
"24","2009-11-03",5.6
"25","2009-11-04",5.6
"26","2009-11-05",5.6
"27","2009-11-06",4.72
"28","2009-11-09",4.72
"29","2009-11-10",4.72
"30","2009-11-11",4.72
"31","2009-11-12",5.6
"32","2009-11-13",5.3
"33","2009-11-16",5.3
"34","2009-11-17",5.3
"35","2009-11-18",5.3
"36","2009-11-19",5.3
"37","2009-11-20",5.3
"38","2009-11-23",5.3
"39","2009-11-24",5.3
"40","2009-11-25",5.3
"41","2009-11-27",5.3
"42","2009-11-30",5.3
"43","2009-12-01",5.3
"44","2009-12-02",5.3
"45","2009-12-03",5
"46","2009-12-04",5
"47","2009-12-07",5
"48","2009-12-08",5
"49","2009-12-09",4.2
"50","2009-12-10",4.2
"51","2009-12-11",4.2
"52","2009-12-14",4.2
"53","2009-12-15",4.2
"54","2009-12-16",4.2
"55","2009-12-17",4.2
"56","2009-12-18",4.2
"57","2009-12-21",4.2
"58","2009-12-22",4.2
"59","2009-12-23",4.2
"60","2009-12-24",4.2
"61","2009-12-28",4.2
"62","2009-12-29",4.2
"63","2009-12-30",4.2
"64","2009-12-31",4.2
"65","2010-01-04",4.2
"66","2010-01-05",4.2
"67","2010-01-06",4
"68","2010-01-07",4
"69","2010-01-08",4
"70","2010-01-11",4
"71","2010-01-12",4
"72","2010-01-13",3.6
"73","2010-01-14",3.62
"74","2010-01-15",3.6
"75","2010-01-19",3.6
"76","2010-01-20",3.6
"77","2010-01-21",3.6
"78","2010-01-22",3.7
"79","2010-01-25",5.68
"80","2010-01-26",4.4
"81","2010-01-27",4.4
"82","2010-01-28",4.4
"83","2010-01-29",4.5
"84","2010-02-01",4.5
"85","2010-02-02",4.5
"86","2010-02-03",4.5
"87","2010-02-04",5.5
"88","2010-02-05",6
"89","2010-02-08",5.9
"90","2010-02-09",5.9
"91","2010-02-10",5.8
"92","2010-02-11",5.6
"93","2010-02-12",5.6
"94","2010-02-16",5.8
"95","2010-02-17",5.8
"96","2010-02-18",5.8
"97","2010-02-19",5.8
"98","2010-02-22",5.78
"99","2010-02-23",5.78
"100","2010-02-24",5.78
"101","2010-02-25",5.8
"102","2010-02-26",5.8
"103","2010-03-01",5.8
"104","2010-03-02",5.7
"105","2010-03-03",5.8
"106","2010-03-04",5.8
"107","2010-03-05",5.8
"108","2010-03-08",5.8
"109","2010-03-09",5.8
"110","2010-03-10",5.78
"111","2010-03-11",5.78
"112","2010-03-12",5.78
"113","2010-03-15",5.8
"114","2010-03-16",5.8
"115","2010-03-17",5.8
"116","2010-03-18",5.86
"117","2010-03-19",6.4
"118","2010-03-22",6.6
"119","2010-03-23",6.3
"120","2010-03-24",6.64
"121","2010-03-25",6.64
"122","2010-03-26",7
"123","2010-03-29",8.5
"124","2010-03-30",8.7
"125","2010-03-31",9
"126","2010-04-01",9.98
"127","2010-04-05",9.98
"128","2010-04-06",9.98
"129","2010-04-07",9.98
"130","2010-04-08",8
"131","2010-04-09",7
"132","2010-04-12",7.5
