"","date","OLB"
"1","2012-08-22",38.389999
"2","2012-08-23",38.389999
"3","2012-08-24",38.389999
"4","2012-08-27",38.389999
"5","2012-08-28",38.389999
"6","2012-08-29",38.389999
"7","2012-08-30",38.389999
"8","2012-08-31",38.389999
"9","2012-09-04",38.389999
"10","2012-09-05",38.389999
"11","2012-09-06",38.389999
"12","2012-09-07",38.389999
"13","2012-09-10",38.389999
"14","2012-09-11",38.389999
"15","2012-09-12",38.389999
"16","2012-09-13",38.389999
"17","2012-09-14",38.389999
"18","2012-09-17",38.389999
"19","2012-09-18",38.389999
"20","2012-09-19",38.389999
"21","2012-09-20",38.389999
"22","2012-09-21",38.389999
"23","2012-09-24",38.389999
"24","2012-09-25",NA
"25","2012-09-26",NA
"26","2012-09-27",NA
"27","2012-09-28",NA
"28","2012-10-01",NA
"29","2012-10-02",NA
"30","2012-10-03",NA
"31","2012-10-04",NA
"32","2012-10-05",NA
"33","2012-10-08",NA
"34","2012-10-09",NA
"35","2012-10-10",NA
"36","2012-10-11",NA
"37","2012-10-12",NA
"38","2012-10-15",NA
"39","2012-10-16",NA
"40","2012-10-17",NA
"41","2012-10-18",NA
"42","2012-10-19",NA
"43","2012-10-22",NA
"44","2012-10-23",NA
"45","2012-10-24",NA
"46","2012-10-25",NA
"47","2012-10-26",NA
"48","2012-10-31",NA
"49","2012-11-01",NA
"50","2012-11-02",NA
"51","2012-11-05",NA
"52","2012-11-06",NA
"53","2012-11-07",NA
"54","2012-11-08",NA
"55","2012-11-09",NA
"56","2012-11-12",NA
"57","2012-11-13",NA
"58","2012-11-14",NA
"59","2012-11-15",NA
"60","2012-11-16",NA
"61","2012-11-19",NA
"62","2012-11-20",NA
"63","2012-11-21",NA
"64","2012-11-23",NA
"65","2012-11-26",NA
"66","2012-11-27",NA
"67","2012-11-28",NA
"68","2012-11-29",NA
"69","2012-11-30",NA
"70","2012-12-03",NA
"71","2012-12-04",NA
"72","2012-12-05",NA
"73","2012-12-06",NA
"74","2012-12-07",NA
"75","2012-12-10",NA
"76","2012-12-11",NA
"77","2012-12-12",NA
"78","2012-12-13",NA
"79","2012-12-14",NA
"80","2012-12-17",NA
"81","2012-12-18",NA
"82","2012-12-19",NA
"83","2012-12-20",NA
"84","2012-12-21",NA
"85","2012-12-24",NA
"86","2012-12-26",NA
"87","2012-12-27",NA
"88","2012-12-28",NA
"89","2012-12-31",NA
"90","2013-01-02",NA
"91","2013-01-03",NA
"92","2013-01-04",NA
"93","2013-01-07",NA
"94","2013-01-08",NA
"95","2013-01-09",NA
"96","2013-01-10",NA
"97","2013-01-11",NA
"98","2013-01-14",NA
"99","2013-01-15",NA
"100","2013-01-16",NA
"101","2013-01-17",NA
"102","2013-01-18",NA
"103","2013-01-22",NA
"104","2013-01-23",NA
"105","2013-01-24",NA
"106","2013-01-25",NA
"107","2013-01-28",NA
"108","2013-01-29",NA
"109","2013-01-30",NA
"110","2013-01-31",NA
"111","2013-02-01",NA
"112","2013-02-04",NA
"113","2013-02-05",NA
"114","2013-02-06",NA
"115","2013-02-07",NA
"116","2013-02-08",NA
"117","2013-02-11",NA
"118","2013-02-12",NA
"119","2013-02-13",NA
"120","2013-02-14",NA
"121","2013-02-15",NA
"122","2013-02-19",NA
"123","2013-02-20",NA
"124","2013-02-21",NA
"125","2013-02-22",NA
"126","2013-02-25",NA
"127","2013-02-26",NA
"128","2013-02-27",NA
"129","2013-02-28",NA
"130","2013-03-01",NA
"131","2013-03-04",NA
"132","2013-03-05",NA
"133","2013-03-06",NA
"134","2013-03-07",NA
"135","2013-03-08",NA
"136","2013-03-11",NA
"137","2013-03-12",NA
"138","2013-03-13",NA
"139","2013-03-14",NA
"140","2013-03-15",NA
"141","2013-03-18",NA
"142","2013-03-19",NA
"143","2013-03-20",NA
"144","2013-03-21",NA
"145","2013-03-22",NA
"146","2013-03-25",NA
"147","2013-03-26",NA
"148","2013-03-27",NA
"149","2013-03-28",NA
"150","2013-04-01",NA
"151","2013-04-02",NA
"152","2013-04-03",NA
"153","2013-04-04",NA
"154","2013-04-05",NA
"155","2013-04-08",NA
"156","2013-04-09",NA
"157","2013-04-10",NA
"158","2013-04-11",NA
"159","2013-04-12",NA
"160","2013-04-15",NA
"161","2013-04-16",NA
"162","2013-04-17",NA
"163","2013-04-18",NA
"164","2013-04-19",NA
"165","2013-04-22",NA
"166","2013-04-23",NA
"167","2013-04-24",NA
"168","2013-04-25",NA
"169","2013-04-26",NA
"170","2013-04-29",NA
"171","2013-04-30",NA
"172","2013-05-01",NA
"173","2013-05-02",NA
"174","2013-05-03",NA
"175","2013-05-06",NA
"176","2013-05-07",NA
"177","2013-05-08",NA
"178","2013-05-09",NA
"179","2013-05-10",NA
"180","2013-05-13",NA
"181","2013-05-14",NA
"182","2013-05-15",NA
"183","2013-05-16",NA
"184","2013-05-17",NA
"185","2013-05-20",NA
