"","date","SRGA"
"1","2007-01-03",5.46
"2","2007-01-04",5.56
"3","2007-01-05",5.59
"4","2007-01-08",5.57
"5","2007-01-09",5.45
"6","2007-01-10",5.31
"7","2007-01-11",5.37
"8","2007-01-12",5.33
"9","2007-01-16",5.29
"10","2007-01-17",5.41
"11","2007-01-18",5.3
"12","2007-01-19",5.2
"13","2007-01-22",5.22
"14","2007-01-23",5.18
"15","2007-01-24",5.15
"16","2007-01-25",5.16
"17","2007-01-26",5.2
"18","2007-01-29",5.2
"19","2007-01-30",5.61
"20","2007-01-31",5.75
"21","2007-02-01",5.9
"22","2007-02-02",6.3
"23","2007-02-05",6.46
"24","2007-02-06",5.96
"25","2007-02-07",6.59
"26","2007-02-08",6.95
"27","2007-02-09",7.04
"28","2007-02-12",7.46
"29","2007-02-13",7.28
"30","2007-02-14",7.42
"31","2007-02-15",7.24
"32","2007-02-16",7.41
"33","2007-02-20",7.15
"34","2007-02-21",7.32
"35","2007-02-22",7.34
"36","2007-02-23",7.31
"37","2007-02-26",7.17
"38","2007-02-27",7.19
"39","2007-02-28",7.07
"40","2007-03-01",7.26
"41","2007-03-02",7.25
"42","2007-03-05",7.45
"43","2007-03-06",7.61
"44","2007-03-07",7.62
"45","2007-03-08",7.73
"46","2007-03-09",7.65
"47","2007-03-12",7.8
"48","2007-03-13",7.62
"49","2007-03-14",7.58
"50","2007-03-15",7.4
"51","2007-03-16",7.5
"52","2007-03-19",7.76
"53","2007-03-20",7.7
"54","2007-03-21",7.66
"55","2007-03-22",7.71
"56","2007-03-23",7.72
"57","2007-03-26",7.27
"58","2007-03-27",7.43
"59","2007-03-28",7.19
"60","2007-03-29",7.21
"61","2007-03-30",7.25
"62","2007-04-02",7.24
"63","2007-04-03",7.31
"64","2007-04-04",7.69
"65","2007-04-05",7.78
"66","2007-04-09",7.88
"67","2007-04-10",7.92
"68","2007-04-11",7.95
"69","2007-04-12",8
"70","2007-04-13",8.06
"71","2007-04-16",8.12
"72","2007-04-17",8.18
"73","2007-04-18",8.1
"74","2007-04-19",8.22
"75","2007-04-20",8.32
"76","2007-04-23",8.38
"77","2007-04-24",8.45
"78","2007-04-25",8.36
"79","2007-04-26",8.48
"80","2007-04-27",8.58
"81","2007-04-30",8.47
"82","2007-05-01",8.4
"83","2007-05-02",8.3
"84","2007-05-03",8.1
"85","2007-05-04",8.24
"86","2007-05-07",8.19
"87","2007-05-08",8.75
"88","2007-05-09",9.07
"89","2007-05-10",9.28
"90","2007-05-11",9.17
"91","2007-05-14",9.57
"92","2007-05-15",9.81
"93","2007-05-16",10
"94","2007-05-17",10.75
"95","2007-05-18",10.51
"96","2007-05-21",10.5
"97","2007-05-22",10.43
"98","2007-05-23",10.44
