"","date","AMOV"
"1","2007-01-03",23
"2","2007-01-04",23.049999
"3","2007-01-05",22.325001
"4","2007-01-08",22.365
"5","2007-01-09",21.540001
"6","2007-01-10",21.870001
"7","2007-01-11",22.094999
"8","2007-01-12",22.049999
"9","2007-01-16",22.125
"10","2007-01-17",22.075001
"11","2007-01-18",21.415001
"12","2007-01-19",21.76
"13","2007-01-22",21.540001
"14","2007-01-23",22.030001
"15","2007-01-24",22.75
"16","2007-01-25",22.049999
"17","2007-01-26",21.715
"18","2007-01-29",21.485001
"19","2007-01-30",21.549999
"20","2007-01-31",22.15
"21","2007-02-01",22.389999
"22","2007-02-02",22.450001
"23","2007-02-05",23
"24","2007-02-06",22.809999
"25","2007-02-07",22.98
"26","2007-02-08",23.9
"27","2007-02-09",23.415001
"28","2007-02-12",23.32
"29","2007-02-13",23.865
"30","2007-02-14",24.174999
"31","2007-02-15",24.02
"32","2007-02-16",24
"33","2007-02-20",23.745001
"34","2007-02-21",23.85
"35","2007-02-22",23.504999
"36","2007-02-23",23.51
"37","2007-02-26",23.219999
"38","2007-02-27",21.68
"39","2007-02-28",21.9
"40","2007-03-01",21.635
"41","2007-03-02",21.495001
"42","2007-03-05",21.049999
"43","2007-03-06",21.549999
"44","2007-03-07",21.25
"45","2007-03-08",21.815001
"46","2007-03-09",22.09
"47","2007-03-12",22.68
"48","2007-03-13",21.825001
"49","2007-03-14",22.129999
"50","2007-03-15",22.315001
"51","2007-03-16",22.059999
"52","2007-03-19",22.9
"53","2007-03-20",22.809999
"54","2007-03-21",23.860001
"55","2007-03-22",23.575001
"56","2007-03-23",23.584999
"57","2007-03-26",23.395
"58","2007-03-27",23.18
"59","2007-03-28",23.25
"60","2007-03-29",23.809999
"61","2007-03-30",23.865
"62","2007-04-02",25.125
"63","2007-04-03",25.225
"64","2007-04-04",25.02
"65","2007-04-05",24.889999
"66","2007-04-09",25.225
"67","2007-04-10",24.940001
"68","2007-04-11",24.870001
"69","2007-04-12",25.1
"70","2007-04-13",25.33
"71","2007-04-16",25.299999
"72","2007-04-17",25.58
"73","2007-04-18",25.34
"74","2007-04-19",25.51
"75","2007-04-20",26
"76","2007-04-23",25.65
"77","2007-04-24",25.99
"78","2007-04-25",26.08
"79","2007-04-26",27.075001
"80","2007-04-27",27.334999
"81","2007-04-30",26.225
"82","2007-05-01",25.975
"83","2007-05-02",26.625
"84","2007-05-03",27.245001
"85","2007-05-04",27.41
"86","2007-05-07",27.700001
"87","2007-05-08",27.35
"88","2007-05-09",27.875
"89","2007-05-10",26.875
"90","2007-05-11",27.440001
"91","2007-05-14",27.405001
"92","2007-05-15",27.440001
"93","2007-05-16",28.5
"94","2007-05-17",28.695
"95","2007-05-18",29.395
"96","2007-05-21",29.4
"97","2007-05-22",29.41
"98","2007-05-23",29.629999
"99","2007-05-24",28.645
"100","2007-05-25",29.424999
"101","2007-05-29",29.280001
"102","2007-05-30",30.540001
"103","2007-05-31",30.190001
"104","2007-06-01",31.280001
"105","2007-06-04",31.08
"106","2007-06-05",31.209999
"107","2007-06-06",30.325001
"108","2007-06-07",29.665001
"109","2007-06-08",30.424999
"110","2007-06-11",30.655001
"111","2007-06-12",30.120001
"112","2007-06-13",30.6
"113","2007-06-14",31.014999
"114","2007-06-15",31.950001
"115","2007-06-18",32.075001
"116","2007-06-19",32.16
"117","2007-06-20",31.5
"118","2007-06-21",31.700001
"119","2007-06-22",31.5
"120","2007-06-25",30.844999
"121","2007-06-26",30.055
"122","2007-06-27",30.75
"123","2007-06-28",31.004999
"124","2007-06-29",30.875
"125","2007-07-02",31.24
"126","2007-07-03",32.18
"127","2007-07-05",32.950001
"128","2007-07-06",33.029999
"129","2007-07-09",31.870001
"130","2007-07-10",31.440001
"131","2007-07-11",32.084999
"132","2007-07-12",32.439999
"133","2007-07-13",32.544998
"134","2007-07-16",32.5
"135","2007-07-17",32.224998
"136","2007-07-18",31.98
"137","2007-07-19",32.455002
"138","2007-07-20",31.52
"139","2007-07-23",32.755001
"140","2007-07-24",31.450001
"141","2007-07-25",30.625
"142","2007-07-26",28.870001
"143","2007-07-27",29.219999
"144","2007-07-30",30.25
"145","2007-07-31",29.85
"146","2007-08-01",29.245001
"147","2007-08-02",29.84
"148","2007-08-03",28.764999
"149","2007-08-06",28.965
"150","2007-08-07",29.75
"151","2007-08-08",30.264999
"152","2007-08-09",29.190001
"153","2007-08-10",28.525
"154","2007-08-13",28.9
"155","2007-08-14",27.955
"156","2007-08-15",26.834999
"157","2007-08-16",26.549999
"158","2007-08-17",28.825001
"159","2007-08-20",28.549999
"160","2007-08-21",28.275
"161","2007-08-22",29.025
"162","2007-08-23",29.705
"163","2007-08-24",30.125
"164","2007-08-27",30.135
"165","2007-08-28",28.66
"166","2007-08-29",29.514999
