"","date","SEM"
"1","2009-09-25",10.09
"2","2009-09-28",10.45
"3","2009-09-29",10.09
"4","2009-09-30",10.07
"5","2009-10-01",10
"6","2009-10-02",9.99
"7","2009-10-05",9.99
"8","2009-10-06",9.8
"9","2009-10-07",9.75
"10","2009-10-08",9.78
"11","2009-10-09",9.75
"12","2009-10-12",9.75
"13","2009-10-13",9.75
"14","2009-10-14",9.78
"15","2009-10-15",9.77
"16","2009-10-16",9.76
"17","2009-10-19",9.73
"18","2009-10-20",9.75
"19","2009-10-21",9.7
"20","2009-10-22",9.73
"21","2009-10-23",9.67
"22","2009-10-26",9.6
"23","2009-10-27",9.62
"24","2009-10-28",9.48
"25","2009-10-29",9.63
"26","2009-10-30",9.7
"27","2009-11-02",9.74
"28","2009-11-03",9.65
"29","2009-11-04",9.89
"30","2009-11-05",10
"31","2009-11-06",9.9
"32","2009-11-09",9.76
"33","2009-11-10",9.72
"34","2009-11-11",9.75
"35","2009-11-12",9.74
"36","2009-11-13",9.39
"37","2009-11-16",9.4
"38","2009-11-17",9.34
"39","2009-11-18",9.2
"40","2009-11-19",8.98
"41","2009-11-20",9.14
"42","2009-11-23",9.18
"43","2009-11-24",9.23
"44","2009-11-25",9.24
"45","2009-11-27",9.06
"46","2009-11-30",9.05
"47","2009-12-01",9.36
"48","2009-12-02",9.29
"49","2009-12-03",9.44
"50","2009-12-04",9.29
"51","2009-12-07",9.42
"52","2009-12-08",9.71
"53","2009-12-09",9.65
"54","2009-12-10",9.8
"55","2009-12-11",9.85
"56","2009-12-14",9.82
"57","2009-12-15",9.81
"58","2009-12-16",9.8
"59","2009-12-17",10.03
"60","2009-12-18",10.27
"61","2009-12-21",10.25
"62","2009-12-22",10.03
"63","2009-12-23",10.47
"64","2009-12-24",10.43
"65","2009-12-28",10.45
"66","2009-12-29",10.78
"67","2009-12-30",10.55
"68","2009-12-31",10.62
"69","2010-01-04",10.75
"70","2010-01-05",10.56
"71","2010-01-06",10.26
"72","2010-01-07",10.3
"73","2010-01-08",10.32
"74","2010-01-11",10.3
"75","2010-01-12",10.2
"76","2010-01-13",10.39
"77","2010-01-14",10.5
"78","2010-01-15",10.37
"79","2010-01-19",10.5
"80","2010-01-20",10.12
"81","2010-01-21",9.94
"82","2010-01-22",9.9
"83","2010-01-25",9.9
"84","2010-01-26",9.87
"85","2010-01-27",10.03
"86","2010-01-28",9.77
"87","2010-01-29",9.91
"88","2010-02-01",9.62
"89","2010-02-02",9.76
"90","2010-02-03",9.59
"91","2010-02-04",9.33
"92","2010-02-05",9.19
"93","2010-02-08",9.06
"94","2010-02-09",9.11
"95","2010-02-10",8.9
"96","2010-02-11",8.9
"97","2010-02-12",8.84
"98","2010-02-16",8.81
"99","2010-02-17",8.84
"100","2010-02-18",8.8
"101","2010-02-19",8.3
"102","2010-02-22",8.29
"103","2010-02-23",8.15
"104","2010-02-24",8.18
"105","2010-02-25",8.09
"106","2010-02-26",8.19
"107","2010-03-01",8.23
"108","2010-03-02",8.47
"109","2010-03-03",8.66
"110","2010-03-04",8.55
"111","2010-03-05",8.76
"112","2010-03-08",8.74
"113","2010-03-09",8.31
"114","2010-03-10",8.13
"115","2010-03-11",8.17
"116","2010-03-12",8.07
"117","2010-03-15",7.87
"118","2010-03-16",8.09
"119","2010-03-17",8.33
"120","2010-03-18",8.5
"121","2010-03-19",8.5
"122","2010-03-22",8.7
"123","2010-03-23",8.75
"124","2010-03-24",8.66
"125","2010-03-25",8.48
"126","2010-03-26",8.23
"127","2010-03-29",8.34
"128","2010-03-30",8.44
"129","2010-03-31",8.44
"130","2010-04-01",8.39
"131","2010-04-05",8.41
"132","2010-04-06",8.4
"133","2010-04-07",8.29
"134","2010-04-08",8.26
"135","2010-04-09",8.16
"136","2010-04-12",8.26
"137","2010-04-13",8.17
"138","2010-04-14",8.3
"139","2010-04-15",8.29
"140","2010-04-16",8.43
"141","2010-04-19",8.35
"142","2010-04-20",8.63
"143","2010-04-21",8.68
"144","2010-04-22",8.71
"145","2010-04-23",8.95
"146","2010-04-26",8.91
"147","2010-04-27",8.69
"148","2010-04-28",8.56
"149","2010-04-29",8.8
"150","2010-04-30",8.69
"151","2010-05-03",8.83
"152","2010-05-04",8.31
"153","2010-05-05",8.36
"154","2010-05-06",8.33
"155","2010-05-07",8.25
"156","2010-05-10",8.48
"157","2010-05-11",8.66
