"","date","NSEC"
"1","2007-01-03",17.25
"2","2007-01-04",17.25
"3","2007-01-05",16.85
"4","2007-01-08",17.459999
"5","2007-01-09",17.459999
"6","2007-01-10",16.950001
"7","2007-01-11",17.1
"8","2007-01-12",17.1
"9","2007-01-16",17.1
"10","2007-01-17",17.200001
"11","2007-01-18",17.200001
"12","2007-01-19",17.5
"13","2007-01-22",17.5
"14","2007-01-23",17.299999
"15","2007-01-24",17.25
"16","2007-01-25",17.25
"17","2007-01-26",17.35
"18","2007-01-29",17.35
"19","2007-01-30",16.75
"20","2007-01-31",16.75
"21","2007-02-01",16.75
"22","2007-02-02",16.75
"23","2007-02-05",16.75
"24","2007-02-06",16.75
"25","2007-02-07",17
"26","2007-02-08",17
"27","2007-02-09",17.049999
"28","2007-02-12",17.35
"29","2007-02-13",17.35
"30","2007-02-14",17.5
"31","2007-02-15",17.75
"32","2007-02-16",17.6
"33","2007-02-20",17.75
"34","2007-02-21",17.75
"35","2007-02-22",17.75
"36","2007-02-23",17.639999
"37","2007-02-26",17.700001
"38","2007-02-27",17.209999
"39","2007-02-28",17.299999
"40","2007-03-01",17.299999
"41","2007-03-02",17.299999
"42","2007-03-05",17.6
"43","2007-03-06",17.4
"44","2007-03-07",17.23
"45","2007-03-08",17.15
"46","2007-03-09",17.15
"47","2007-03-12",17.280001
"48","2007-03-13",17.15
"49","2007-03-14",17.15
"50","2007-03-15",17.389999
"51","2007-03-16",17.18
"52","2007-03-19",17.9
"53","2007-03-20",17.9
"54","2007-03-21",18
"55","2007-03-22",18
"56","2007-03-23",18
"57","2007-03-26",18.25
"58","2007-03-27",17.66
"59","2007-03-28",17.9
"60","2007-03-29",17.799999
"61","2007-03-30",17.799999
"62","2007-04-02",17.799999
"63","2007-04-03",17.969999
"64","2007-04-04",17.969999
"65","2007-04-05",17.799999
"66","2007-04-09",17.9
"67","2007-04-10",18
"68","2007-04-11",18.059999
"69","2007-04-12",17.91
"70","2007-04-13",18
"71","2007-04-16",17.99
"72","2007-04-17",17.950001
"73","2007-04-18",17.809999
"74","2007-04-19",17.809999
"75","2007-04-20",18.32
"76","2007-04-23",18.32
"77","2007-04-24",18.9
"78","2007-04-25",18.9
"79","2007-04-26",19.469999
"80","2007-04-27",19.469999
"81","2007-04-30",19.48
"82","2007-05-01",19.34
"83","2007-05-02",19.870001
"84","2007-05-03",19.870001
"85","2007-05-04",19
"86","2007-05-07",18.99
"87","2007-05-08",18.5
"88","2007-05-09",19.27
