"","date","NMRD"
"1","2018-02-05",58.869999
"2","2018-02-06",58
"3","2018-02-07",56.5
"4","2018-02-08",54.099998
"5","2018-02-09",52.799999
"6","2018-02-12",52.5
"7","2018-02-13",53.5
"8","2018-02-14",52.5
"9","2018-02-15",52.189999
"10","2018-02-16",57.900002
"11","2018-02-20",52.880001
"12","2018-02-21",53.5
"13","2018-02-22",52
"14","2018-02-23",56
"15","2018-02-26",53.099998
"16","2018-02-27",52.400002
"17","2018-02-28",51.5
"18","2018-03-01",50.400002
"19","2018-03-02",51.509998
"20","2018-03-05",53.299999
"21","2018-03-06",51
"22","2018-03-07",50.299999
"23","2018-03-08",51.799999
"24","2018-03-09",53.5
"25","2018-03-12",52.900002
"26","2018-03-13",51.700001
"27","2018-03-14",51.200001
"28","2018-03-15",51.5
"29","2018-03-16",50.200001
"30","2018-03-19",50.200001
"31","2018-03-20",50
"32","2018-03-21",50.150002
"33","2018-03-22",50
"34","2018-03-23",50.5
"35","2018-03-26",50.200001
"36","2018-03-27",50
"37","2018-03-28",47.700001
"38","2018-03-29",45.5
"39","2018-04-02",45.799999
"40","2018-04-03",46.200001
"41","2018-04-04",42.099998
"42","2018-04-05",40
"43","2018-04-06",34.450001
"44","2018-04-09",42.5
"45","2018-04-10",42.599998
"46","2018-04-11",43
"47","2018-04-12",42.5
"48","2018-04-13",41.099998
"49","2018-04-16",38.77
"50","2018-04-17",37.799999
"51","2018-04-18",40.200001
"52","2018-04-19",37.349998
"53","2018-04-20",38.299999
"54","2018-04-23",37.200001
"55","2018-04-24",37.200001
"56","2018-04-25",36.900002
"57","2018-04-26",33.5
"58","2018-04-27",33.400002
"59","2018-04-30",33
"60","2018-05-01",39.299999
"61","2018-05-02",33.400002
"62","2018-05-03",32.5
"63","2018-05-04",31.85
"64","2018-05-07",30.1
"65","2018-05-08",30.299999
"66","2018-05-09",30.200001
"67","2018-05-10",30.5
"68","2018-05-11",31
"69","2018-05-14",30.5
"70","2018-05-15",30.200001
"71","2018-05-16",30.200001
"72","2018-05-17",30.200001
"73","2018-05-18",30.190001
"74","2018-05-21",30
"75","2018-05-22",29.1
"76","2018-05-23",30.200001
"77","2018-05-24",28
"78","2018-05-25",28
"79","2018-05-29",27.700001
"80","2018-05-30",27.790001
"81","2018-05-31",28
"82","2018-06-01",29.1
"83","2018-06-04",29.6
"84","2018-06-05",28.700001
"85","2018-06-06",28.799999
"86","2018-06-07",28.700001
"87","2018-06-08",28
"88","2018-06-11",27.9
"89","2018-06-12",25.6
"90","2018-06-13",27.9
"91","2018-06-14",27
"92","2018-06-15",25.799999
"93","2018-06-18",25.6
"94","2018-06-19",25.200001
"95","2018-06-20",25.799999
"96","2018-06-21",26.9
"97","2018-06-22",26.9
"98","2018-06-25",26.42
"99","2018-06-26",27.5
"100","2018-06-27",28
"101","2018-06-28",29.799999
"102","2018-06-29",28
"103","2018-07-02",26.299999
"104","2018-07-03",27
"105","2018-07-05",26.5
"106","2018-07-06",26.4
"107","2018-07-09",25.200001
"108","2018-07-10",23
"109","2018-07-11",21.1
"110","2018-07-12",21.549999
"111","2018-07-13",21.299999
"112","2018-07-16",22.370001
"113","2018-07-17",25.4
"114","2018-07-18",28.5
"115","2018-07-19",30.91
"116","2018-07-20",25.700001
"117","2018-07-23",24.1
"118","2018-07-24",23.66
"119","2018-07-25",23.5
"120","2018-07-26",21.9
"121","2018-07-27",22.280001
"122","2018-07-30",21.6
"123","2018-07-31",23.1
"124","2018-08-01",27.75
"125","2018-08-02",25.700001
"126","2018-08-03",25
"127","2018-08-06",25.5
"128","2018-08-07",25
"129","2018-08-08",24
"130","2018-08-09",23.1
"131","2018-08-10",22.799999
"132","2018-08-13",22.940001
"133","2018-08-14",22
"134","2018-08-15",21.1
"135","2018-08-16",21.200001
"136","2018-08-17",22.809999
"137","2018-08-20",21.92
"138","2018-08-21",22.57
"139","2018-08-22",22.299999
"140","2018-08-23",22
"141","2018-08-24",21.200001
"142","2018-08-27",22
"143","2018-08-28",21.700001
"144","2018-08-29",21.5
"145","2018-08-30",21.040001
"146","2018-08-31",20.85
"147","2018-09-04",20.700001
"148","2018-09-05",22.219999
"149","2018-09-06",22.700001
"150","2018-09-07",22.02
"151","2018-09-10",22.9
"152","2018-09-11",21.549999
"153","2018-09-12",28.6
"154","2018-09-13",34.299999
"155","2018-09-14",31.9
"156","2018-09-17",30.9
"157","2018-09-18",32.700001
"158","2018-09-19",32.599998
"159","2018-09-20",31
"160","2018-09-21",30.4
"161","2018-09-24",32.200001
"162","2018-09-25",31.200001
"163","2018-09-26",28.700001
"164","2018-09-27",26.700001
"165","2018-09-28",23.799999
"166","2018-10-01",24.299999
"167","2018-10-02",23.299999
"168","2018-10-03",22.5
"169","2018-10-04",22.299999
"170","2018-10-05",21.799999
"171","2018-10-08",21.290001
"172","2018-10-09",22.5
"173","2018-10-10",21.6
"174","2018-10-11",22.5
"175","2018-10-12",21.5
"176","2018-10-15",20.77
"177","2018-10-16",19.799999
"178","2018-10-17",21
"179","2018-10-18",20.9
