"","date","WST"
"1","2007-01-03",25.525
"2","2007-01-04",26.07
"3","2007-01-05",25.285
"4","2007-01-08",25.665001
"5","2007-01-09",23.65
"6","2007-01-10",23.365
"7","2007-01-11",23.705
"8","2007-01-12",24.094999
"9","2007-01-16",24.030001
"10","2007-01-17",24.030001
"11","2007-01-18",23.65
"12","2007-01-19",23.825001
"13","2007-01-22",23.584999
"14","2007-01-23",23.625
"15","2007-01-24",23.75
"16","2007-01-25",23.355
"17","2007-01-26",23.299999
"18","2007-01-29",23.700001
"19","2007-01-30",23.825001
"20","2007-01-31",24.264999
"21","2007-02-01",24.344999
"22","2007-02-02",24.635
"23","2007-02-05",24.525
"24","2007-02-06",24.405001
"25","2007-02-07",24.370001
"26","2007-02-08",24.370001
"27","2007-02-09",24.110001
"28","2007-02-12",24.34
"29","2007-02-13",24.15
"30","2007-02-14",23.945
"31","2007-02-15",23.635
"32","2007-02-16",23.215
"33","2007-02-20",23.795
"34","2007-02-21",23.959999
"35","2007-02-22",23.985001
"36","2007-02-23",23.645
"37","2007-02-26",23.65
"38","2007-02-27",22.9
"39","2007-02-28",22.629999
"40","2007-03-01",22.754999
"41","2007-03-02",22.530001
"42","2007-03-05",22.15
"43","2007-03-06",23.02
"44","2007-03-07",23.049999
"45","2007-03-08",21.16
"46","2007-03-09",21.145
"47","2007-03-12",21.5
"48","2007-03-13",20.82
"49","2007-03-14",21.25
"50","2007-03-15",21.665001
"51","2007-03-16",21.465
"52","2007-03-19",22.254999
"53","2007-03-20",22.299999
"54","2007-03-21",22.655001
"55","2007-03-22",23.195
"56","2007-03-23",22.875
"57","2007-03-26",23.09
"58","2007-03-27",23.190001
"59","2007-03-28",23.030001
"60","2007-03-29",22.99
"61","2007-03-30",23.215
"62","2007-04-02",23.15
"63","2007-04-03",23.174999
"64","2007-04-04",23.49
"65","2007-04-05",23.290001
"66","2007-04-09",23.389999
"67","2007-04-10",23.424999
"68","2007-04-11",23.08
"69","2007-04-12",23.370001
"70","2007-04-13",23.25
"71","2007-04-16",23.639999
"72","2007-04-17",23.559999
"73","2007-04-18",22.895
"74","2007-04-19",22.995001
"75","2007-04-20",23.559999
"76","2007-04-23",23.055
"77","2007-04-24",23.065001
"78","2007-04-25",23.129999
"79","2007-04-26",25.975
"80","2007-04-27",24.805
"81","2007-04-30",24.885
"82","2007-05-01",25
"83","2007-05-02",25.235001
"84","2007-05-03",25.75
"85","2007-05-04",25.889999
"86","2007-05-07",25.959999
"87","2007-05-08",25.924999
"88","2007-05-09",25.965
"89","2007-05-10",25.055
"90","2007-05-11",25.455
"91","2007-05-14",24.809999
"92","2007-05-15",24.610001
"93","2007-05-16",24.674999
"94","2007-05-17",24.184999
"95","2007-05-18",24.325001
"96","2007-05-21",24.59
"97","2007-05-22",25.155001
"98","2007-05-23",25.09
"99","2007-05-24",24.985001
"100","2007-05-25",24.775
"101","2007-05-29",24.504999
"102","2007-05-30",24.885
"103","2007-05-31",25.43
"104","2007-06-01",25.674999
"105","2007-06-04",25.975
"106","2007-06-05",25.549999
"107","2007-06-06",24.9
"108","2007-06-07",24.360001
"109","2007-06-08",25.385
"110","2007-06-11",25.285
"111","2007-06-12",24.43
"112","2007-06-13",24.334999
"113","2007-06-14",24.045
"114","2007-06-15",24.165001
"115","2007-06-18",24.27
"116","2007-06-19",24.24
"117","2007-06-20",24.045
"118","2007-06-21",24.584999
"119","2007-06-22",24.485001
"120","2007-06-25",24.195
"121","2007-06-26",23.875
"122","2007-06-27",24.094999
"123","2007-06-28",23.9
"124","2007-06-29",23.575001
"125","2007-07-02",24.639999
"126","2007-07-03",24.91
"127","2007-07-05",24.959999
"128","2007-07-06",25.110001
"129","2007-07-09",25.51
"130","2007-07-10",25.465
"131","2007-07-11",25.549999
"132","2007-07-12",25.885
"133","2007-07-13",25.915001
"134","2007-07-16",25.690001
"135","2007-07-17",25.865
"136","2007-07-18",25.51
"137","2007-07-19",25.290001
"138","2007-07-20",24.74
"139","2007-07-23",24.575001
"140","2007-07-24",23.575001
"141","2007-07-25",24.195
"142","2007-07-26",24.09
"143","2007-07-27",23.615
"144","2007-07-30",23.700001
"145","2007-07-31",23.139999
"146","2007-08-01",23.25
"147","2007-08-02",21.299999
"148","2007-08-03",20.09
"149","2007-08-06",20.475
"150","2007-08-07",19.9
"151","2007-08-08",19.49
"152","2007-08-09",20.075001
"153","2007-08-10",20.959999
"154","2007-08-13",21.495001
"155","2007-08-14",21.27
"156","2007-08-15",21.25
