"","date","CSTM"
"1","2013-05-23",14.53
"2","2013-05-24",14.82
"3","2013-05-28",14.85
"4","2013-05-29",14.63
"5","2013-05-30",14.78
"6","2013-05-31",14.7
"7","2013-06-03",15.01
"8","2013-06-04",15.06
"9","2013-06-05",14.98
"10","2013-06-06",14.95
"11","2013-06-07",15.04
"12","2013-06-10",15.11
"13","2013-06-11",14.82
"14","2013-06-12",14.88
"15","2013-06-13",14.95
"16","2013-06-14",15.15
"17","2013-06-17",15.03
"18","2013-06-18",15.21
"19","2013-06-19",15.43
"20","2013-06-20",15.46
"21","2013-06-21",15.32
"22","2013-06-24",15.15
"23","2013-06-25",14.98
"24","2013-06-26",15.1
"25","2013-06-27",15.88
"26","2013-06-28",16.15
"27","2013-07-01",16.25
"28","2013-07-02",15.86
"29","2013-07-03",16.18
"30","2013-07-05",16.32
"31","2013-07-08",16.540001
"32","2013-07-09",16.370001
"33","2013-07-10",16.83
"34","2013-07-11",17.190001
"35","2013-07-12",17.01
"36","2013-07-15",17.1
"37","2013-07-16",17.18
"38","2013-07-17",16.959999
"39","2013-07-18",17.450001
"40","2013-07-19",17.35
"41","2013-07-22",17.68
"42","2013-07-23",17.57
"43","2013-07-24",17.120001
"44","2013-07-25",17.5
"45","2013-07-26",18.02
"46","2013-07-29",18.33
"47","2013-07-30",18.360001
"48","2013-07-31",18.209999
"49","2013-08-01",18.110001
"50","2013-08-02",18.360001
"51","2013-08-05",18.66
"52","2013-08-06",18.6
"53","2013-08-07",17.959999
"54","2013-08-08",18.290001
"55","2013-08-09",17.99
"56","2013-08-12",17.66
"57","2013-08-13",17.99
"58","2013-08-14",18.209999
"59","2013-08-15",18.02
"60","2013-08-16",17.85
"61","2013-08-19",17.74
"62","2013-08-20",17.67
"63","2013-08-21",17.610001
"64","2013-08-22",17.65
"65","2013-08-23",17.620001
"66","2013-08-26",18.110001
"67","2013-08-27",18.040001
"68","2013-08-28",18.190001
"69","2013-08-29",17.83
"70","2013-08-30",17.700001
"71","2013-09-03",18.85
"72","2013-09-04",19.549999
"73","2013-09-05",19.9
"74","2013-09-06",19.879999
"75","2013-09-09",19.940001
"76","2013-09-10",19.940001
"77","2013-09-11",19.709999
"78","2013-09-12",19.280001
"79","2013-09-13",19.52
"80","2013-09-16",19.4
"81","2013-09-17",19.440001
"82","2013-09-18",20.129999
"83","2013-09-19",20.030001
"84","2013-09-20",19.73
"85","2013-09-23",19.450001
"86","2013-09-24",19.32
"87","2013-09-25",18.879999
"88","2013-09-26",19.01
"89","2013-09-27",19.18
"90","2013-09-30",19.4
"91","2013-10-01",18.57
"92","2013-10-02",18.27
"93","2013-10-03",18.08
"94","2013-10-04",18.440001
"95","2013-10-07",18.360001
"96","2013-10-08",18.389999
"97","2013-10-09",18.08
"98","2013-10-10",18.42
"99","2013-10-11",18.66
"100","2013-10-14",18.709999
"101","2013-10-15",18.85
"102","2013-10-16",18.93
"103","2013-10-17",18.75
"104","2013-10-18",17.9
"105","2013-10-21",17.450001
"106","2013-10-22",18.15
"107","2013-10-23",18.280001
"108","2013-10-24",18.049999
"109","2013-10-25",18.559999
"110","2013-10-28",19
"111","2013-10-29",18.870001
"112","2013-10-30",18.52
"113","2013-10-31",18.469999
"114","2013-11-01",18.75
"115","2013-11-04",18.76
"116","2013-11-05",18.07
"117","2013-11-06",16.690001
"118","2013-11-07",17.219999
"119","2013-11-08",18.85
"120","2013-11-11",18.43
"121","2013-11-12",18.5
"122","2013-11-13",18.549999
"123","2013-11-14",20.09
"124","2013-11-15",20.15
"125","2013-11-18",19.99
"126","2013-11-19",20
"127","2013-11-20",19.879999
"128","2013-11-21",21.440001
"129","2013-11-22",21.93
"130","2013-11-25",21.370001
"131","2013-11-26",21.52
"132","2013-11-27",21.459999
"133","2013-11-29",21.620001
"134","2013-12-02",21.809999
"135","2013-12-03",21.889999
"136","2013-12-04",21.709999
"137","2013-12-05",21.360001
"138","2013-12-06",21
"139","2013-12-09",21.48
"140","2013-12-10",21.549999
"141","2013-12-11",21.07
"142","2013-12-12",21.07
"143","2013-12-13",21.709999
"144","2013-12-16",21.809999
"145","2013-12-17",21.809999
"146","2013-12-18",21.93
"147","2013-12-19",21.92
"148","2013-12-20",22.4
"149","2013-12-23",22.57
"150","2013-12-24",22.889999
"151","2013-12-26",22.700001
"152","2013-12-27",23.030001
"153","2013-12-30",22.959999
"154","2013-12-31",23.27
"155","2014-01-02",23.6
"156","2014-01-03",23.629999
"157","2014-01-06",23.209999
"158","2014-01-07",23.76
"159","2014-01-08",23.629999
"160","2014-01-09",23
"161","2014-01-10",22.98
"162","2014-01-13",22.219999
"163","2014-01-14",22.51
"164","2014-01-15",23.99
"165","2014-01-16",23.879999
"166","2014-01-17",23.98
"167","2014-01-21",24.299999
"168","2014-01-22",24.26
"169","2014-01-23",24.59
