"","date","ABEO"
"1","2007-01-03",145
"2","2007-01-04",147.5
"3","2007-01-05",147.5
"4","2007-01-08",147.5
"5","2007-01-09",142.5
"6","2007-01-10",140
"7","2007-01-11",147.5
"8","2007-01-12",142.5
"9","2007-01-16",137.5
"10","2007-01-17",142
"11","2007-01-18",140
"12","2007-01-19",130
"13","2007-01-22",137.5
"14","2007-01-23",137.5
"15","2007-01-24",147.5
"16","2007-01-25",145
"17","2007-01-26",146.5
"18","2007-01-29",146.5
"19","2007-01-30",145
"20","2007-01-31",147.5
"21","2007-02-01",150
"22","2007-02-02",258
"23","2007-02-05",356
"24","2007-02-06",386.5
"25","2007-02-07",355
"26","2007-02-08",361.5
"27","2007-02-09",357.5
"28","2007-02-12",384.5
"29","2007-02-13",513
"30","2007-02-14",455
"31","2007-02-15",410
"32","2007-02-16",397.5
"33","2007-02-20",407
"34","2007-02-21",412.5
"35","2007-02-22",400
"36","2007-02-23",357.5
"37","2007-02-26",350
"38","2007-02-27",335
"39","2007-02-28",355
"40","2007-03-01",357.5
"41","2007-03-02",342.5
"42","2007-03-05",332.5
"43","2007-03-06",335
"44","2007-03-07",317.5
"45","2007-03-08",312.5
"46","2007-03-09",308.5
"47","2007-03-12",305
"48","2007-03-13",317.5
"49","2007-03-14",310
"50","2007-03-15",299.5
"51","2007-03-16",295.5
"52","2007-03-19",305
"53","2007-03-20",337.5
"54","2007-03-21",337.5
"55","2007-03-22",317.5
"56","2007-03-23",309
"57","2007-03-26",305
"58","2007-03-27",312.5
"59","2007-03-28",323.5
"60","2007-03-29",337.5
"61","2007-03-30",337.5
"62","2007-04-02",337.5
"63","2007-04-03",313
"64","2007-04-04",310
"65","2007-04-05",310
"66","2007-04-09",311
"67","2007-04-10",320
"68","2007-04-11",325
"69","2007-04-12",312.5
"70","2007-04-13",310
"71","2007-04-16",300
"72","2007-04-17",300
"73","2007-04-18",293.5
"74","2007-04-19",290
"75","2007-04-20",287
"76","2007-04-23",280
"77","2007-04-24",282.5
"78","2007-04-25",272.5
"79","2007-04-26",260
"80","2007-04-27",239
"81","2007-04-30",250
"82","2007-05-01",255
"83","2007-05-02",247.5
"84","2007-05-03",250
"85","2007-05-04",242
"86","2007-05-07",245
"87","2007-05-08",252.5
"88","2007-05-09",260
"89","2007-05-10",252.5
"90","2007-05-11",250
"91","2007-05-14",250
"92","2007-05-15",245
"93","2007-05-16",261.5
"94","2007-05-17",260
"95","2007-05-18",262
"96","2007-05-21",257.5
"97","2007-05-22",255
"98","2007-05-23",255
"99","2007-05-24",254
"100","2007-05-25",252.5
"101","2007-05-29",250
"102","2007-05-30",237.5
"103","2007-05-31",238
"104","2007-06-01",255
"105","2007-06-04",261
"106","2007-06-05",262
"107","2007-06-06",260
"108","2007-06-07",262
"109","2007-06-08",255
"110","2007-06-11",257.5
"111","2007-06-12",262
"112","2007-06-13",262
"113","2007-06-14",257.5
"114","2007-06-15",260
"115","2007-06-18",257.5
"116","2007-06-19",258.5
"117","2007-06-20",259
"118","2007-06-21",255
"119","2007-06-22",252.5
"120","2007-06-25",250
"121","2007-06-26",245.5
"122","2007-06-27",252.5
"123","2007-06-28",252.5
"124","2007-06-29",250
"125","2007-07-02",255
"126","2007-07-03",255
"127","2007-07-05",257.5
"128","2007-07-06",257.5
"129","2007-07-09",257.5
"130","2007-07-10",256.5
"131","2007-07-11",256.5
"132","2007-07-12",256.5
"133","2007-07-13",245
"134","2007-07-16",247.5
"135","2007-07-17",242
"136","2007-07-18",230
"137","2007-07-19",225
"138","2007-07-20",217.5
"139","2007-07-23",215.5
"140","2007-07-24",225
"141","2007-07-25",225
"142","2007-07-26",222.5
"143","2007-07-27",222.5
"144","2007-07-30",220
"145","2007-07-31",220
"146","2007-08-01",217.5
"147","2007-08-02",217.5
"148","2007-08-03",215
"149","2007-08-06",212.5
"150","2007-08-07",202.5
"151","2007-08-08",200
"152","2007-08-09",190
"153","2007-08-10",184.5
"154","2007-08-13",183
"155","2007-08-14",170
"156","2007-08-15",164.5
"157","2007-08-16",155
"158","2007-08-17",167.5
"159","2007-08-20",170
"160","2007-08-21",155
"161","2007-08-22",167.5
"162","2007-08-23",159.5
"163","2007-08-24",175
"164","2007-08-27",175
"165","2007-08-28",172
"166","2007-08-29",185
"167","2007-08-30",178
"168","2007-08-31",172.5
"169","2007-09-04",190
"170","2007-09-05",192.5
"171","2007-09-06",197
"172","2007-09-07",217.5
"173","2007-09-10",225
"174","2007-09-11",221.5
"175","2007-09-12",225
"176","2007-09-13",227.5
"177","2007-09-14",223.5
"178","2007-09-17",225
"179","2007-09-18",235
"180","2007-09-19",234.5
"181","2007-09-20",237.5
"182","2007-09-21",227.5
"183","2007-09-24",225
"184","2007-09-25",224.5
"185","2007-09-26",220
"186","2007-09-27",223
"187","2007-09-28",222.5
"188","2007-10-01",209.5
"189","2007-10-02",217.5
"190","2007-10-03",215
"191","2007-10-04",210
"192","2007-10-05",200
"193","2007-10-08",200
"194","2007-10-09",200
"195","2007-10-10",200
"196","2007-10-11",198
"197","2007-10-12",198.5
"198","2007-10-15",197.5
"199","2007-10-16",195
"200","2007-10-17",190
"201","2007-10-18",195
"202","2007-10-19",195
"203","2007-10-22",195
"204","2007-10-23",187.5
"205","2007-10-24",192.5
"206","2007-10-25",190
"207","2007-10-26",190
"208","2007-10-29",177.5
"209","2007-10-30",170
"210","2007-10-31",152.5
"211","2007-11-01",151
"212","2007-11-02",155
"213","2007-11-05",155
"214","2007-11-06",160
"215","2007-11-07",182.5
"216","2007-11-08",157
"217","2007-11-09",155.5
"218","2007-11-12",150
"219","2007-11-13",153
"220","2007-11-14",150
"221","2007-11-15",150
"222","2007-11-16",150
"223","2007-11-19",146.5
"224","2007-11-20",147.5
"225","2007-11-21",150
"226","2007-11-23",150
"227","2007-11-26",140
"228","2007-11-27",142
"229","2007-11-28",150
"230","2007-11-29",150
"231","2007-11-30",151
"232","2007-12-03",145
"233","2007-12-04",135
"234","2007-12-05",135
"235","2007-12-06",135
"236","2007-12-07",128.5
"237","2007-12-10",125
"238","2007-12-11",125
"239","2007-12-12",122.5
"240","2007-12-13",122.5
