"","date","IPOB"
"1","2020-06-18",10.804
"2","2020-06-19",10.93
"3","2020-06-22",11.36
"4","2020-06-23",11.61
"5","2020-06-24",11.25
"6","2020-06-25",11.37
"7","2020-06-26",11.28
"8","2020-06-29",11.68
"9","2020-06-30",11.75
"10","2020-07-01",11.61
"11","2020-07-02",11.48
"12","2020-07-06",11.4
"13","2020-07-07",11.4
"14","2020-07-08",11.45
"15","2020-07-09",11.63
"16","2020-07-10",11.8
"17","2020-07-13",11.48
"18","2020-07-14",11.45
"19","2020-07-15",11.64
"20","2020-07-16",12
"21","2020-07-17",12
"22","2020-07-20",11.93
"23","2020-07-21",12
"24","2020-07-22",12.05
"25","2020-07-23",11.95
"26","2020-07-24",11.925
"27","2020-07-27",12
"28","2020-07-28",11.87
"29","2020-07-29",11.68
"30","2020-07-30",11.29
"31","2020-07-31",10.85
"32","2020-08-03",10.84
"33","2020-08-04",10.99
"34","2020-08-05",11.04
"35","2020-08-06",11.035
"36","2020-08-07",10.99
"37","2020-08-10",10.91
"38","2020-08-11",10.88
"39","2020-08-12",10.85
"40","2020-08-13",10.86
"41","2020-08-14",10.97
"42","2020-08-17",11.05
"43","2020-08-18",10.85
"44","2020-08-19",10.9
"45","2020-08-20",10.78
"46","2020-08-21",10.94
"47","2020-08-24",10.98
"48","2020-08-25",10.8
"49","2020-08-26",10.75
"50","2020-08-27",10.61
"51","2020-08-28",10.8
"52","2020-08-31",10.73
"53","2020-09-01",10.9
"54","2020-09-02",11.11
"55","2020-09-03",11.19
"56","2020-09-04",12
"57","2020-09-08",12
"58","2020-09-09",11.92
"59","2020-09-10",12.41
"60","2020-09-11",12.7
"61","2020-09-14",13.05
"62","2020-09-15",17.559999
"63","2020-09-16",15.9
"64","2020-09-17",15.41
"65","2020-09-18",14.6
"66","2020-09-21",15.35
"67","2020-09-22",16.780001
"68","2020-09-23",15.27
"69","2020-09-24",15.89
"70","2020-09-25",16.42
"71","2020-09-28",16.719999
"72","2020-09-29",18.75
"73","2020-09-30",18.99
"74","2020-10-01",18.57
"75","2020-10-02",18.41
"76","2020-10-05",18.25
"77","2020-10-06",16.35
"78","2020-10-07",17.57
"79","2020-10-08",18.780001
"80","2020-10-09",21.24
"81","2020-10-12",23.200001
"82","2020-10-13",24.08
"83","2020-10-14",26.48
"84","2020-10-15",23.93
"85","2020-10-16",22.91
"86","2020-10-19",21.34
"87","2020-10-20",22.73
"88","2020-10-21",21.92
"89","2020-10-22",19.73
"90","2020-10-23",19.440001
"91","2020-10-26",17.98
"92","2020-10-27",18.190001
"93","2020-10-28",17.360001
"94","2020-10-29",17.110001
"95","2020-10-30",16.440001
"96","2020-11-02",15.55
"97","2020-11-03",16.67
"98","2020-11-04",18.200001
"99","2020-11-05",18.92
"100","2020-11-06",20.23
"101","2020-11-09",18.98
"102","2020-11-10",18.08
"103","2020-11-11",18.030001
"104","2020-11-12",17.879999
"105","2020-11-13",19.02
"106","2020-11-16",18.49
"107","2020-11-17",18.51
"108","2020-11-18",18.700001
"109","2020-11-19",19.42
"110","2020-11-20",19.049999
"111","2020-11-23",18.639999
"112","2020-11-24",18.75
"113","2020-11-25",20.43
"114","2020-11-27",21.799999
