"","date","MTBC"
"1","2014-07-23",4.28
"2","2014-07-24",4.15
"3","2014-07-25",4.09
"4","2014-07-28",3.89
"5","2014-07-29",3.78
"6","2014-07-30",3.87
"7","2014-07-31",3.78
"8","2014-08-01",3.75
"9","2014-08-04",3.69
"10","2014-08-05",3.5
"11","2014-08-06",3.5
"12","2014-08-07",3.44
"13","2014-08-08",3.31
"14","2014-08-11",3.31
"15","2014-08-12",3.31
"16","2014-08-13",3.35
"17","2014-08-14",3.4
"18","2014-08-15",3.45
"19","2014-08-18",3.32
"20","2014-08-19",3.21
"21","2014-08-20",3.07
"22","2014-08-21",3.09
"23","2014-08-22",3.09
"24","2014-08-25",3.45
"25","2014-08-26",3.47
"26","2014-08-27",3.13
"27","2014-08-28",3.19
"28","2014-08-29",3.38
"29","2014-09-02",3.39
"30","2014-09-03",3.92
"31","2014-09-04",3.77
"32","2014-09-05",3.79
"33","2014-09-08",3.97
"34","2014-09-09",3.91
"35","2014-09-10",3.88
"36","2014-09-11",3.83
"37","2014-09-12",3.762
"38","2014-09-15",3.83
"39","2014-09-16",3.74
"40","2014-09-17",3.61
"41","2014-09-18",3.64
"42","2014-09-19",3.49
"43","2014-09-22",3.4
"44","2014-09-23",3.62
"45","2014-09-24",3.61
"46","2014-09-25",3.73
"47","2014-09-26",3.72
"48","2014-09-29",3.69
"49","2014-09-30",3.56
"50","2014-10-01",3.59
"51","2014-10-02",3.51
"52","2014-10-03",3.46
"53","2014-10-06",3.28
"54","2014-10-07",3.29
"55","2014-10-08",3.35
"56","2014-10-09",3.3
"57","2014-10-10",3.23
"58","2014-10-13",3.224
"59","2014-10-14",3.31
"60","2014-10-15",3.34
"61","2014-10-16",3.33
"62","2014-10-17",3.266
"63","2014-10-20",3.29
"64","2014-10-21",3.25
"65","2014-10-22",3.31
"66","2014-10-23",3.36
"67","2014-10-24",3.22
"68","2014-10-27",3.3
"69","2014-10-28",3.17
"70","2014-10-29",3.27
"71","2014-10-30",3.2
"72","2014-10-31",3.439
"73","2014-11-03",3.38
"74","2014-11-04",3.4
"75","2014-11-05",3.31
"76","2014-11-06",3.45
"77","2014-11-07",3.35
"78","2014-11-10",3.31
"79","2014-11-11",3.42
"80","2014-11-12",3.25
"81","2014-11-13",3.34
"82","2014-11-14",3.35
"83","2014-11-17",3.37
"84","2014-11-18",3.31
"85","2014-11-19",3.25
"86","2014-11-20",3.21
"87","2014-11-21",3.22
"88","2014-11-24",3.1
"89","2014-11-25",3
"90","2014-11-26",3.04
"91","2014-11-28",3.06
"92","2014-12-01",2.91
"93","2014-12-02",2.95
"94","2014-12-03",2.91
"95","2014-12-04",2.824
"96","2014-12-05",2.73
"97","2014-12-08",2.65
"98","2014-12-09",2.67
"99","2014-12-10",2.65
"100","2014-12-11",2.59
"101","2014-12-12",2.33
"102","2014-12-15",2.03
"103","2014-12-16",2.21
"104","2014-12-17",2.33
"105","2014-12-18",2.31
"106","2014-12-19",2.3
"107","2014-12-22",2.49
