"","date","ZEAL"
"1","2017-08-09",17.82
"2","2017-08-10",18.190001
"3","2017-08-11",17.9
"4","2017-08-14",17.879999
"5","2017-08-15",17.889999
"6","2017-08-16",17.889999
"7","2017-08-17",17.809999
"8","2017-08-18",17.58
"9","2017-08-21",17.700001
"10","2017-08-22",17.9
"11","2017-08-23",17.85
"12","2017-08-24",18.540001
"13","2017-08-25",19.24
"14","2017-08-28",19.440001
"15","2017-08-29",18.84
"16","2017-08-30",18.75
"17","2017-08-31",18.799999
"18","2017-09-01",19.65
"19","2017-09-05",19.99
"20","2017-09-06",20.15
"21","2017-09-07",20.1
"22","2017-09-08",20.120001
"23","2017-09-11",20.1
"24","2017-09-12",20.030001
"25","2017-09-13",20.040001
"26","2017-09-14",19.74
"27","2017-09-15",19.700001
"28","2017-09-18",19
"29","2017-09-19",18.73
"30","2017-09-20",18.66
"31","2017-09-21",18.51
"32","2017-09-22",18.74
"33","2017-09-25",18.440001
"34","2017-09-26",18.07
"35","2017-09-27",18.99
"36","2017-09-28",19.059999
"37","2017-09-29",19.200001
"38","2017-10-02",18.91
"39","2017-10-03",19.01
"40","2017-10-04",19.030001
"41","2017-10-05",19
"42","2017-10-06",18.700001
"43","2017-10-09",19.02
"44","2017-10-10",19.059999
"45","2017-10-11",19.110001
"46","2017-10-12",19.360001
"47","2017-10-13",18.92
"48","2017-10-16",18.84
"49","2017-10-17",18.610001
"50","2017-10-18",18.52
"51","2017-10-19",18.540001
"52","2017-10-20",18.629999
"53","2017-10-23",18.66
"54","2017-10-24",18.700001
"55","2017-10-25",18.74
"56","2017-10-26",18.35
"57","2017-10-27",18.27
"58","2017-10-30",18.219999
"59","2017-10-31",18.290001
"60","2017-11-01",18.48
"61","2017-11-02",16.6
"62","2017-11-03",15.1
"63","2017-11-06",15.49
"64","2017-11-07",14.92
"65","2017-11-08",14.73
"66","2017-11-09",13.91
"67","2017-11-10",14.94
"68","2017-11-13",14.96
"69","2017-11-14",14.62
"70","2017-11-15",14.41
"71","2017-11-16",14.73
"72","2017-11-17",14.55
"73","2017-11-20",14.42
"74","2017-11-21",14.45
"75","2017-11-22",14.37
"76","2017-11-24",14.11
"77","2017-11-27",14.01
"78","2017-11-28",13.45
"79","2017-11-29",12.54
"80","2017-11-30",13.67
"81","2017-12-01",14.1
"82","2017-12-04",13.92
"83","2017-12-05",13.57
"84","2017-12-06",13.26
"85","2017-12-07",13.45
"86","2017-12-08",14
"87","2017-12-11",13.84
"88","2017-12-12",13.3
"89","2017-12-13",13.5
"90","2017-12-14",13.18
"91","2017-12-15",12.99
"92","2017-12-18",12.75
"93","2017-12-19",12.65
"94","2017-12-20",12.46
"95","2017-12-21",13.33
"96","2017-12-22",13.5
"97","2017-12-26",13.52
"98","2017-12-27",13.77
"99","2017-12-28",13.92
"100","2017-12-29",13.6
"101","2018-01-02",13.39
"102","2018-01-03",14.43
"103","2018-01-04",15.1
"104","2018-01-05",14.85
"105","2018-01-08",14.85
"106","2018-01-09",14.77
"107","2018-01-10",14.4
"108","2018-01-11",14.34
"109","2018-01-12",14.87
"110","2018-01-16",15.13
"111","2018-01-17",14.92
"112","2018-01-18",15.83
"113","2018-01-19",15.05
"114","2018-01-22",15.32
"115","2018-01-23",16.09
"116","2018-01-24",15.68
"117","2018-01-25",15.68
"118","2018-01-26",16.075001
"119","2018-01-29",17.200001
"120","2018-01-30",16.68
"121","2018-01-31",16.870001
"122","2018-02-01",17.780001
"123","2018-02-02",16.34
"124","2018-02-05",15.96
"125","2018-02-06",15.7
"126","2018-02-07",15.16
"127","2018-02-08",14.96
"128","2018-02-09",15.28
"129","2018-02-12",15.13
"130","2018-02-13",15
"131","2018-02-14",15.8
"132","2018-02-15",15.55
"133","2018-02-16",15.4
"134","2018-02-20",15.43
"135","2018-02-21",15.3
"136","2018-02-22",15.46
"137","2018-02-23",15.9
"138","2018-02-26",16.139999
"139","2018-02-27",15.776
"140","2018-02-28",15.54
"141","2018-03-01",15.48
"142","2018-03-02",15.36
"143","2018-03-05",15.73
"144","2018-03-06",15.97
"145","2018-03-07",15.55
"146","2018-03-08",15.51
"147","2018-03-09",16.01
"148","2018-03-12",15.96
"149","2018-03-13",15.78
"150","2018-03-14",15.98
"151","2018-03-15",15.46
"152","2018-03-16",15.185
"153","2018-03-19",14.61
"154","2018-03-20",16.174999
"155","2018-03-21",15.99
"156","2018-03-22",15.9
"157","2018-03-23",15.55
"158","2018-03-26",15.89
"159","2018-03-27",15.66
"160","2018-03-28",15.39
"161","2018-03-29",15.02
"162","2018-04-02",14.95
"163","2018-04-03",15.45
"164","2018-04-04",15.55
"165","2018-04-05",15.34
"166","2018-04-06",14.6
"167","2018-04-09",15.88
"168","2018-04-10",15.79
"169","2018-04-11",15.6
"170","2018-04-12",16.040001
"171","2018-04-13",15.51
"172","2018-04-16",15.01
"173","2018-04-17",15.61
"174","2018-04-18",15
"175","2018-04-19",15.73
"176","2018-04-20",14.9
"177","2018-04-23",16.360001
"178","2018-04-24",15
"179","2018-04-25",14.98
"180","2018-04-26",15.16
"181","2018-04-27",14.86
"182","2018-04-30",14.9
"183","2018-05-01",14.98
"184","2018-05-02",15.21
"185","2018-05-03",15.53
"186","2018-05-04",15.22
"187","2018-05-07",15.39
"188","2018-05-08",15.62
"189","2018-05-09",15.07
"190","2018-05-10",15.89
"191","2018-05-11",16.25
"192","2018-05-14",16.16
"193","2018-05-15",15.6
"194","2018-05-16",15.82
"195","2018-05-17",15.8
"196","2018-05-18",16.18
"197","2018-05-21",16.040001
"198","2018-05-22",16.26
"199","2018-05-23",16.700001
"200","2018-05-24",15.6
"201","2018-05-25",15.4
"202","2018-05-29",14.77
"203","2018-05-30",15.99
"204","2018-05-31",14.75
"205","2018-06-01",15.32
"206","2018-06-04",15.27
"207","2018-06-05",15.23
"208","2018-06-06",15.03
"209","2018-06-07",15.3
"210","2018-06-08",15.03
"211","2018-06-11",15.33
"212","2018-06-12",15.156
"213","2018-06-13",15.02
"214","2018-06-14",14.78
"215","2018-06-15",14.69
"216","2018-06-18",14.8
"217","2018-06-19",14.52
"218","2018-06-20",14.77
"219","2018-06-21",14.52
"220","2018-06-22",14.01
"221","2018-06-25",14.397
"222","2018-06-26",14.03
"223","2018-06-27",12.88
"224","2018-06-28",12.93
"225","2018-06-29",12.68
"226","2018-07-02",12.95
"227","2018-07-03",12.01
"228","2018-07-05",13.46
"229","2018-07-06",13.55
"230","2018-07-09",13.27
"231","2018-07-10",13.48
"232","2018-07-11",13.38
"233","2018-07-12",14.63
"234","2018-07-13",15.15
"235","2018-07-16",15.71
"236","2018-07-17",15.47
"237","2018-07-18",15.52
"238","2018-07-19",15.28
"239","2018-07-20",15.45
"240","2018-07-23",14.87
"241","2018-07-24",15.25
"242","2018-07-25",15.19
"243","2018-07-26",14.97
"244","2018-07-27",14.89
"245","2018-07-30",14.35
"246","2018-07-31",14.36
"247","2018-08-01",14.88
"248","2018-08-02",14.65
"249","2018-08-03",14.51
"250","2018-08-06",14.58
